mut_rate,chrom,time,mean_heterozygosity,CI_5%,CI_95%,stdev,Ne,Fis
med,ben,39801,7.5057924090587065,7.03772630969149,7.973858508425923,5.197050051653736,750.5792409058706,-0.019735462903524466
med,ben,39601,7.260889472591832,6.7960374755082205,7.725741469675444,5.161363103888007,726.0889472591831,0.013938574857061155
med,ben,39401,7.538928297057671,7.037664885366629,8.040191708748713,5.565647764584768,753.8928297057671,0.011287238262093628
med,ben,39201,7.172281995502284,6.695997762858232,7.648566228146336,5.288297954521763,717.2281995502284,0.03167261032318966
med,ben,39001,7.391300872755068,6.915266372621581,7.867335372888556,5.285525114620133,739.1300872755068,0.038267626825613354
med,ben,38801,7.1902347232163715,6.717374274663552,7.663095171769191,5.250282859405401,719.0234723216371,0.04360515085294415
med,ben,38601,7.2931744529974,6.817832924737006,7.768515981257794,5.277830881874529,729.31744529974,-0.021480569264168064
med,ben,38401,6.895966238733386,6.436343076601364,7.355589400865409,5.103306096572196,689.5966238733386,0.0192118571084972
med,ben,38201,7.400111774243461,6.896936013860815,7.903287534626108,5.58688103031351,740.0111774243461,0.026810179552657003
med,ben,38001,7.350719760224413,6.864692739691841,7.836746780756985,5.396474462856247,735.0719760224413,0.03973341329846574
med,ben,37801,7.73341921709121,7.24435603606457,8.222482398117851,5.4301856802972415,773.341921709121,0.006131921745130532
med,ben,37601,7.40009882443741,6.923106921891171,7.877090726983648,5.296155383006085,740.0098824437409,-0.03092557825946632
med,ben,37401,7.60293709643102,7.118567486503545,8.087306706358497,5.37807183578611,760.2937096431019,0.00544902305880097
med,ben,37201,7.15457608052593,6.6885768912678545,7.620575269784006,5.174100653472599,715.457608052593,0.03217330980932598
med,ben,37001,7.544665882853172,7.049162666342817,8.040169099363526,5.501690937329391,754.4665882853171,0.003095403971098159
med,ben,36801,6.913947757539535,6.430610279206071,7.3972852358729995,5.366611831395232,691.3947757539535,-0.004556410972111775
med,ben,36601,7.089231803678189,6.605959868003618,7.57250373935276,5.365884095549269,708.9231803678188,0.018689750573952828
med,ben,36401,7.01704427818891,6.530202651674353,7.503885904703468,5.405519228256861,701.704427818891,0.007176947595965009
med,ben,36201,7.3499806031606365,6.8544652369486565,7.8454959693726165,5.5018258383776555,734.9980603160636,-0.0012979794330320459
med,ben,36001,7.34339363244856,6.874056011121654,7.812731253775466,5.211168064633569,734.3393632448559,0.028721061417037272
med,ben,35801,7.442080794631464,6.954444872288532,7.929716716974397,5.414338485155537,744.2080794631463,0.03259275422833655
med,ben,35601,7.033108685922432,6.550312588437063,7.515904783407801,5.36060075012196,703.3108685922432,0.025973300275035346
med,ben,35401,7.001879190745537,6.531445418921408,7.472312962569666,5.223338886245977,700.1879190745537,0.01584312230854511
med,ben,35201,7.310611272507382,6.845339277851885,7.775883267162879,5.166026437561635,731.0611272507381,0.016892143028046914
med,ben,35001,7.3353150791546256,6.88530994781877,7.7853202104904815,4.996514796126381,733.5315079154625,-0.03584281838758918
med,ben,34801,7.7004004977955915,7.1914697340035145,8.20933126158767,5.650780212088665,770.0400497795591,-0.010185068437297967
med,ben,34601,7.335234464947233,6.856123031491232,7.814345898403235,5.319689042544676,733.5234464947233,-0.03354273684240582
med,ben,34401,7.194976066468303,6.728716345181661,7.661235787754945,5.17699340301021,719.4976066468303,-0.004334378199951921
med,ben,34201,7.237580855127081,6.7575358645752726,7.717625845678889,5.3300545506631725,723.758085512708,0.0038997422775597637
med,ben,34001,7.352127264394292,6.895494885790371,7.808759642998212,5.070098710456812,735.2127264394292,0.02883398232173125
med,ben,33801,7.2218764843722685,6.737136503794418,7.706616464950119,5.382184149859411,722.1876484372268,-0.023962121350847923
med,ben,33601,7.244862821211653,6.751588704067875,7.738136938355431,5.476940712961784,724.4862821211652,-0.04442598999609935
med,ben,33401,7.008695432764822,6.528495743042597,7.488895122487047,5.331772212618811,700.8695432764821,-0.023515017714989456
med,ben,33201,7.358462373224721,6.8734861337143744,7.843438612735067,5.384807389395434,735.846237322472,0.010101649177513902
med,ben,33001,7.114905131019245,6.6383611227206405,7.591449139317849,5.291182305857472,711.4905131019244,-0.05180901631155206
med,ben,32801,7.213071021308904,6.736245186719458,7.6898968558983505,5.294311490691321,721.3071021308904,0.05092144555420316
med,ben,32601,7.251888060395199,6.769192464038435,7.734583656751964,5.359484862010618,725.1888060395198,-0.03350282582670257
med,ben,32401,7.148902062673877,6.659953414378481,7.637850710969274,5.42891399593977,714.8902062673877,-0.018137254970127296
med,ben,32201,7.335784405983612,6.820207997385449,7.851360814581776,5.724568398691875,733.5784405983612,-0.006604344037441859
med,ben,32001,6.799976397270118,6.336154959610135,7.263797834930101,5.149920555681582,679.9976397270118,0.015916925064380943
med,ben,31801,7.042286614398966,6.587221048173184,7.497352180624748,5.052702017208271,704.2286614398965,-0.026515993151588566
