mut_rate,chrom,time,mean_heterozygosity,CI_5%,CI_95%,stdev,Ne,Fis
high,del,39801,46.44803348259844,,,0.0,464.48033482598436,-0.09601315620697708
high,del,39601,85.01144655694048,,,0.0,850.1144655694048,-0.1926473592535656
high,del,39401,58.29715467866329,,,0.0,582.9715467866329,-0.10277833437035326
high,del,39201,58.18096320077742,,,0.0,581.8096320077742,-0.31169114598692954
high,del,39001,73.57846820324762,,,0.0,735.7846820324762,0.17596076533064084
high,del,38801,58.081195637119166,,,0.0,580.8119563711916,-0.17303447964059898
high,del,38601,61.90075560964082,,,0.0,619.0075560964082,0.30425288844286963
high,del,38401,69.76559059457706,,,0.0,697.6559059457707,-0.300520031580501
high,del,38201,62.1446306584524,,,0.0,621.446306584524,-0.09506748881973386
high,del,38001,46.556287136274506,,,0.0,465.562871362745,-0.3257002227993483
high,del,37801,50.28223928286729,,,0.0,502.8223928286729,-0.021552080655437254
high,del,37601,77.38528837845173,,,0.0,773.8528837845173,-0.02609057129650147
high,del,37401,65.97929002074278,,,0.0,659.7929002074278,0.12259120346380242
high,del,37201,58.606068933035864,,,0.0,586.0606893303586,-0.12022909095578672
high,del,37001,62.02147371646026,,,0.0,620.2147371646026,-0.05493636055484262
high,del,36801,54.4588219001771,,,0.0,544.588219001771,-0.5339085684176601
high,del,36601,58.095341874061106,,,0.0,580.953418740611,0.27670089405009096
high,del,36401,58.385868169987916,,,0.0,583.8586816998792,0.06750741951653393
high,del,36201,58.0389662838388,,,0.0,580.3896628383881,0.0018230469330693276
high,del,36001,89.11216170265607,,,0.0,891.1216170265607,0.13277471980493233
high,del,35801,61.9382233578025,,,0.0,619.382233578025,0.11159423019724056
high,del,35601,62.278259381320446,,,0.0,622.7825938132045,0.2210602971896251
high,del,35401,65.71422892183735,,,0.0,657.1422892183734,0.11232229108783907
high,del,35201,81.57503944102352,,,0.0,815.7503944102352,-0.06895390909707684
high,del,35001,61.74586964128851,,,0.0,617.458696412885,-0.627384445515382
high,del,34801,66.3244276637817,,,0.0,663.244276637817,-0.021223919184911372
high,del,34601,58.24603086798613,,,0.0,582.4603086798612,-0.4787797776313859
high,del,34401,50.49251240999258,,,0.0,504.92512409992577,0.17390157466769138
high,del,34201,46.86015459713131,,,0.0,468.6015459713131,0.32987701824657145
high,del,34001,58.529186216497195,,,0.0,585.2918621649719,0.1499464794663072
high,del,33801,46.53328288879839,,,0.0,465.3328288879839,0.2203556140303715
high,del,33601,62.136860196013735,,,0.0,621.3686019601373,-0.4588090306121292
high,del,33401,61.71681153861147,,,0.0,617.1681153861148,0.33486375570970434
high,del,33201,58.26059124229913,,,0.0,582.6059124229913,-0.3229825514801247
high,del,33001,46.55052522718867,,,0.0,465.5052522718868,0.12245515576622436
high,del,32801,69.73995263686126,,,0.0,697.3995263686127,0.23152641907379365
high,del,32601,57.9692725578574,,,0.0,579.692725578574,0.6823902060962443
high,del,32401,85.56729916068335,,,0.0,855.6729916068334,-0.056426156192175066
high,del,32201,77.74912734381493,,,0.0,777.4912734381493,0.012235499747113476
high,del,32001,61.82650658686581,,,0.0,618.2650658686582,0.049484010702000265
high,del,31801,89.17780388022999,,,0.0,891.7780388022999,0.11180467053123166
high,del,31601,65.83336628711629,,,0.0,658.3336628711629,-0.3760672848285457
high,del,31401,69.62995091634455,,,0.0,696.2995091634455,-0.2597037237592162
high,del,31201,77.7884537824394,,,0.0,777.884537824394,-0.1299495043049633
high,del,31001,65.962913098056,,,0.0,659.62913098056,0.46554638628738687
high,del,30801,96.70826516158965,,,0.0,967.0826516158966,0.02226744564179563
high,del,30601,73.63242472456432,,,0.0,736.3242472456432,-0.26780667436365685
high,del,30401,65.76955283524337,,,0.0,657.6955283524338,-0.2938128392943365
high,del,30201,58.22425941406707,,,0.0,582.2425941406707,0.19817402054318026
high,del,30001,77.08286722879627,,,0.0,770.8286722879627,-0.0027209987319586977
high,del,29801,73.88967307560594,,,0.0,738.8967307560594,0.07107192722008453
high,del,29601,57.758505454115706,,,0.0,577.5850545411571,-0.327135522576246
high,del,29401,65.59725401119871,,,0.0,655.9725401119872,0.14572538825603723
high,del,29201,61.87094690084133,,,0.0,618.7094690084134,0.1872483526789312
high,del,29001,69.81715584093288,,,0.0,698.1715584093288,-0.03414079675392261
high,del,28801,38.80171358709176,,,0.0,388.01713587091757,0.0886995812930903
high,del,28601,34.789885899796246,,,0.0,347.89885899796246,-0.4912111838656688
high,del,28401,34.756717638167835,,,0.0,347.56717638167834,0.046201297422014696
high,del,28201,54.24882397803059,,,0.0,542.4882397803059,0.3006700153810399
high,del,28001,46.69678979324657,,,0.0,466.96789793246575,0.38901930783624694
high,del,27801,77.38528837845173,,,0.0,773.8528837845173,-0.04568481007176048
high,del,27601,88.80166031391829,,,0.0,888.0166031391828,0.026286129841390372
high,del,27401,89.15586846741162,,,0.0,891.5586846741162,0.015856166523974948
high,del,27201,81.24474173765358,,,0.0,812.4474173765359,0.1132342283907905
high,del,27001,85.47027672100081,,,0.0,854.7027672100082,0.0470892388892099
high,del,26801,104.39468584410865,,,0.0,1043.9468584410865,-0.06317708489223554
high,del,26601,73.51602395952915,,,0.0,735.1602395952915,0.0865052037121356
high,del,26401,96.42120123605355,,,0.0,964.2120123605355,-0.021332853488688113
high,del,26201,85.57814870027832,,,0.0,855.7814870027831,0.08859650171542376
high,del,26001,65.50518355590057,,,0.0,655.0518355590058,0.05132219006539652
high,del,25801,73.88967307560594,,,0.0,738.8967307560594,0.0039197769042400256
high,del,25601,58.12373997646135,,,0.0,581.2373997646135,-0.09384998184918379
high,del,25401,58.0389662838388,,,0.0,580.3896628383881,-0.13617224199604677
high,del,25201,58.045982815695034,,,0.0,580.4598281569503,-0.20670609532113243
high,del,25001,50.349296290852955,,,0.0,503.49296290852953,-0.684669809345982
high,del,24801,57.83916496564864,,,0.0,578.3916496564864,-0.3098580462333709
high,del,24601,61.98349148513314,,,0.0,619.8349148513314,-0.01279595806156749
high,del,24401,46.46495650969533,,,0.0,464.64956509695327,0.0764437258020148
high,del,24201,61.9382233578025,,,0.0,619.382233578025,0.02830370793025836
high,del,24001,73.90840115024035,,,0.0,739.0840115024034,0.48039862811006506
high,del,23801,38.782519266665616,,,0.0,387.8251926666561,0.3409653158673712
high,del,23601,73.74155943494782,,,0.0,737.4155943494782,-0.012329815536962732
high,del,23401,46.567832748581495,,,0.0,465.678327485815,-0.21838571351998423
