mut_rate,chrom,time,mean_heterozygosity,CI_5%,CI_95%,stdev
high,neut,39801,,,,
high,neut,39601,,,,
high,neut,39401,,,,
high,neut,39201,,,,
high,neut,39001,,,,
high,neut,38801,,,,
high,neut,38601,,,,
high,neut,38401,,,,
high,neut,38201,,,,
high,neut,38001,,,,
high,neut,37801,,,,
high,neut,37601,,,,
high,neut,37401,,,,
high,neut,37201,,,,
high,neut,37001,,,,
high,neut,36801,,,,
high,neut,36601,,,,
high,neut,36401,,,,
high,neut,36201,,,,
high,neut,36001,,,,
high,neut,35801,,,,
high,neut,35601,,,,
high,neut,35401,,,,
high,neut,35201,,,,
high,neut,35001,,,,
high,neut,34801,,,,
high,neut,34601,,,,
high,neut,34401,,,,
high,neut,34201,,,,
high,neut,34001,,,,
high,neut,33801,,,,
high,neut,33601,,,,
high,neut,33401,,,,
high,neut,33201,,,,
high,neut,33001,,,,
high,neut,32801,,,,
high,neut,32601,,,,
high,neut,32401,,,,
high,neut,32201,,,,
high,neut,32001,,,,
high,neut,31801,,,,
high,neut,31601,,,,
high,neut,31401,,,,
high,neut,31201,,,,
high,neut,31001,,,,
high,neut,30801,,,,
high,neut,30601,,,,
high,neut,30401,,,,
high,neut,30201,,,,
high,neut,30001,,,,
high,neut,29801,,,,
high,neut,29601,,,,
high,neut,29401,,,,
high,neut,29201,,,,
high,neut,29001,,,,
high,neut,28801,,,,
high,neut,28601,,,,
high,neut,28401,,,,
high,neut,28201,,,,
high,neut,28001,,,,
high,neut,27801,,,,
high,neut,27601,,,,
high,neut,27401,,,,
high,neut,27201,,,,
high,neut,27001,,,,
high,neut,26801,,,,
high,neut,26601,,,,
high,neut,26401,,,,
high,neut,26201,,,,
high,neut,26001,,,,
high,neut,25801,,,,
high,neut,25601,,,,
high,neut,25401,,,,
high,neut,25201,,,,
high,neut,25001,,,,
high,neut,24801,,,,
high,neut,24601,,,,
high,neut,24401,,,,
high,neut,24201,,,,
high,neut,24001,,,,
high,neut,23801,,,,
high,neut,23601,,,,
high,neut,23401,,,,
high,neut,23201,,,,
high,neut,23001,,,,
high,neut,22801,,,,
high,neut,22601,,,,
high,neut,22401,,,,
high,neut,22201,,,,
high,neut,22001,,,,
high,neut,21801,,,,
high,neut,21601,,,,
high,neut,21401,,,,
high,neut,21201,,,,
high,neut,21001,,,,
high,neut,20801,,,,
high,neut,20601,,,,
high,neut,20401,,,,
high,neut,20201,,,,
high,neut,20001,,,,
high,neut,19801,,,,
high,neut,19601,,,,
high,neut,19401,,,,
high,neut,19201,,,,
high,neut,19001,,,,
high,neut,18801,,,,
high,neut,18601,,,,
high,neut,18401,,,,
high,neut,18201,,,,
high,neut,18001,,,,
high,neut,17801,,,,
high,neut,17601,,,,
high,neut,17401,,,,
high,neut,17201,,,,
high,neut,17001,,,,
high,neut,16801,,,,
high,neut,16601,,,,
high,neut,16401,,,,
high,neut,16201,,,,
high,neut,16001,,,,
high,neut,15801,,,,
high,neut,15601,,,,
high,neut,15401,,,,
high,neut,15201,,,,
high,neut,15001,,,,
high,neut,14801,,,,
high,neut,14601,,,,
high,neut,14401,,,,
high,neut,14201,,,,
high,neut,14001,,,,
high,neut,13801,,,,
high,neut,13601,,,,
high,neut,13401,,,,
high,neut,13201,,,,
high,neut,13001,,,,
high,neut,12801,,,,
high,neut,12601,,,,
high,neut,12401,,,,
high,neut,12201,,,,
high,neut,12001,,,,
high,neut,11801,,,,
high,neut,11601,,,,
high,neut,11401,,,,
high,neut,11201,,,,
high,neut,11001,,,,
high,neut,10801,,,,
high,neut,10601,,,,
high,neut,10401,,,,
high,neut,10201,,,,
high,neut,10001,,,,
high,neut,9801,,,,
high,neut,9601,,,,
high,neut,9401,,,,
high,neut,9201,,,,
high,neut,9001,,,,
high,neut,8801,,,,
high,neut,8601,,,,
high,neut,8401,,,,
high,neut,8201,,,,
high,neut,8001,,,,
high,neut,7801,,,,
high,neut,7601,,,,
high,neut,7401,,,,
high,neut,7201,,,,
high,neut,7001,,,,
high,neut,6801,,,,
high,neut,6601,,,,
high,neut,6401,,,,
high,neut,6201,,,,
high,neut,6001,,,,
high,neut,5801,,,,
high,neut,5601,,,,
high,neut,5401,,,,
high,neut,5201,,,,
high,neut,5001,,,,
high,neut,4801,,,,
high,neut,4601,,,,
high,neut,4401,,,,
high,neut,4201,,,,
high,neut,4001,,,,
high,neut,3801,,,,
high,neut,3601,,,,
high,neut,3401,,,,
high,neut,3201,,,,
high,neut,3001,,,,
high,neut,2801,,,,
high,neut,2601,,,,
high,neut,2401,,,,
high,neut,2201,,,,
high,neut,2001,,,,
high,neut,1801,,,,
high,neut,1601,,,,
high,neut,1401,,,,
high,neut,1201,,,,
high,neut,1001,,,,
high,neut,801,,,,
high,neut,601,,,,
high,neut,401,,,,
high,neut,201,,,,
