mut_rate,chrom,time,mean_heterozygosity,CI_5%,CI_95%,stdev
med,pur,39801,7.539396939013717,7.047159364854471,8.031634513172964,5.5965745429229345
med,pur,39601,7.790022473696067,7.311434963362581,8.268609984029553,5.44137793923617
med,pur,39401,7.562819904694508,7.08205069781833,8.043589111570686,5.4661830901880615
med,pur,39201,7.490841416519583,7.027268962407605,7.954413870631561,5.270661834206249
med,pur,39001,7.45340245751764,6.9815131736025,7.925291741432781,5.365221372928377
med,pur,38801,7.307452942091742,6.834123030536945,7.780782853646539,5.381600821384138
med,pur,38601,7.243674214119059,6.7518506931157685,7.735497735122349,5.591866898741158
med,pur,38401,7.232092657071273,6.747530155819381,7.716655158323165,5.509311562802523
med,pur,38201,7.222615532010924,6.752682534966091,7.692548529055758,5.342979053626128
med,pur,38001,7.65528878237822,7.1812401887101,8.129337376046339,5.389771993661564
med,pur,37801,7.277201828034315,6.8166398726018675,7.737763783466762,5.236433483596997
med,pur,37601,7.144630696547946,6.653110546244003,7.636150846851889,5.58841767661313
med,pur,37401,7.338546967999575,6.84243704368081,7.834656892318339,5.640601853030367
med,pur,37201,7.244452734813537,6.758086570894939,7.730818898732135,5.52981859658951
med,pur,37001,7.392837551345506,6.900354002488396,7.885321100202616,5.599371191948797
med,pur,36801,7.647697019761437,7.153780598342626,8.141613441180247,5.615662467794124
med,pur,36601,7.5474905114233595,7.07808740321358,8.016893619633139,5.336954396995832
med,pur,36401,7.246072622155028,6.7720800506645284,7.720065193645527,5.389135040471541
med,pur,36201,6.9835224150406425,6.522386174786051,7.444658655295234,5.2429629075677
med,pur,36001,7.012958319114795,6.549242709125642,7.476673929103948,5.2722894680560906
med,pur,35801,7.152091158163439,6.680234355190224,7.623947961136654,5.3648520756169695
med,pur,35601,7.153450909532528,6.688772241445171,7.618129577619885,5.2832391125340985
med,pur,35401,7.1138236811342175,6.632235652981893,7.595411709286542,5.475492810838931
med,pur,35201,7.278136796506899,6.811385553948016,7.744888039065781,5.306803582486368
med,pur,35001,7.230769438678813,6.747845628784482,7.7136932485731435,5.490680196940008
med,pur,34801,7.30945337314799,6.838796325884336,7.780110420411645,5.351211259445384
med,pur,34601,7.369340845122122,6.884353961997177,7.854327728247067,5.5141366410003
med,pur,34401,7.1616567506901445,6.702177952426681,7.621135548953608,5.224118353350641
med,pur,34201,7.013849616034787,6.560981502537416,7.466717729532158,5.14895710598673
med,pur,34001,7.579514477832273,7.128653473546821,8.030375482117725,5.126136953869165
med,pur,33801,7.2747453910930036,6.795956297336014,7.753534484849993,5.443669874503771
med,pur,33601,6.997728095145049,6.554773384001133,7.440682806288964,5.036245077978982
med,pur,33401,6.956580563381607,6.490292715750548,7.422868411012666,5.301534939065952
med,pur,33201,6.95797469797467,6.491603943038351,7.424345452910989,5.302477567053735
med,pur,33001,7.075347226012128,6.606125453853295,7.544568998170961,5.33489266749829
med,pur,32801,7.594377030031581,7.103524009548778,8.085230050514385,5.580832636441841
med,pur,32601,7.392869490801597,6.899549971372612,7.886189010230582,5.608875894285222
med,pur,32401,7.338221303812532,6.874497300163383,7.801945307461682,5.272384901128087
med,pur,32201,7.153052611691383,6.694976452190953,7.6111287711918125,5.208170825558767
med,pur,32001,7.1855044823438625,6.713979427026785,7.65702953766094,5.361080217098895
med,pur,31801,7.153810108836509,6.67630805472453,7.631312162948487,5.429036669541102
med,pur,31601,7.060088131740063,6.608190960714188,7.511985302765938,5.1379178188540795
med,pur,31401,7.346929587441267,6.879953326769341,7.813905848113192,5.3093619622388735
med,pur,31201,7.135369256321229,6.642331345620874,7.628407167021584,5.605674098395492
med,pur,31001,7.493392066012595,7.036121241925829,7.950662890099362,5.199014434597915
med,pur,30801,6.841284225242011,6.393536736479816,7.289031714004206,5.0907373366290125
med,pur,30601,7.267600120868729,6.785366845839736,7.749833395897722,5.482829049341312
med,pur,30401,7.293691503205674,6.826056078411567,7.761326927999781,5.316856435110253
med,pur,30201,7.050671253455788,6.581129629077061,7.520212877834515,5.338529278934161
med,pur,30001,7.191776651655768,6.7321754959972315,7.651377807314305,5.225509515501522
med,pur,29801,7.161569669051618,6.677918318461863,7.645221019641372,5.498952088296345
med,pur,29601,7.206522468296633,6.733433947660219,7.679610988933047,5.378856288378866
med,pur,29401,7.168543273171369,6.70490847520429,7.632178071138448,5.271370662728646
med,pur,29201,7.136990206391824,6.670859860832247,7.6031205519514,5.299744193844554
med,pur,29001,7.120189352292482,6.676047356145494,7.56433134843947,5.049744106440463
med,pur,28801,7.03500836039966,6.577624599742904,7.492392121056415,5.200298485157539
med,pur,28601,7.128986128538556,6.648961784899775,7.609010472177337,5.457714247395035
med,pur,28401,7.0898876463920315,6.6259987775133755,7.5537765152706875,5.274259362963002
med,pur,28201,7.33771693083528,6.875558759154982,7.799875102515578,5.254581921844489
med,pur,28001,7.098692493231892,6.6403275317033845,7.5570574547604,5.211454406827528
med,pur,27801,7.166829072394277,6.670370598456735,7.663287546331819,5.644564744174406
med,pur,27601,7.096450114394374,6.624423001554917,7.5684772272338305,5.366788441127958
med,pur,27401,7.353794439059457,6.871605368821747,7.835983509297167,5.482326455832492
med,pur,27201,7.408139664997527,6.920520748563194,7.895758581431859,5.5440619685021755
med,pur,27001,7.027447457997214,6.552018390121548,7.50287652587288,5.405467517962635
med,pur,26801,7.223348245589603,6.73112498547957,7.715571505699637,5.59641179703022
med,pur,26601,7.113369071869505,6.635196664721883,7.591541479017126,5.43665835656988
med,pur,26401,7.075024057676887,6.591592959148736,7.558455156205039,5.496447896934879
med,pur,26201,7.415476060336267,6.918515864182065,7.9124362564904684,5.6502691558909826
med,pur,26001,7.192625554781517,6.702808782151806,7.682442327411229,5.569050849233342
med,pur,25801,7.153087279772103,6.706296085332644,7.599878474211561,5.0798645939878035
med,pur,25601,7.401571708557359,6.941581645027574,7.8615617720871445,5.2299312663105475
med,pur,25401,6.889971385305414,6.42213770025211,7.357805070358719,5.319110587124945
med,pur,25201,7.276577966155524,6.808817271780147,7.744338660530901,5.318280707832089
