mut_rate,chrom,time,mean_heterozygosity,CI_5%,CI_95%,stdev
high,neut,40000,421.83594651802724,417.978757597826,425.69313543822847,43.854931950112906
high,neut,39800,419.66945179056717,415.7042605782395,423.63464300289485,45.08288144121963
high,neut,39600,416.3464290415472,412.2811302647062,420.4117278183882,46.22107055257732
high,neut,39400,416.7389059371495,412.7484874315807,420.72932444271834,45.36970722322365
high,neut,39200,413.14485177152625,409.209207978386,417.0804955646665,44.74693729003182
high,neut,39000,412.81805761509764,408.86798262146704,416.76813260872825,44.91101515309667
high,neut,38800,413.1859418147894,409.08866401768404,417.2832196118947,46.5846611846509
high,neut,38600,410.94831174034533,406.9929240369575,414.90369944373316,44.971418864113815
high,neut,38400,409.97119253677477,406.0411230960296,413.90126197751994,44.68355879081707
high,neut,38200,408.77109513802225,404.78628985621947,412.755900419825,45.305886769683035
high,neut,38000,407.3338659078648,403.2355012586691,411.43223055706045,46.59701832490233
high,neut,37800,407.6403992972041,403.5181550065275,411.76264358788075,46.86852176271805
high,neut,37600,404.8623459628254,400.7567386066833,408.96795331896743,46.679365450448316
high,neut,37400,405.7732089008136,401.7255216027472,409.82089619887995,46.0208340022861
high,neut,37200,404.0938665719483,400.13254791923055,408.05518522466605,45.038851749731904
high,neut,37000,404.03720289302254,399.96209379516057,408.1123119908845,46.332610580739015
high,neut,36800,400.8346378273187,396.8967744085232,404.77250124611425,44.772173682151085
high,neut,36600,401.3326445414068,397.323872050098,405.34141703271564,45.57838582629319
high,neut,36400,398.16757604716486,394.045357592073,402.2897945022567,46.868228020867214
high,neut,36200,397.8662326151641,393.7763175851754,401.95614764515284,46.50094901562238
high,neut,36000,397.2196870005775,393.2403112698282,401.19906273132676,45.2441546126905
high,neut,35800,396.20856078190855,392.0878554704426,400.3292660933745,46.851024090202536
high,neut,35600,393.0148386981827,388.9176152158484,397.112062180517,46.58404364409567
high,neut,35400,394.23970160583184,390.2088012068289,398.27060200483476,45.82997264410216
high,neut,35200,392.0720871450648,388.13622443434065,396.007949855789,44.749426308833925
high,neut,35000,392.1500035085183,388.1457843548158,396.1542226622208,45.52661591950266
high,neut,34800,389.22188350565466,385.19986442295016,393.24390258835916,45.72899508506844
high,neut,34600,387.6273023942904,383.6303095598117,391.6242952287691,45.44445511681297
high,neut,34400,387.5284087680975,383.5008778495333,391.5559396866617,45.79166279244521
high,neut,34200,384.9602775892399,381.08141849069824,388.8391366877816,44.10131454016227
high,neut,34000,384.4371626585105,380.5062621459374,388.3680631710836,44.69300779609359
high,neut,33800,383.1578628969417,379.125685570827,387.1900402230564,45.844490872986626
high,neut,33600,381.1342959235302,377.05706786480556,385.21152398225485,46.35670244825157
high,neut,33400,380.7439764891161,376.78829564544384,384.6996573327884,44.97475176988814
high,neut,33200,380.0589528552293,376.0397452330451,384.07816047741346,45.69702973093361
high,neut,33000,377.98622851765856,374.0124419537161,381.960015081601,45.18060767862969
high,neut,32800,376.3475952144746,372.3659851575831,380.3292052713661,45.269558144368744
high,neut,32600,374.8506167301383,370.8117553703956,378.88947808988104,45.92048607207381
high,neut,32400,371.7210081838834,367.6010134821661,375.8410028856007,46.84294469797765
