mut_rate,chrom,time,mean_heterozygosity,CI_5%,CI_95%,stdev
low,neut,40000,3.8824359893126346,3.5406680959744286,4.224203882650841,3.885785222129763
low,neut,39800,4.075821100947243,3.714909412525346,4.43673278936914,4.103443690001327
low,neut,39600,4.145069851893921,3.792055899969854,4.498083803817988,4.01364910025274
low,neut,39400,4.069641819387107,3.726770199186817,4.412513439587397,3.898334222821617
low,neut,39200,4.014745880136425,3.658088576254072,4.371403184018777,4.055072778352646
low,neut,39000,3.874925466675328,3.530836737298358,4.2190141960522975,3.9121723420383354
low,neut,38800,3.8282829649542633,3.4801067867775037,4.176459143131023,3.9586452508516774
low,neut,38600,3.8982276220519316,3.5431328736671692,4.2533223704366945,4.037307051437846
low,neut,38400,3.953996946334595,3.5964531522350174,4.3115407404341735,4.0651518719503805
low,neut,38200,3.905772411988657,3.554353238393329,4.2571915855839855,3.9955170106586713
low,neut,38000,4.006957670344522,3.648074339920364,4.36584100076868,4.080381946383991
low,neut,37800,4.005365368156266,3.6502821859407906,4.360448550371741,4.037175548009438
low,neut,37600,4.044997065564561,3.678385228206422,4.4116089029227,4.168252453293993
low,neut,37400,3.9198713162409504,3.5599491220289905,4.279793510452911,4.092193475884374
low,neut,37200,3.891510498405675,3.5404933541798855,4.242527642631465,3.9909460728571235
low,neut,37000,3.9140328906822393,3.562635403233016,4.265430378131462,3.9952704465205433
low,neut,36800,4.077192594500635,3.7200523324254045,4.434332856575865,4.060563849472465
low,neut,36600,3.946726983415468,3.5901230580692003,4.303330908761736,4.054465882471729
low,neut,36400,3.9037590254087084,3.5464854425922034,4.2610326082252135,4.062079661157375
low,neut,36200,4.052503807411676,3.6905710304906707,4.414436584332681,4.1150531204881045
low,neut,36000,4.059934322539217,3.7023589459276574,4.417509699150776,4.065510954417542
low,neut,35800,3.8291133641626796,3.492334632402051,4.165892095923308,3.829060144359556
low,neut,35600,3.8978630824653564,3.549812694255147,4.245913470675566,3.957215061525412
low,neut,35400,3.8359686005568148,3.4881459616673913,4.183791239446238,3.9546256288656734
low,neut,35200,3.766662950326729,3.39711042443139,4.136215476222068,4.201687086223158
low,neut,35000,3.8976738200578436,3.5498202447055296,4.245527395410157,3.9549773659734213
low,neut,34800,3.735294041440198,3.3919688482871346,4.078619234593262,3.9034911937115058
low,neut,34600,3.773186517191938,3.4276207478500282,4.118752286533848,3.9289657863030887
low,neut,34400,3.7282758819766673,3.367524217155809,4.089027546797526,4.101624275842692
