mut_rate,chrom,time,mean_heterozygosity,CI_5%,CI_95%,stdev
high,ben,40000,673.5201421494781,665.0459534762767,681.9943308226796,96.34865579160709
high,ben,39800,670.293319667647,661.8426809689503,678.7439583663437,96.08090055568297
high,ben,39600,667.8952645188131,659.465748154898,676.3247808827281,95.84074676139295
high,ben,39400,665.3617779883353,656.9418762618137,673.781679714857,95.73143158981749
high,ben,39200,661.637763170003,653.2353988717455,670.0401274682606,95.53203696875833
high,ben,39000,659.2592338134112,650.7434396950122,667.7750279318103,96.82169561559435
high,ben,38800,656.3560445508357,647.9486084205039,664.7634806811675,95.5897019820823
high,ben,38600,652.6601125549317,644.3162586858951,661.0039664239683,94.86679320057802
high,ben,38400,649.1817712215989,640.811839453094,657.5517029901038,95.16329008736292
high,ben,38200,646.5535978441865,638.1658651970096,654.9413304913634,95.36568005035556
high,ben,38000,642.5399517761294,634.177698390572,650.9022051616869,95.07598947320768
high,ben,37800,639.2823017514662,630.9392753081713,647.6253281947611,94.85738565006643
high,ben,37600,636.052500668134,627.696094460635,644.4089068756331,95.00950903858117
high,ben,37400,632.486536241661,624.1904848990035,640.7825875843185,94.32329466193428
high,ben,37200,629.7381931921448,621.5062508217686,637.9701355625209,93.59439735486602
high,ben,37000,626.5015598453476,618.3047812701724,634.6983384205229,93.19459691015192
high,ben,36800,623.3851327997304,615.1860694940048,631.584196105456,93.22057352288252
high,ben,36600,620.5730915786388,612.438749970053,628.7074331872246,92.48470974164672
high,ben,36400,617.2382270780215,609.1664493658751,625.3100047901679,91.77337942372596
high,ben,36200,614.0119608980477,605.988306610869,622.0356151852264,91.22623237679022
high,ben,36000,611.1960852296846,603.2573843741361,619.1347860852331,90.26034062501192
high,ben,35800,607.9937659543913,600.1503799198215,615.8371519889611,89.17664338478401
high,ben,35600,604.4183345588364,596.5950813899088,612.2415877277639,88.9477395195683
high,ben,35400,601.0626433203412,593.2896436425899,608.8356429980925,88.37637434109689
high,ben,35200,597.9342288102664,590.1599000739978,605.708557546535,88.39148528640933
high,ben,35000,594.5324135093116,586.637337354448,602.4274896641751,89.76434254986911
high,ben,34800,591.1268964551031,583.22947093468,599.0243219755262,89.79105404076897
high,ben,34600,588.780257005953,580.8250852621492,596.7354287497568,90.4476090473114
high,ben,34400,585.4655707163575,577.6234295962945,593.3077118364206,89.16248912838054
high,ben,34200,582.6657724343534,574.8716396970863,590.4599051716204,88.61665007198167
high,ben,34000,579.4182407643625,571.6950857964209,587.1413957323041,87.80965686834651
high,ben,33800,576.4188392944897,568.6520523513383,584.185626237641,88.30573765237355
high,ben,33600,573.8483844855858,566.00202428296,581.6947446882117,89.21045866850679
high,ben,33400,569.9118930742778,562.1023246815039,577.7214614670518,88.79214824846795
high,ben,33200,566.7604980205036,558.9569351844842,574.564060856523,88.72386710169496
high,ben,33000,563.4807587399066,555.7125104699277,571.2490070098855,88.32235244358716
high,ben,32800,560.6987476383449,552.9660420972635,568.4314531794263,87.91824365105134
high,ben,32600,557.1181516961827,549.3938045292982,564.8424988630672,87.82321176663956
high,ben,32400,554.9264210996881,547.1899653945752,562.662876804801,87.96088174625692
high,ben,32200,551.7019706509693,543.9619509446765,559.4419903572622,88.00140323287602
high,ben,32000,547.581992497919,539.809026155573,555.3549588402651,88.37599532882734
high,ben,31800,543.7224332076613,535.9645531811234,551.4803132341992,88.20446902642658
high,ben,31600,541.0483050207941,533.3443406382574,548.7522694033308,87.59146641036658
high,ben,31400,537.1269345541838,529.4439856201527,544.8098834882148,87.35252787684283
high,ben,31200,534.5340840083564,526.8739257175071,542.1942422992058,87.09340598094656
high,ben,31000,531.7566934080487,524.0725182281035,539.4408685879939,87.36646987767098
high,ben,30800,528.8100188642366,521.1821624197223,536.4378753087508,86.72614492575985
high,ben,30600,524.6637874718903,517.0002202899639,532.3273546538167,87.13216391821749
high,ben,30400,521.5382796737812,513.851279725,529.2252796225623,87.39858654284767
high,ben,30200,518.6003146839573,510.8970083888611,526.3036209790536,87.5839841790016
high,ben,30000,515.1457570077469,507.5410510240386,522.7504629914552,86.46293202531193
high,ben,29800,512.0270923630428,504.4887372012957,519.5654475247899,85.70854564649032
high,ben,29600,508.8544725005586,501.3049618623424,516.4039831387747,85.83537963661743
high,ben,29400,505.8411991496368,498.29859450483497,513.3838037944387,85.7568608299165
high,ben,29200,502.58045290599694,495.04819054540167,510.1127152665922,85.63927256046168
high,ben,29000,499.4713694755767,491.97837406741405,506.96436488373934,85.1928206073818
high,ben,28800,496.19278286657504,488.7953388531095,503.5902268800406,84.10643360408129
high,ben,28600,493.4334115467339,486.12386475134576,500.74295834212205,83.10707199718685
high,ben,28400,490.1659427744045,482.87526368324507,497.456621865564,82.89255258885052
high,ben,28200,486.75884936788117,479.4656537861189,494.05204494964346,82.92116423490265
high,ben,28000,484.1641664653661,476.9252921948378,491.4030407358944,82.3035493197682
high,ben,27800,480.0028948061373,472.7349848852715,487.2708047270031,82.63367483242051
high,ben,27600,477.0484398712191,469.80661134604,484.29026839639823,82.33713819481545
high,ben,27400,473.3597156533107,466.162225850547,480.55720545607437,81.83302193437031
high,ben,27200,469.61187986584895,462.478516034971,476.7452436967269,81.1039313475555
high,ben,27000,467.1324489423101,459.9779594411375,474.28693844348265,81.34412306549807
high,ben,26800,463.1681480000349,456.0622353942616,470.27406060580813,80.7918202133018
high,ben,26600,459.6263319788798,452.46493024953213,466.7877337082275,81.42271275931755
high,ben,26400,455.96378212635466,448.8189422300385,463.10862202267083,81.23441032570739
high,ben,26200,453.71027999858313,446.5330306165124,460.88752938065386,81.60289520464671
high,ben,26000,449.64307910544335,442.54732356197223,456.73883464891446,80.67633785418273
high,ben,25800,446.8092044795053,439.6910559073671,453.9273530516435,80.93093900768285
high,ben,25600,444.1002855298066,436.9909000981183,451.20967096149496,80.83130506803184
high,ben,25400,441.6489670204799,434.5745819075422,448.7233521334176,80.43336329520332
high,ben,25200,438.39109861108756,431.3583401841121,445.42385703806303,79.96008197091479
high,ben,25000,434.990992739947,427.9950847217561,441.9869007581379,79.54110530085407
high,ben,24800,431.9614367286351,424.9815133980586,438.94136005921155,79.35936481521082
high,ben,24600,428.0022641180871,421.1267354857366,434.8777927504376,78.17243244519538
high,ben,24400,425.1412669625158,418.2476534012143,432.03488052381726,78.3780519636777
high,ben,24200,422.2037756315421,415.2785881383117,429.1289631247725,78.73703687854372
high,ben,24000,419.0868737839813,412.12560857702215,426.0481389909404,79.14722826745982
high,ben,23800,415.6645102101471,408.79843981057536,422.53058060971887,78.06489554112814
high,ben,23600,412.74449851862175,405.9382390459997,419.5507579912438,77.38486555413036
high,ben,23400,409.3523579699794,402.6566967432015,416.04801919675725,76.1274009482628
high,ben,23200,405.97821299832407,399.353822017165,412.60260397948315,75.31708238820703
high,ben,23000,403.04761027276874,396.4489914879247,409.6462290576128,75.02406124276071
high,ben,22800,399.3090715849879,392.73217303150653,405.8859701384693,74.77710956679763
high,ben,22600,396.31941564828844,389.69559005334077,402.9432412432361,75.31065413842761
high,ben,22400,392.9778772020233,386.36360219069627,399.59215221335035,75.20206723655888
high,ben,22200,389.55244816962363,382.9510931450686,396.15380319417864,75.05517136176309
high,ben,22000,385.9900622955865,379.48403246102356,392.4960921301494,73.97135622936494
high,ben,21800,382.8365569296888,376.37897970664955,389.2941341527281,73.42046644275177
high,ben,21600,380.11541032954744,373.6945143986439,386.536306260451,73.00341257172462
high,ben,21400,377.5096236373966,371.0605164705952,383.958730804198,73.3241647713511
high,ben,21200,374.0136172398955,367.6246879387823,380.4025465410087,72.63996281514437
high,ben,21000,370.8419529166677,364.4763337607396,377.20757207259584,72.37493435737723
high,ben,20800,367.2956000023144,360.9515137896074,373.6396862150214,72.13011208416557
high,ben,20600,363.681724819914,357.36246732795206,370.00098231187593,71.84781793648202
high,ben,20400,359.99935818872916,353.71516650961615,366.28354986784217,71.4491315179322
high,ben,20200,357.54973021552667,351.3729196767353,363.726540754318,70.22824431252036
high,ben,20000,353.9283519961832,347.7481608123484,360.10854318001805,70.26668110195311
high,ben,19800,350.64500061719343,344.5199095339148,356.77009170047205,69.64021161592875
high,ben,19600,346.94855384873796,340.8502062454523,353.04690145202363,69.33614730394817
high,ben,19400,343.79146689378587,337.73831892712957,349.84461486044216,68.82224274040217
high,ben,19200,339.8875835927184,333.95234731617313,345.82281986926364,67.48162674960619
high,ben,19000,336.2144331700148,330.2714255075888,342.1574408324408,67.56998477562195
high,ben,18800,332.8849874770376,326.9474630062549,338.8225119478203,67.50764274328654
high,ben,18600,330.25926194058013,324.44091950057054,336.0776043805897,66.15258340930923
high,ben,18400,326.93222230538476,321.1043896614611,332.7600549493084,66.26048381435983
high,ben,18200,323.8924889156718,318.1330723170522,329.65190551429134,65.48261654542884
high,ben,18000,320.6890275649988,314.93392016818814,326.4441349618095,65.43362237998889
high,ben,17800,316.9148288048397,311.1285518860842,322.7011057235952,65.78800929027223
high,ben,17600,314.15823662829797,308.32044338824716,319.9960298683488,66.37373241959446
high,ben,17400,311.5208928627066,305.6975957516611,317.3441899737521,66.20891634129998
high,ben,17200,308.9726235079716,303.1297287068758,314.8155183090674,66.43173544124929
high,ben,17000,306.4548097679848,300.63484399262313,312.27477554334644,66.17104018258937
high,ben,16800,302.6892759255209,296.93530424791885,308.443247603123,65.42070963715001
high,ben,16600,299.5111764835913,293.8233620659883,305.19899090119435,64.66852399229667
high,ben,16400,295.8473245061967,290.24245776795703,301.45219124443634,63.72543696463006
high,ben,16200,292.2110122227194,286.6442687060752,297.77775573936356,63.29198884389349
high,ben,16000,289.62953138505867,284.03910183011635,295.219960940001,63.561291079075836
high,ben,15800,287.287633488114,281.7732146476895,292.80205232853854,62.697074992796715
high,ben,15600,283.37914441923226,277.8830276337687,288.87526120469585,62.488986825101094
high,ben,15400,280.9962234028554,275.53499709865133,286.4574497070594,62.09229386735397
high,ben,15200,278.0180113480246,272.55341484872355,283.4826078473256,62.13061184443379
high,ben,15000,275.1854672858028,269.74646025655125,280.6244743150544,61.83966823475473
high,ben,14800,271.97783759954046,266.58067735201513,277.3749978470658,61.36388449615579
high,ben,14600,268.1939006116671,262.7863129670669,273.6014882562673,61.48244047010381
high,ben,14400,264.76124298474485,259.4210865727445,270.1013993967452,60.715770188155005
