mut_rate,chrom,time,mean_heterozygosity,CI_5%,CI_95%,stdev
high,ben,40000,279.76307203261484,276.408102352074,283.11804171315566,38.14486925030762
high,ben,39800,279.90214087389364,276.5896951135568,283.2145866342305,37.66138667650121
high,ben,39600,279.4471495453696,275.93763192041087,282.95666717032833,39.90202704726676
high,ben,39400,280.9222525745374,277.4817067722878,284.36279837678705,39.1178407774314
high,ben,39200,278.567580950935,275.1477027610205,281.98745914084947,38.882857023386435
high,ben,39000,278.65015666196354,275.28052483705994,282.0197884868671,38.311572867002404
high,ben,38800,279.1363623192065,275.8735854455183,282.3991391928947,37.096668253556565
high,ben,38600,276.86606321428826,273.44326173569806,280.28886469287846,38.91609382578245
high,ben,38400,275.8490831757673,272.3002602348118,279.3979061167228,40.34891518108095
high,ben,38200,273.70895399341487,270.25778916883695,277.1601188179928,39.23857546562522
high,ben,38000,274.10035200751093,270.6548439401639,277.54586007485796,39.17426005132921
high,ben,37800,274.4502381358549,271.1083572189276,277.79211905278214,37.996054439972966
high,ben,37600,272.4078843610401,269.121791178761,275.6939775433192,37.361766787161386
high,ben,37400,270.3271922856168,266.893489190815,273.76089538041856,39.04004151074094
high,ben,37200,271.0780096301971,267.7088415573949,274.4471777029992,38.30630016263844
high,ben,37000,267.8185770578875,264.44391078139034,271.1932433343847,38.36881287691919
high,ben,36800,269.8448837932174,266.45968717035566,273.2300804160791,38.488539349430845
high,ben,36600,267.6556513470947,264.3938488746814,270.917453819508,37.0855896410008
high,ben,36400,266.8176837727586,263.57236901590505,270.0629985296121,36.89812989794792
high,ben,36200,267.02272427930404,263.7622882731256,270.2831602854825,37.07005338260562
high,ben,36000,266.4616123606128,263.181528633201,269.7416960880245,37.29344132016558
high,ben,35800,264.67523689730035,261.42827162337625,267.92220217122446,36.916895718163275
high,ben,35600,262.9556607542703,259.70225913666394,266.20906237187666,36.99007476643708
high,ben,35400,261.7247340030344,258.3850620852944,265.06440592077445,37.97093886719733
high,ben,35200,262.57498334784407,259.2918985381934,265.85806815749476,37.32756260903366
high,ben,35000,261.8713566304123,258.49730276338045,265.2454104974442,38.36184998866508
high,ben,34800,259.8670437993782,256.4869689329253,263.2471186658311,38.430306713327326
high,ben,34600,260.2849464770441,256.98433517102393,263.5855577830643,37.52683293815392
high,ben,34400,259.9201865232931,256.61174840820246,263.2286246383838,37.61582110707034
high,ben,34200,259.5883692652961,256.2641475362667,262.91259099432546,37.795275453104985
high,ben,34000,258.52292708388615,255.22243249489512,261.8234216728772,37.52550590505365
high,ben,33800,255.7813915744712,252.5907199798738,258.9720631690686,36.27685564567279
high,ben,33600,255.91099683983617,252.6386305549973,259.18336312467505,37.2056966112945
high,ben,33400,255.8821052569365,252.67000583557967,259.09420467829335,36.5204827803077
high,ben,33200,254.22784963534187,250.94097578471556,257.5147234859682,37.37064272192916
high,ben,33000,253.5680899788969,250.5713459478128,256.564834009981,34.07196491382756
high,ben,32800,253.5616278355333,250.41657486893027,256.70668080213636,35.758187292180324
high,ben,32600,251.70808159381272,248.5148078875191,254.90135530010633,36.30644077456455
high,ben,32400,252.77287338344578,249.60207907079078,255.9436676961008,36.05085768058174
high,ben,32200,251.82817427854607,248.69726170780442,254.95908684928773,35.59741577927844
high,ben,32000,249.52918113767626,246.3726778129983,252.68568446235423,35.88837398631665
high,ben,31800,247.4579665026791,244.18302286367668,250.73291014168154,37.23500025542309
high,ben,31600,246.1212753581137,243.01617024226306,249.22638047396435,35.30399375576217
high,ben,31400,246.19617447593097,243.0857935097624,249.30655544209955,35.36397838743523
high,ben,31200,245.5676802098507,242.48641989529995,248.64894052440144,35.03288643900763
high,ben,31000,243.9429548704803,240.799973531977,247.08593620898358,35.73463358215463
high,ben,30800,244.32526215098224,241.30758630214885,247.34293799981563,34.30995259396943
high,ben,30600,242.94485223278886,239.69225835361596,246.19744611196177,36.98089105395471
high,ben,30400,244.12579647483275,241.08684983039623,247.16474311926927,34.55179433752915
high,ben,30200,244.0134757104845,240.92444888639864,247.10250253457036,35.12118902262459
high,ben,30000,240.66536058461793,237.5692182816249,243.76150288761096,35.20208960844538
high,ben,29800,239.36291402748273,236.19996811156332,242.52585994340214,35.96162406722293
high,ben,29600,239.33364216545212,236.2399512101794,242.42733312072482,35.174218614909776
high,ben,29400,239.79577793467996,236.61029117368983,242.9812646956701,36.2179058431808
high,ben,29200,237.81684924517205,234.68451277348058,240.94918571686352,35.61360505093451
high,ben,29000,236.41672144387724,233.39305180506213,239.44039108269234,34.37809995652011
high,ben,28800,234.21657288884649,231.09233980232696,237.340805975366,35.521472305395285
high,ben,28600,232.78988817492237,229.75258007271768,235.82719627712706,34.53316466717564
high,ben,28400,234.42991342685264,231.44660549619772,237.41322135750755,33.91920100151052
high,ben,28200,232.6221525977901,229.6205884794469,235.6237167161333,34.12676767384655
high,ben,28000,232.1728009248775,229.09424544603087,235.25135640372412,35.002133372929
high,ben,27800,231.05747141309774,227.97681068747025,234.13813213872524,35.0260693159755
high,ben,27600,231.4477590338881,228.44271852512597,234.45279954265024,34.16629305577851
high,ben,27400,229.0478836094998,226.23308338497029,231.8626838340293,32.00332544081489
high,ben,27200,229.84658615632787,226.89771036237585,232.7954619502799,33.52771926617376
high,ben,27000,227.2106105811653,224.26522490168406,230.15599626064653,33.48803784641911
high,ben,26800,225.79597783760906,222.79577412991583,228.7961815453023,34.11130026540145
