mut_rate,chrom,time,mean_heterozygosity,CI_5%,CI_95%,stdev
low,ben,40000,2.788555393319328,2.4906411926514034,3.0864695939872524,3.3871835856519636
low,ben,39800,2.897494395606266,2.607489750244863,3.187499040967669,3.2972546200504924
low,ben,39600,2.7660990494518463,2.473039010078131,3.0591590888255613,3.331993415391562
low,ben,39400,2.7809811188118903,2.4836888523755873,3.078273385248193,3.3801124040299326
low,ben,39200,2.812273442199585,2.5217730631345905,3.10277382126458,3.3028909444012426
low,ben,39000,2.7977100541135216,2.493565159867037,3.101854948360006,3.4580244618814566
low,ben,38800,2.7350358389608878,2.446760630835043,3.0233110470867324,3.277591504282377
low,ben,38600,2.65683339387876,2.3609204164077835,2.9527463713497366,3.3644303555315758
low,ben,38400,2.55603603443078,2.263776730017874,2.8482953388436862,3.322889330021919
low,ben,38200,2.6184284575394314,2.332772139981035,2.904084775097828,3.24781560530612
low,ben,38000,2.7652555572509168,2.4778584106424955,3.052652703859338,3.2676082421473684
low,ben,37800,2.6886949345523816,2.4076814316885224,2.969708437416241,3.19502837432048
low,ben,37600,2.718884146749605,2.434498704661599,3.003269588837611,3.233366181535576
low,ben,37400,2.766266619974483,2.4636974604540476,3.068835779494919,3.4401088916016636
low,ben,37200,2.688892263234403,2.406187648965764,2.9715968775030417,3.2142557383700523
low,ben,37000,2.6561826944718616,2.3772725449560848,2.9350928439876385,3.1711139589637183
low,ben,36800,2.633844688701353,2.359383184777373,2.908306192625333,3.120534364929147
low,ben,36600,2.6412300467748437,2.3602656412736263,2.9221944522760612,3.194470153931971
low,ben,36400,2.6884053076303442,2.401647640120493,2.9751629751401953,3.2603375813289546
low,ben,36200,2.6806358446345424,2.39453732466507,2.9667343646040147,3.252843296987061
low,ben,36000,2.5408354976635437,2.26625711793877,2.8154138773883175,3.1218632032091684
low,ben,35800,2.56405384175183,2.2889386398889906,2.8391690436146693,3.1279666891470397
low,ben,35600,2.4955365516374726,2.214134594905051,2.776938508369894,3.1994449632726925
low,ben,35400,2.3866705578305614,2.1047382422943612,2.6686028733667615,3.205474963288261
low,ben,35200,2.5019582613686344,2.2234189025511504,2.7804976201861185,3.1668981942765884
low,ben,35000,2.386031339630864,2.113538760538263,2.6585239187234646,3.098148356288815
low,ben,34800,2.5731894167425766,2.2841660717386025,2.8622127617465507,3.286097567262048
low,ben,34600,2.3399656677069425,2.053456676975253,2.626474658438632,3.257510210565047
low,ben,34400,2.463174157732405,2.172568467383209,2.7537798480816007,3.304088298043435
low,ben,34200,2.3394229743918085,2.0636178500965814,2.6152280986870355,3.1358108735904757
low,ben,34000,2.517266778515735,2.229255934828302,2.8052776222031683,3.2745857701333794
low,ben,33800,2.4260878091338176,2.1371934911742403,2.714982127093395,3.284630573456764
low,ben,33600,2.347010768866155,2.060663071523776,2.6333584662085334,3.2556763593437115
low,ben,33400,2.4166883029046877,2.1402672580607813,2.693109347748594,3.142813681673722
low,ben,33200,2.479352918369766,2.196248209211275,2.762457627528257,3.2188046817925913
low,ben,33000,2.4096730751037296,2.1339312480582415,2.6854149021492177,3.1350912052938575
low,ben,32800,2.487114780830875,2.213340298164846,2.7608892634969044,3.112723165856708
low,ben,32600,2.440368405711728,2.1711691377054323,2.709567673718024,3.060704524376913
low,ben,32400,2.4256078999444255,2.1619004406211015,2.6893153592677495,2.9982645192183885
low,ben,32200,2.3715680267860546,2.100265130703412,2.6428709228686973,3.0846220633010177
low,ben,32000,2.3792697844726733,2.100436803294617,2.65810276565073,3.170236581093608
low,ben,31800,2.2625610082741163,1.9842618599521913,2.5408601565960414,3.164167082279127
low,ben,31600,2.3871125698488895,2.1161261099294237,2.6580990297683553,3.081024291273315
low,ben,31400,2.339765248411222,2.078675766054953,2.6008547307674914,2.9684990075692594
low,ben,31200,2.4334185303928475,2.156975278078008,2.709861782707687,3.1430661730986222
low,ben,31000,2.17809235553751,1.9261947860787967,2.4299899249962236,2.863990070373449
low,ben,30800,2.3255381909594917,2.067660469892869,2.583415912026114,2.9319823692319997
low,ben,30600,2.4174609300772416,2.160920852193018,2.6740010079614653,2.91677381918396
low,ben,30400,2.2469665740661293,1.992005065515753,2.5019280826165056,2.898826020373313
low,ben,30200,2.4245197011270214,2.154140783154107,2.694898619099936,3.0741167450592024
low,ben,30000,2.394256659110145,2.1429838938506562,2.645529424369634,2.85688625819157
low,ben,29800,2.4168063055525653,2.1550257728209887,2.678586838284142,2.976356016341754
low,ben,29600,2.39510134903428,2.138133092363934,2.652069605704626,2.9216420669976757
low,ben,29400,2.3233416836906873,2.058648367472955,2.5880349999084196,3.009473378289406
low,ben,29200,2.4636036833364545,2.1786839185521343,2.7485234481207748,3.239441249667067
low,ben,29000,2.3316116415569685,2.06010795135283,2.603115331761107,3.086905024472058
low,ben,28800,2.2701965218327564,2.0136849071306138,2.526708136534899,2.9164502024415406
low,ben,28600,2.4481217996017857,2.168661414119377,2.727582185084194,3.177369955590368
low,ben,28400,2.263496894480122,1.9907961894913109,2.5361975994689328,3.100514677255763
low,ben,28200,2.346900656349932,2.091425647996721,2.602375664703143,2.904664339256731
low,ben,28000,2.363460977902191,2.100789156989815,2.626132798814567,2.9864896611607046
low,ben,27800,2.3167071051981423,2.0552589434116944,2.57815526698459,2.9725770712388933
low,ben,27600,2.192973506337813,1.9420537670497424,2.4438932456258833,2.852872472433737
low,ben,27400,2.286294512078099,2.0307303362346927,2.541858687921505,2.9056781434274797
low,ben,27200,2.1926101041898334,1.9371871520130115,2.448033056366655,2.9040724781577896
low,ben,27000,2.3096479008689874,2.057237611973869,2.5620581897641057,2.8698195167547933
low,ben,26800,2.277569678371802,2.013264335690274,2.54187502105333,3.0050622505534577
low,ben,26600,2.2712123099641883,2.0012636254341523,2.5411609944942244,3.0692251364938894
low,ben,26400,2.3339321197760365,2.073471058060429,2.594393181491644,2.9613540776727922
low,ben,26200,2.2478511367173697,1.9909013383434404,2.504800935091299,2.921432202417534
low,ben,26000,2.3474886140055733,2.0794511718651854,2.6155260561459612,3.0474949576843344
low,ben,25800,2.0756952287742885,1.8234584275783965,2.3279320299701802,2.867847020358804
