mut_rate,chrom,time,mean_heterozygosity,CI_5%,CI_95%,stdev
med,ben,40000,127.02385855961471,121.42244397861619,132.62527314061322,63.68618710572433
med,ben,39800,126.08599220557016,120.55589567379893,131.6160887373414,62.87532503482685
med,ben,39600,125.52200500617852,119.98404291091595,131.0599671014411,62.9647538283855
med,ben,39400,125.21149519977187,119.66917962316239,130.75381077638136,63.01425143717916
med,ben,39200,124.83761604511898,119.29447152955743,130.38076056068053,63.023676192379305
med,ben,39000,124.56512784766008,119.0320841212212,130.09817157409896,62.9088336402561
med,ben,38800,123.2914039479104,117.85086597786359,128.73194191795722,61.85707451320865
med,ben,38600,122.60067805202624,117.16756713218038,128.0337889718721,61.772631467277684
med,ben,38400,121.78321345964956,116.38770058689789,127.17872633240123,61.34515440279247
med,ben,38200,120.85802097525428,115.48060708517237,126.23543486533619,61.139375098286095
med,ben,38000,120.16095814454549,114.84683394147427,125.4750823476167,60.419792787328554
med,ben,37800,119.4638953138367,114.15727226306367,124.77051836460973,60.33450722564357
med,ben,37600,118.34225784987802,113.08876797112941,123.59574772862663,59.730401051009366
med,ben,37400,117.98738949969899,112.75227823808508,123.2225007613129,59.52144239732289
med,ben,37200,117.7655967808371,112.55607539201954,122.97511816965466,59.23049420854786
med,ben,37000,117.18259877697157,111.97725340798844,122.3879441459547,59.18301427706146
med,ben,36800,117.06219701530371,111.8487466789614,122.27564735164601,59.27516501153356
med,ben,36600,116.35246031494567,111.19663724990778,121.50828337998357,58.619962449820825
med,ben,36400,115.84550552897564,110.68629866416283,121.00471239378844,58.658435107482084
med,ben,36200,115.46528943949812,110.34212107648341,120.58845780251283,58.24868954493985
med,ben,36000,114.64148791229681,109.54380241288214,119.73917341171148,57.95895801449263
med,ben,35800,114.27394569246854,109.16617902150142,119.38171236343567,58.07357752148522
med,ben,35600,113.43747029561803,108.36242857424052,118.51251201699553,57.70150592556018
med,ben,35400,112.9558632489465,107.82844563576468,118.08328086212832,58.29700208051254
med,ben,35200,112.44890846297645,107.39352955735885,117.50428736859405,57.477946368344334
med,ben,35000,111.75184563226767,106.71975395548904,116.78393730904631,57.21317846167246
med,ben,34800,111.5047051741073,106.5127918058104,116.4966185424042,56.75636469890628
med,ben,34600,110.76962073445075,105.77693528210531,115.7623061867962,56.765143033104714
med,ben,34400,110.05354709926809,105.07284679627189,115.03424740226428,56.628875943263765
med,ben,34200,109.48322296505181,104.51770285711922,114.4487430729844,56.456282265516435
med,ben,34000,109.23608250689142,104.30683643536605,114.16532857841679,56.043858754222065
med,ben,33800,108.481987262761,103.5951479813859,113.36882654413608,55.56170790946483
med,ben,33600,108.04473875986186,103.17301502764435,112.91646249207936,55.389849233779465
med,ben,33400,107.65184880073508,102.76067241945235,112.54302518201781,55.611019266840756
med,ben,33200,106.49218972782865,101.61657869287552,111.36780076278177,55.43404654961402
med,ben,33000,105.59234498273186,100.71706985916893,110.46762010629479,55.43022735084966
med,ben,32800,105.54798643895947,100.67284726031933,110.42312561759961,55.428681703109476
med,ben,32600,104.85092360825068,100.06851179262816,109.6333354238732,54.37440298376709
med,ben,32400,104.67348943316118,99.88297179510344,109.46400707121892,54.46656344016436
med,ben,32200,103.6025474477995,98.85413684236906,108.35095805322993,53.98782073694329
med,ben,32000,103.08291879218022,98.3466096881699,107.81922789619054,53.85023076345404
med,ben,31800,102.69002883305345,97.97698631687923,107.40307134922766,53.58569753799553
med,ben,31600,101.63176071734101,96.9339327203534,106.32958871432862,53.41271360659217
med,ben,31400,101.18817527961725,96.50812160906041,105.8682289501741,53.210625533592086
med,ben,31200,99.85741896644592,95.19234183238699,104.52249610050485,53.04034738477644
med,ben,31000,99.46452900731917,94.8347060211803,104.09435199345805,52.63951966023946
med,ben,30800,98.14010962897248,93.54004737832518,102.74017187961978,52.301150174904514
med,ben,30600,97.84861062703972,93.26367684593373,102.4335444081457,52.12914459883095
med,ben,30400,97.58245936440544,92.96013325456947,102.2047854742414,52.554282715173024
med,ben,30200,96.7459839675549,92.12984783721498,101.36212009789483,52.48390474427553
med,ben,30000,95.81445454833496,91.21543005403308,100.41347904263685,52.28935123664909
med,ben,29800,95.26947815341721,90.71183446130289,99.82712184553154,51.81886552762084
med,ben,29600,94.44567662621591,89.93982334232584,98.95152991010599,51.230026122724766
med,ben,29400,93.9450587750705,89.44682693472011,98.4432906154209,51.1433728903556
med,ben,29200,93.22898513988784,88.69741143270605,97.76055884706963,51.522458626426875
med,ben,29000,92.77906276733944,88.2889615714796,97.26916396319928,51.05093021559397
med,ben,28800,92.06932606698139,87.533688999041,96.60496313492177,51.56865766236817
med,ben,28600,91.8158486739964,87.34187006598272,96.28982728201008,50.867621851010114
med,ben,28400,90.87164538512722,86.41781242391372,95.32547834634073,50.63857266835665
med,ben,28200,90.68153734038846,86.22514189069861,95.13793279007831,50.6677072946551
med,ben,28000,90.11121320617217,85.67330419801436,94.54912221432997,50.45752271408105
med,ben,27800,89.24305313519851,84.84119912716987,93.64490714322714,50.04758957110091
med,ben,27600,89.38880263616488,84.95498465109257,93.82262062123719,50.41100916684947
med,ben,27400,87.95031843097493,83.55831137472913,92.34232548722073,49.93563306358059
med,ben,27200,87.22790786096765,82.8331992041192,91.6226165178161,49.966349347650734
med,ben,27000,87.20256012166914,82.80728233810063,91.59783790523764,49.97282012574726
med,ben,26800,86.73362694464689,82.37553576113335,91.09171812816042,49.550021074778954
med,ben,26600,86.18865054972909,81.83898681163616,90.53831428782202,49.45420387394164
med,ben,26400,85.78942365577771,81.46762157932794,90.11122573222748,49.13742621522277
med,ben,26200,84.8642311713824,80.60029114174989,89.12817120101491,48.47955433542578
med,ben,26000,83.97706029593486,79.7293187547529,88.22480183711683,48.29538300667061
med,ben,25800,84.00874497005798,79.74906482774762,88.26842511236833,48.431120859002135
med,ben,25600,83.24831279110295,79.0218607505194,87.4747648316865,48.053328593648295
med,ben,25400,82.69066252653592,78.45087773752374,86.9304473155481,48.204917428714914
med,ben,25200,82.49421754697254,78.29394109205838,86.6944940018867,47.755721047833354
med,ben,25000,81.39792782231234,77.21214259985742,85.58371304476726,47.590960641609875
med,ben,24800,80.70086499160357,76.54237566108267,84.85935432212446,47.28061559290996
med,ben,24600,79.8834003992269,75.73952256711678,84.02727823133702,47.114487803540406
med,ben,24400,79.46516270080164,75.34697859352936,83.58334680807393,46.822358852218755
med,ben,24200,79.0342511327271,74.92865268380378,83.13984958165044,46.67926417838777
med,ben,24000,78.64136117360033,74.58108247954698,82.70163986765368,46.16399391111889
med,ben,23800,78.10905864833182,74.05024060415084,82.1678766925128,46.14738681665669
med,ben,23600,77.45001742657077,73.43873886560552,81.46129598753602,45.60687898971309
med,ben,23400,76.53749881182472,72.5360209836712,80.53897663997824,45.49544797624401
med,ben,23200,75.83409904629131,71.84586022890102,79.82233786368161,45.34492490669267
med,ben,23000,74.92158043154527,70.94606735005272,78.89709351303782,45.20023759856312
med,ben,22800,73.95202940337758,70.0189802435125,77.88507856324266,44.71743718825536
med,ben,22600,73.38170526916132,69.48286634370034,77.2805441946223,44.32847840691807
med,ben,22400,72.63394695985554,68.75103771367264,76.51685620603843,44.147363347432915
med,ben,22200,71.81014543265424,67.9183172967366,75.70197356857187,44.2487681037153
med,ben,22000,71.16377808054244,67.31935927600487,75.00819688508001,43.709740059072594
med,ben,21800,71.06238712334844,67.24138779936132,74.88338644733557,43.443468495222724
med,ben,21600,69.69360920122936,65.8657952734254,73.52142312903332,43.520948233145056
med,ben,21400,68.92050315262509,65.10151976846981,72.73948653678036,43.420547941946566
med,ben,21200,68.35017901840878,64.5816115905697,72.11874644624787,42.84733558984566
med,ben,21000,67.64044231805077,63.83400215670731,71.44688247939425,43.277935745804
med,ben,20800,67.47568201261049,63.71813961434489,71.23322441087609,42.72198473675129
med,ben,20600,66.8736732042711,63.15495605078845,70.59239035775376,42.28055485008303
med,ben,20400,66.2273058521593,62.547578221493,69.90703348282561,41.83725717780077
med,ben,20200,65.35280884636101,61.69240378962938,69.01321390309265,41.617566054929355
med,ben,20000,64.91556034346186,61.28494001278782,68.5461806741359,41.278923804982085
med,ben,19800,64.47831184056272,60.83631197101059,68.12031171011486,41.40830530883038
med,ben,19600,64.21849751275307,60.597919831819254,67.8390751936869,41.16474227795099
med,ben,19400,63.02715376572352,59.493415443973184,66.56089208747386,40.17740816848128
med,ben,19200,62.127309020626726,58.55794964863792,65.69666839261554,40.58240744814276
med,ben,19000,60.96131301289567,57.438910340833594,64.48371568495776,40.048525669860304
med,ben,18800,60.403662748328635,56.9018521976802,63.90547329897707,39.81440022203117
med,ben,18600,59.186971262000576,55.69220139851613,62.68174112548502,39.734349993005026
med,ben,18400,59.25667754507145,55.77942262123798,62.73393246890492,39.535211059861055
med,ben,18200,58.17306169006052,54.72332841110803,61.622794969013015,39.222299276596
med,ben,18000,57.68511770856437,54.30965054669615,61.06058487043259,38.37791867240197
med,ben,17800,57.22252146636672,53.82603525489394,60.619007677839505,38.61689814920082
med,ben,17600,56.57615411425494,53.23872911430086,59.91357911420902,37.94539217279436
med,ben,17400,55.61927695573651,52.32560880986681,58.91294510160621,37.44789155824801
med,ben,17200,54.59903044897183,51.37867037332321,57.81939052462045,36.614403622486826
med,ben,17000,54.07940179335256,50.87638900868593,57.282414578019186,36.41717079794203
med,ben,16800,53.47105605018853,50.254865279230955,56.687246821146104,36.56700003990689
med,ben,16600,52.45714647824847,49.31613144718834,55.598161509308596,35.712277332332086
med,ben,16400,51.905833148506076,48.7815617502542,55.030104546757954,35.521907896819634
med,ben,16200,51.12005323025252,48.0148813332916,54.22522512721345,35.304753034373284
med,ben,16000,50.822217293495136,47.693942401482104,53.95049218550817,35.567426265271536
med,ben,15800,49.77028611260734,46.66213077732114,52.878441447893536,35.33867371791747
med,ben,15600,49.371059218655944,46.26414669700106,52.47797174031083,35.3245433477553
med,ben,15400,48.70568106207028,45.69708010184429,51.714282022296274,34.206774183327525
med,ben,15200,47.85019486074586,44.83579182352422,50.8645978979675,34.272741834141996
med,ben,15000,47.786825512499604,44.77521032693745,50.79844069806176,34.2410449047608
med,ben,14800,47.020056398719944,44.080381226207855,49.959731571232034,33.42311131579973
med,ben,14600,46.35467824213428,43.44017249464879,49.26918398961976,33.13694347579993
med,ben,14400,45.778017173093374,42.878067450061884,48.677966896124865,32.97144640653513
med,ben,14200,45.51186591045911,42.61915307192444,48.40457874899378,32.88916548026863
med,ben,14000,44.58667342606382,41.7236540830243,47.449692769103336,32.55156049092501
med,ben,13800,44.65004277431007,41.725131053044834,47.57495449557531,33.255255874136374
med,ben,13600,43.775545768511776,40.88612841486635,46.664963122157204,32.85169693295339
med,ben,13400,43.08481987262762,40.23205092187524,45.93758882338,32.43501700147853
med,ben,13200,42.75529926174709,39.91134284877579,45.59925567471839,32.33482143089792
med,ben,13000,42.375083172269576,39.58627407460219,45.163892269936966,31.707815129179508
med,ben,12800,41.76040049428092,38.99759011325109,44.52321087531075,31.412218524367407
med,ben,12600,40.56905674725135,37.800153558654266,43.33795993584844,31.481491683337563
med,ben,12400,39.67554893697918,36.935914803732175,42.41518307022619,31.14871243472493
med,ben,12200,39.54881024048668,36.78473415596942,42.312886325003944,31.42660914444298
med,ben,12000,38.71233484363613,36.023676135599146,41.40099355167311,30.56913911074125
med,ben,11800,37.95190266468109,35.27669396046823,40.62711136889396,30.416217121531368
med,ben,11600,37.381578530464814,34.69704309667011,40.06611396425952,30.522258878777624
med,ben,11400,37.0013624409873,34.313803887127825,39.688920994846775,30.55663073026331
med,ben,11200,36.85561294002091,34.22078390801519,39.49044197202663,29.95711392139053
med,ben,11000,35.79100788948386,33.19999182390544,38.38202395506227,29.45897532850517
med,ben,10800,35.284053103513834,32.74185695350718,37.82624925352049,28.90390941923718
med,ben,10600,34.86581540508856,32.35610964174574,37.37552116843138,28.53450472435365
med,ben,10400,33.883590507271634,31.395946281168907,36.371234733374365,28.28367251613275
med,ben,10200,33.74417794112988,31.28328943988415,36.2050664423756,27.979468984194128
med,ben,10000,33.45267893919711,30.98946986234582,35.915888016048406,28.00585314306541
med,ben,9800,32.62254047717119,30.19551195557507,35.04956899876731,27.59449248081657
med,ben,9600,32.090237951902665,29.698809061990424,34.481666841814906,27.18973672286836
med,ben,9400,31.843097493742274,29.454464951679665,34.23173003580488,27.157943194681987
med,ben,9200,31.38050125154463,29.011337304519547,33.74966519856971,26.936591861314973
med,ben,9000,30.366591679604575,28.054695448310888,32.67848791089826,26.285477324719288
med,ben,8800,29.99271252495168,27.684953483718278,32.30047156618508,26.2384388746169
med,ben,8600,29.054846170907133,26.798882663881884,31.310809677932383,25.649541189019512
med,ben,8400,28.674630081429612,26.41216277827668,30.937097384582543,25.72348714875798
med,ben,8200,28.129653686511837,25.937698607815072,30.3216087652086,24.921787032649874
med,ben,8000,27.43259085580305,25.209083529011554,29.656098182594544,25.28052540966338
med,ben,7800,26.120845347105604,23.97093537383573,28.27075532037548,24.44374842072848
med,ben,7600,25.17664205823643,23.05175522023645,27.301528896236405,24.15924384572762
med,ben,7400,24.796425968758914,22.747062703948455,26.845789233569374,23.300566391400892
med,ben,7200,24.32749279173664,22.302324602557533,26.352660980915743,23.025476574103166
med,ben,7000,23.782516396818856,21.816033994301304,25.74899879933641,22.35823905120088
med,ben,6800,22.908019391020563,20.992204137720222,24.823834644320904,21.78217072087104
med,ben,6600,22.217293495136403,20.31125725313476,24.123329737138047,21.67098667365013
