mut_rate,chrom,time,mean_heterozygosity,CI_5%,CI_95%,stdev
high,pur,40000,1233.2372231551599,1216.618130748379,1249.8563155619408,188.95345331801798
high,pur,39800,1227.3185260289597,1210.5876574980969,1244.0493945598225,190.2243100006123
high,pur,39600,1220.5887012452076,1203.8440698777306,1237.3333326126847,190.38078879271703
high,pur,39400,1214.663667184183,1197.9557501103761,1231.3715842579898,189.9633597054155
high,pur,39200,1207.6360064636735,1191.1504698094197,1224.1215431179273,187.43496963474658
high,pur,39000,1200.4119007636007,1183.8451390406544,1216.978662486547,188.35847116237306
high,pur,38800,1194.6769747473145,1178.04082393051,1211.313125564119,189.14740166388273
high,pur,38600,1187.3958366338204,1171.0613731462172,1203.7303001214236,185.71731888441658
high,pur,38400,1180.868793764456,1164.725101204924,1197.0124863239882,183.5483180286883
high,pur,38200,1174.3164031557935,1158.1998128720086,1190.4329934395785,183.24017433047402
high,pur,38000,1168.809606793194,1152.7948652125822,1184.8243483738058,182.08218906211732
high,pur,37800,1165.2989449003517,1149.1715800395166,1181.4263097611868,183.36267762318167
high,pur,37600,1156.6046703209659,1140.5340568332497,1172.675283808682,182.71743372725487
high,pur,37400,1150.8634073698554,1134.7199614524093,1167.0068532873015,183.54551379168717
high,pur,37200,1145.3059155286587,1129.2041086391912,1161.4077224181262,183.07209214285209
high,pur,37000,1139.8308038401824,1123.6659990991084,1155.9956085812564,183.78835638408017
high,pur,36800,1130.3063907987705,1114.3130616564324,1146.2997199411086,181.8387368893532
high,pur,36600,1124.2546180412535,1108.3812179566007,1140.1280181259062,180.47518411233222
high,pur,36400,1117.480434713729,1101.5590650828337,1133.4018043446242,181.02058161026923
high,pur,36200,1110.8963594309432,1095.1244264838554,1126.668292378031,179.32153711573935
high,pur,36000,1104.084154494471,1088.301022180713,1119.867286808229,179.4488701225909
high,pur,35800,1099.211051614334,1083.456948681117,1114.9651545475513,179.1188158954035
high,pur,35600,1091.5116758024144,1076.0059054405954,1107.0174461642334,176.29535864584645
high,pur,35400,1086.5688666392066,1071.089730862833,1102.0480024155802,175.99253242799733
high,pur,35200,1078.4259053895632,1062.961256928963,1093.8905538501635,175.82781655316583
high,pur,35000,1072.1079813694116,1056.7939341167535,1087.4220286220698,174.1155318135438
high,pur,34800,1068.0967016254237,1052.8135312158736,1083.379872034974,173.76447256253124
high,pur,34600,1059.9790881150789,1044.7525877320682,1075.2055884980896,173.12015354966724
high,pur,34400,1055.270745540382,1040.1284849520503,1070.4130061287137,172.16237560838087
high,pur,34200,1047.1341212255631,1031.9421554589173,1062.326086992209,172.72750665527295
high,pur,34000,1040.1634929184752,1024.9937130021954,1055.333272834755,172.4752610489048
high,pur,33800,1036.0191375431705,1020.9515759089322,1051.0866991774087,171.31307379395372
high,pur,33600,1029.8659738284593,1014.7920295968427,1044.939918060076,171.38564176495268
high,pur,33400,1023.4910173948862,1008.5025588302855,1038.4794759594868,170.41369867705706
high,pur,33200,1018.5608821013276,1003.7449266306566,1033.3768375719987,168.45239690989547
high,pur,33000,1012.0465131016128,997.2933784220611,1026.7996477811646,167.73814578645147
high,pur,32800,1006.7108139792783,992.0997561463338,1021.3218718122229,166.12278014879345
high,pur,32600,1000.3231836760559,985.6954481018926,1014.9509192502193,166.3124004192453
high,pur,32400,994.5945945945946,980.082146011057,1009.1070431781321,165.0016263728544
high,pur,32200,988.3273660530401,973.8409543967766,1002.8137777093036,164.70559532604346
high,pur,32000,983.6633820221159,969.1901338590652,998.1366301851666,164.55593086547026
high,pur,31800,974.4304679826367,960.0804922783383,988.7804436869352,163.15436475041878
high,pur,31600,969.3672570577612,955.1159275060083,983.6185866095141,162.032791398289
high,pur,31400,963.0113114286619,948.80019718162,977.2224256757038,161.57555700092385
high,pur,31200,956.0913786001711,941.8445622410317,970.3381949593105,161.9814779264753
high,pur,31000,950.4071480624823,936.1872482048751,964.6270479200895,161.67544641817938
high,pur,30800,943.5632584518867,929.3298726195568,957.7966442842165,161.82877738432606
