mut_rate,chrom,time,mean_heterozygosity,CI_5%,CI_95%,stdev
med,pur,40000,61.92272983438106,59.34202708002655,64.50343258873558,29.34171647205256
med,pur,39800,61.633589705528806,59.053854348988935,64.21332506206868,29.330717486468124
med,pur,39600,61.4139096086244,58.8500968301891,63.9777223870597,29.149683164921314
med,pur,39400,60.952048666630624,58.39364747378693,63.51044985947432,29.088155269147528
med,pur,39200,60.824451312112785,58.272822044436055,63.376080579789516,29.011160773022898
med,pur,39000,60.57087749352895,58.01053467912159,63.1312203079363,29.110230848878984
med,pur,38800,60.171245462047416,57.62911327932668,62.71337764476815,28.903182132856116
med,pur,38600,59.90846020534205,57.382917059042654,62.43400335164145,28.714570405915442
med,pur,38400,59.60343656783487,57.079359631383284,62.127513504286455,28.697900096415275
med,pur,38200,59.256732512922774,56.73007766997364,61.78338735587191,28.72721002039426
med,pur,38000,58.90777624839035,56.37978757920774,61.43576491757295,28.742375173025412
med,pur,37800,58.37549131905686,55.877712223721716,60.87327041439201,28.398902547564028
med,pur,37600,58.09450318474109,55.60912333519827,60.57988303428392,28.257927321381192
med,pur,37400,57.6726052659822,55.18971657969331,60.15549395227109,28.229603638710195
med,pur,37200,57.14106192569795,54.694970116331845,59.58715373506405,27.81123560779162
med,pur,37000,56.870157598753416,54.41016860648625,59.33014659102058,27.969241871688215
med,pur,36800,56.54503997855673,54.097308846849074,58.992771110264385,27.829874147728482
med,pur,36600,56.338836102191216,53.880032171308066,58.797640033074366,27.955768125022477
med,pur,36400,56.03512404465751,53.59164351867747,58.47860457063754,27.781546199891896
med,pur,36200,55.78305380049757,53.35982311840037,58.20628448259477,27.551312331690262
med,pur,36000,55.324581887039066,52.915800952703485,57.73336282137465,27.387023592431717
med,pur,35800,55.191311802401486,52.783291658396955,57.59933194640602,27.378373663976888
med,pur,35600,54.944495721065294,52.52691665717419,57.3620747849564,27.487055346366514
med,pur,35400,54.670637698551865,52.2736195652207,57.06765583188303,27.253284527982572
med,pur,35200,54.278897891475154,51.895338843370524,56.66245693957978,27.10025928630223
med,pur,35000,53.91465351513654,51.54358707403352,56.28571995623957,26.958222574782663
med,pur,34800,53.689519313928706,51.31552861938157,56.063510008475845,26.991470346268475
med,pur,34600,53.2917721720567,50.930553298607805,55.6529910455056,26.846259065014188
med,pur,34400,52.99636657829232,50.63765732832447,55.35507582826016,26.817725495811633
med,pur,34200,52.490757687277544,50.13151515375301,54.85000022080208,26.823788749277412
med,pur,34000,52.31076706447365,49.96387402779898,54.65766010114832,26.683379151725024
med,pur,33800,51.95597501437692,49.606074723978054,54.30587530477578,26.71757060829089
med,pur,33600,51.59713987894646,49.25534330518902,53.93893645270389,26.62543409405592
med,pur,33400,51.21236987188818,48.88428844583993,53.54045129793643,26.46949750865256
med,pur,33200,50.630445105154244,48.3380232565807,52.92286695372779,26.06406018736068
med,pur,33000,50.517840327266256,48.2404806250418,52.795200029490715,25.892808683525242
med,pur,32800,50.436269298274944,48.16911440494747,52.703424191602416,25.776783461790007
med,pur,32600,50.05776719120949,47.80460044562726,52.31093393679173,25.61774295841646
med,pur,32400,49.940909354681565,47.69479871282722,52.18701999653591,25.537517448279008
med,pur,32200,49.487853098661375,47.2404164226049,51.73528977471785,25.552594008152344
med,pur,32000,49.21330558709809,46.98617836196786,51.44043281222832,25.321682428050583
med,pur,31800,48.719869311940855,46.500116496941054,50.939622126940655,25.23783788189714
med,pur,31600,48.46685689861099,46.25938499317111,50.67432880405087,25.098208098607266
med,pur,31400,48.37758719090147,46.168417814583066,50.58675656721988,25.11750776771997
med,pur,31200,48.13649087015874,45.947082953400816,50.32589878691666,24.892826663893008
med,pur,31000,47.78408640365796,45.59993822899979,49.96823457831613,24.833025177206203
med,pur,30800,47.59441839114269,45.42637937255395,49.762457409731425,24.649869527375696
med,pur,30600,47.20381292596641,45.04170782273719,49.36591802919563,24.58240291900545
med,pur,30400,46.73514289204612,44.57821291108027,48.89207287301197,24.523563531205426
med,pur,30200,46.297873844038484,44.130193976764836,48.46555371131213,24.645786098534415
med,pur,30000,45.99543256609723,43.81117091557868,48.17969421661578,24.834315359314992
med,pur,29800,45.87681468868857,43.68875663014583,48.064872747231306,24.877479233058338
med,pur,29600,45.732977630142834,43.54794936865461,47.918005891631054,24.843031466460012
med,pur,29400,45.56446986069613,43.38246984404589,47.746469877346364,24.80860134803815
med,pur,29200,45.25816022628044,43.08371236880833,47.43260808375255,24.722735855399605
med,pur,29000,44.759593050432215,42.59769982342708,46.92148627743735,24.57999395808047
med,pur,28800,44.492397595028926,42.34492840160539,46.639866788452466,24.415997580341635
med,pur,28600,44.384945492306365,42.229016217958176,46.540874766654554,24.512185835809206
med,pur,28400,44.149012889999696,42.00896011796981,46.28906566202958,24.331675380350678
med,pur,28200,43.74640157704022,41.6351378064759,45.85766534760453,24.004354181855067
med,pur,28000,43.2730582788984,41.18127253924953,45.36484401854727,23.782895565751243
med,pur,27800,43.237536113956,41.12387991122961,45.351192316682386,24.031555325442778
med,pur,27600,42.9734118461866,40.86921888083047,45.07760481154273,23.923961520864687
med,pur,27400,42.95281148090269,40.859394712748596,45.04622824905678,23.80143980757731
med,pur,27200,42.75642951060322,40.655217707164134,44.857641314042304,23.890066719311324
med,pur,27000,42.646191908787124,40.547495185274826,44.74488863229942,23.861471112168353
med,pur,26800,42.266507999315365,40.18206843020093,44.3509475684298,23.69937209424216
med,pur,26600,42.04253588140916,39.97377493276662,44.1112968300517,23.521111488373066
med,pur,26400,41.95358296515432,39.92029142334418,43.986874506964455,23.11783634289102
med,pur,26200,41.59221767952684,39.57423085340895,43.61020450564473,22.943826907759597
med,pur,26000,41.384025194864876,39.3925361921469,43.37551419758285,22.642555628060727
med,pur,25800,40.95074093671916,38.96319397909727,42.938287894341045,22.597735910123713
med,pur,25600,40.74689903421787,38.766677890522715,42.72712017791302,22.514443886351298
med,pur,25400,40.50761874770215,38.55909851089173,42.45613898451258,22.154015309232463
med,pur,25200,40.28826879490974,38.32436839476832,42.25216919505116,22.328882558469267
med,pur,25000,39.95781411527803,38.032420546237816,41.88320768431825,21.891072927545192
med,pur,24800,39.44815445881087,37.5207898860607,41.37551903156104,21.91348257233103
med,pur,24600,39.29956671989476,37.3593184511068,41.239814988682724,22.059965833766316
med,pur,24400,39.104622053672834,37.1641746353176,41.04506947202807,22.06223009691266
med,pur,24200,38.712750297783536,36.77880247030399,40.646698125263086,21.98833194946554
med,pur,24000,38.20297157338959,36.280936598127504,40.125006548651676,21.8528868535324
med,pur,23800,37.91527258156124,35.989146530282596,39.84139863283988,21.899401002572258
med,pur,23600,37.49995107807939,35.58870665006817,39.411195506090614,21.7302019850489
med,pur,23400,37.34630706869997,35.448483094069196,39.244131043330746,21.57761597437756
med,pur,23200,36.971801030166,35.092707541098854,38.850894519233144,21.364656695799393
med,pur,23000,36.323527868733144,34.44526781084266,38.20178792662363,21.35518086552675
med,pur,22800,35.82139492715016,33.93549681712622,37.7072930371741,21.442022931983356
med,pur,22600,35.577409504187884,33.67102270106078,37.48379630731499,21.674972434944035
med,pur,22400,35.247495085738365,33.335379775063664,37.159610396413065,21.74010362604532
med,pur,22200,34.842661638478916,32.92969713373836,36.75562614321947,21.7497586750308
med,pur,22000,34.381811657544645,32.49490925012572,36.26871406496357,21.453441453301895
med,pur,21800,34.06931583995454,32.165319321065176,35.973312358843906,21.64779571252878
med,pur,21600,33.98335520995605,32.11451777907826,35.85219264083384,21.24804878696332
med,pur,21400,33.49385040217088,31.64065069797314,35.34705010636861,21.070253129660507
med,pur,21200,33.2748651424353,31.432859596367937,35.11687068850267,20.94297934214257
med,pur,21000,33.128757140640985,31.298241901894414,34.959272379387556,20.812338438607796
med,pur,20800,32.699691657049044,30.864852607734495,34.53453070636359,20.861498700691612
med,pur,20600,32.56485941410875,30.723878082313313,34.40584074590419,20.931334372677277
med,pur,20400,32.26142747980664,30.42838358536186,34.09447137425143,20.841088397675026
med,pur,20200,32.050079854008644,30.226063851061863,33.87409585695542,20.7384443282533
med,pur,20000,31.636055507750918,29.82521167033702,33.446899345164816,20.58868126633667
med,pur,19800,31.304185703475213,29.50104267879878,33.10732872815165,20.501125633063623
med,pur,19600,30.986179481616652,29.188860161313563,32.78349880191974,20.434912086287877
med,pur,19400,30.48810688673058,28.713902793804042,32.26231097965712,20.172099778002742
med,pur,19200,30.154909277083018,28.407366579027865,31.90245197513817,19.86896874605971
med,pur,19000,29.626270501002924,27.86946465372466,31.38307634828119,19.974287616155976
med,pur,18800,29.36960487038242,27.639112837388467,31.100096903376375,19.675108457794636
med,pur,18600,28.88086314217039,27.169212312150428,30.592513972190353,19.460890359750465
med,pur,18400,28.529635244984807,26.82674171892368,30.23252877104593,19.361322779026093
med,pur,18200,28.10634958312987,26.430958949706508,29.78174021655323,19.04862420241672
med,pur,18000,27.69814027153238,26.027713659886636,29.368566883178126,18.99218495565953
med,pur,17800,27.532176458727438,25.866074647045423,29.198278270409453,18.943013444481032
med,pur,17600,27.255921658538654,25.611067403966548,28.90077591311076,18.70143591472068
med,pur,17400,26.796899771793946,25.161710727904786,28.432088815683105,18.59154574196709
med,pur,17200,26.672206836238786,25.031827587717117,28.312586084760454,18.650556611197203
med,pur,17000,26.290375042009888,24.671441325147466,27.90930875887231,18.40672817784653
med,pur,16800,26.1270390392466,24.510821998254873,27.74325608023833,18.375840493083217
med,pur,16600,25.802164925047595,24.220329858880927,27.383999991214264,17.984929081312156
med,pur,16400,25.588104770211558,23.988663162346334,27.18754637807678,18.185109498720053
med,pur,16200,25.351444029060264,23.763813242409586,26.939074815710942,18.050824460741712
med,pur,16000,25.20209807918647,23.621674695692544,26.782521462680396,17.968878727329248
med,pur,15800,24.91722276646944,23.348827063818785,26.485618469120094,17.83212806880254
med,pur,15600,24.72597632843938,23.147260118150676,26.304692538728084,17.949468746047295
med,pur,15400,24.473975853008145,22.89112545225211,26.056826253764182,17.996473091793504
med,pur,15200,24.426456454911225,22.85223479945226,26.000678110370192,17.898367179522527
med,pur,15000,24.243411494542894,22.677184217801564,25.809638771284224,17.80747380045852
med,pur,14800,24.079617579096237,22.512407559493006,25.646827598699467,17.818647254034357
med,pur,14600,23.87535770269597,22.295212113483302,25.455503291908634,17.965720300414514
med,pur,14400,23.430209131592818,21.878899235705195,24.98151902748044,17.63786823128687
med,pur,14200,23.390812972700893,21.84574031752828,24.935885627873507,17.566952916332863
med,pur,14000,22.97138789584522,21.443983783464084,24.498792008226353,17.36606756749245
med,pur,13800,22.921402852378673,21.402868823381265,24.43993688137608,17.26521772289504
med,pur,13600,22.67655359580156,21.14985852734896,24.20324866425416,17.358005978112523
med,pur,13400,22.47975191209276,20.96276528400161,23.99673854018391,17.247624298552232
med,pur,13200,22.20090815772066,20.710515398941673,23.69130091649965,16.945261009352954
med,pur,13000,21.784426388749118,20.28961021030554,23.279242567192696,16.995553793136878
med,pur,12800,21.407184217293523,19.914444619259456,22.89992381532759,16.971943777026127
med,pur,12600,20.961625232776274,19.465283056719656,22.457967408832893,17.012903869283104
med,pur,12400,20.607574367153877,19.124742651900593,22.09040608240716,16.859294504690688
med,pur,12200,20.314037350871594,18.82680316010164,21.801271541641547,16.909349160604613
med,pur,12000,20.184631687449887,18.682327316012575,21.6869360588872,17.080692011918323
med,pur,11800,20.056343035054756,18.58219142826527,21.530494641844243,16.760604610606
med,pur,11600,20.01321428095344,18.56714662277458,21.459281939132303,16.44129962433501
med,pur,11400,19.819484127104637,18.369099292497097,21.269868961712177,16.490384458501335
med,pur,11200,19.509275126969573,18.06496985828029,20.953580395658857,16.421261852596587
med,pur,11000,19.10877364249852,17.70861572344187,20.50893156155517,15.919321435891243
med,pur,10800,18.624570787928,17.23099115653266,20.01815041932334,15.844528532638808
med,pur,10600,18.01075782918545,16.644074314324406,19.377441344046495,15.538728794866989
med,pur,10400,17.62086481178739,16.28951452009614,18.952215103478636,15.137002011515984
med,pur,10200,17.029424694542474,15.722138042590606,18.33671134649434,14.863406575804847
med,pur,10000,16.962705792248634,15.655475603814756,18.269935980682515,14.862764604724282
med,pur,9800,16.79232554257259,15.489148785245826,18.095502299899355,14.816678465558018
med,pur,9600,16.737997804120578,15.45059145341568,18.025404154825477,14.637374282243222
med,pur,9400,16.399304037433307,15.134740353534138,17.663867721332476,14.377660895357277
med,pur,9200,16.19410853069367,14.937540580088358,17.45067648129898,14.28675211522029
med,pur,9000,15.997881494678309,14.752693893916781,17.243069095439836,14.157361390966749
med,pur,8800,15.75263139642245,14.503256011526526,17.00200678131837,14.204975078560276
med,pur,8600,15.49636886845122,14.252298211802783,16.740439525099656,14.14466211460641
med,pur,8400,15.229793899258581,14.004162242626334,16.45542555589083,13.935016928003533
med,pur,8200,15.0603886319059,13.840791217238134,16.279986046573665,13.866409640106134
med,pur,8000,14.699412643933833,13.509898075976452,15.888927211891215,13.524377859282513
med,pur,7800,14.416369583607326,13.255249315814599,15.577489851400053,13.201544280929552
med,pur,7600,14.127733640335842,12.983404110919581,15.272063169752103,13.010639271056784
med,pur,7400,14.132963447871319,12.975579366936953,15.290347528805684,13.159065101450349
med,pur,7200,13.682355638951213,12.54846956707355,14.816241710828876,12.891900695074558
med,pur,7000,13.222342805875009,12.11792766499591,14.326757946754107,12.55682618869516
med,pur,6800,12.97960330051295,11.892418346287814,14.066788254738087,12.360924800707703
med,pur,6600,12.691142662917624,11.607764646046581,13.774520679788667,12.317641212048686
med,pur,6400,12.114444301528327,11.066622500049986,13.162266103006667,11.913379082630055
med,pur,6200,11.674068944192065,10.651847836476854,12.696290051907276,11.62230786312672
med,pur,6000,11.444743590837568,10.442300553338963,12.447186628336173,11.397437901764132
med,pur,5800,11.195794183984653,10.218600713098365,12.17298765487094,11.110358879071303
med,pur,5600,10.803008687950925,9.85221065541749,11.75380672048436,10.81025168268917
med,pur,5400,10.454004585930376,9.518636231170191,11.38937294069056,10.634821471009838
med,pur,5200,10.029123116381475,9.09148612786465,10.9667601048983,10.660615068646749
med,pur,5000,9.935259648718565,9.00972332791332,10.86079596952381,10.52303457414129
med,pur,4800,9.42338581624018,8.547298733546334,10.299472898934024,9.960813480690865
med,pur,4600,8.963109055387704,8.123756448530887,9.802461662244522,9.543154928987903
med,pur,4400,8.952436880378738,8.118804159951672,9.786069600805803,9.478121757077288
med,pur,4200,8.665122800156567,7.855088603186189,9.475156997126945,9.209814536008592
med,pur,4000,8.261515547379725,7.470387386529986,9.052643708229462,8.994859307039981
med,pur,3800,8.224950911193616,7.456927642097898,8.992974180289336,8.732164511283287
