mut_rate,chrom,time,mean_heterozygosity,CI_5%,CI_95%,stdev
high,neut-sex,40000,10.46806923786952,9.452179308028764,11.483959167710275,11.550324514477595
high,neut-sex,39800,10.63976955786058,9.62919851434988,11.65034060137128,11.489850577918949
high,neut-sex,39600,10.46205993587382,9.472638526571334,11.451481345176305,11.249386398393463
high,neut-sex,39400,10.950851079569702,9.954494463824942,11.947207695314463,11.328237347330147
high,neut-sex,39200,11.056782467283002,10.06797987239522,12.045585062170783,11.242350688033389
high,neut-sex,39000,11.26405970597235,10.295325127895051,12.23279428404965,11.014184132076494
high,neut-sex,38800,11.303579648205126,10.28684628498985,12.320313011420403,11.55991406635316
high,neut-sex,38600,11.349871002142173,10.350359891533978,12.349382112750368,11.364102885792198
high,neut-sex,38400,11.273226193195507,10.293687703516225,12.252764682874789,11.137020948707004
high,neut-sex,38200,11.10820641625785,10.121970909897785,12.094441922617916,11.21316376070834
high,neut-sex,38000,10.890012133884746,9.94605380807955,11.83397045968994,10.732486533164145
high,neut-sex,37800,10.809906275703563,9.845549485399921,11.774263066007205,10.964410167441194
high,neut-sex,37600,10.57308288948757,9.628103265819663,11.518062513155476,10.744098344044213
high,neut-sex,37400,10.892948136459339,9.911519719889585,11.874376553029093,11.158508777508512
high,neut-sex,37200,10.950409236500164,9.993606656908943,11.907211816091385,10.878521349552347
high,neut-sex,37000,11.067708248254895,10.08710936453447,12.04830713197532,11.14907726989757
high,neut-sex,36800,10.890582492306617,9.90287015916762,11.878294825445614,11.229954781120378
high,neut-sex,36600,10.52198212955668,9.5587795533248,11.485184705788559,10.951287144270626
high,neut-sex,36400,10.571911046775899,9.61595758751616,11.527864506035638,10.868867138901795
high,neut-sex,36200,10.942113338780523,9.936047553744244,11.948179123816802,11.438627314578483
high,neut-sex,36000,10.517480012484052,9.527713731347918,11.507246293620186,11.253307474365899
high,neut-sex,35800,10.756483282501485,9.751230478723139,11.76173608627983,11.429383992957227
high,neut-sex,35600,10.42009222723537,9.425221364287903,11.414963090182837,11.311344841111755
high,neut-sex,35400,10.593478851635425,9.57658837067613,11.610369332594718,11.561700441901422
high,neut-sex,35200,10.388320686723764,9.38742734534368,11.389214028103849,11.379818381635072
high,neut-sex,35000,10.218633700113536,9.204784432649884,11.232482967577187,11.527122874233255
high,neut-sex,34800,9.907320021318817,8.940868177194373,10.873771865443262,10.988230219983059
high,neut-sex,34600,9.772741609855078,8.822396213097807,10.72308700661235,10.805105367179996
high,neut-sex,34400,10.209533234747433,9.227401732251115,11.19166473724375,11.166502626423457
high,neut-sex,34200,10.043328055142112,9.096175098133896,10.990481012150328,10.768808408216838
high,neut-sex,34000,9.965959866544592,9.015165501578933,10.916754231510252,10.81020998368544
high,neut-sex,33800,10.256009425556007,9.296822798019686,11.215196053092328,10.905627167431941
high,neut-sex,33600,10.112575414701919,9.156634987576801,11.068515841827036,10.868718967943927
high,neut-sex,33400,9.993838915192134,9.04423155145782,10.943446278926448,10.796714181612387
high,neut-sex,33200,10.000266815005427,9.056657979933743,10.94387565007711,10.728512941864267
high,neut-sex,33000,9.885198774676658,8.915337508626662,10.855060040726654,11.02699419282121
high,neut-sex,32800,10.445266177303264,9.462194074895764,11.428338279710763,11.17719692891954
high,neut-sex,32600,10.727751020012997,9.69713354728685,11.758368492739145,11.717771690230032
high,neut-sex,32400,10.726657439946903,9.694199900007145,11.759114979886661,11.738692631388478
high,neut-sex,32200,10.709126625058383,9.662255445417983,11.755997804698783,11.90257083422023
high,neut-sex,32000,10.847168328468648,9.79821377898676,11.896122877950535,11.926258043873565
high,neut-sex,31800,10.865220120909985,9.817635971838627,11.912804269981343,11.91067705523351
high,neut-sex,31600,10.64846041188663,9.605537774670513,11.691383049102747,11.85767724386168
high,neut-sex,31400,10.657517905783074,9.622845193389727,11.69219061817642,11.763878392112076
high,neut-sex,31200,10.487937740831583,9.450794948874556,11.52508053278861,11.791962360363994
high,neut-sex,31000,10.802734878899912,9.742343072628097,11.863126685171727,12.05629578083566
high,neut-sex,30800,10.449373740959468,9.39376358104661,11.504983900872325,12.001930080834981
high,neut-sex,30600,10.583576173991199,9.510815564492486,11.656336783489913,12.196924885357637
high,neut-sex,30400,10.525978136203488,9.495188800525412,11.556767471881564,11.719725713799408
high,neut-sex,30200,10.574030741001112,9.537662201952509,11.610399280049714,11.783159366962932
high,neut-sex,30000,10.550103504022962,9.50106478943804,11.599142218607884,11.927214972596136
high,neut-sex,29800,10.398970073569563,9.396487106959752,11.401453040179375,11.397891882238262
high,neut-sex,29600,10.48470347155982,9.475483499599248,11.493923443520393,11.474489351876779
high,neut-sex,29400,10.638282917449896,9.626409139213472,11.65015669568632,11.504662230634866
high,neut-sex,29200,10.82993231458186,9.785882952196467,11.873981676967254,11.870487727518904
high,neut-sex,29000,10.776059319706157,9.753147607890458,11.798971031521855,11.630159797905629
high,neut-sex,28800,11.273716822082232,10.188898514999984,12.35853512916448,12.334016824057224
high,neut-sex,28600,11.502230934161082,10.426171927812458,12.578289940509706,12.234426540679646
high,neut-sex,28400,11.449218890683555,10.393608203290723,12.504829578076388,12.001936078103684
high,neut-sex,28200,11.22118562441577,10.186760969668422,12.25561027916312,11.761058060671218
high,neut-sex,28000,10.868624170372238,9.88830096863242,11.848947372112056,11.145942859126013
high,neut-sex,27800,10.594842365791603,9.605436842206341,11.584247889376865,11.249205783167639
high,neut-sex,27600,10.280597562510048,9.305391033917525,11.25580409110257,11.087768017984475
high,neut-sex,27400,10.433036364092215,9.408229646702017,11.457843081482414,11.65170536962485
high,neut-sex,27200,10.54030126803979,9.53094371516273,11.549658820916852,11.476053600311344
high,neut-sex,27000,10.420165868340712,9.427274111356496,11.413057625324928,11.288843076449457
high,neut-sex,26800,10.688674734681053,9.668410440436855,11.70893902892525,11.600059556552738
high,neut-sex,26600,10.8579939398725,9.833550430847158,11.882437448897843,11.647575813501454
high,neut-sex,26400,10.85985663114937,9.866173416808042,11.853539845490698,11.297841678606533
high,neut-sex,26200,10.54965966339518,9.574186095682602,11.525133231107759,11.090804162358095
high,neut-sex,26000,10.804679140866359,9.802665464217569,11.806692817515149,11.392556214286488
high,neut-sex,25800,10.953894738364312,9.940297062829767,11.967492413898857,11.52426235919017
high,neut-sex,25600,10.706129714999838,9.701648355153878,11.710611074845797,11.42061293666259
high,neut-sex,25400,10.347061527299033,9.348531871269152,11.345591183328914,11.352944079564512
high,neut-sex,25200,10.418556921492323,9.414084744830697,11.423029098153949,11.420508526966207
high,neut-sex,25000,10.45539292590536,9.484620934133725,11.426164917676994,11.0373488358978
high,neut-sex,24800,10.430824547722517,9.488016856562753,11.373632238882282,10.719404206858972
high,neut-sex,24600,10.476943521624001,9.516862999001553,11.43702404424645,10.91579045188175
high,neut-sex,24400,10.528105721700278,9.560758733530065,11.495452709870492,10.998407704681087
high,neut-sex,24200,10.205366759567111,9.259445367485549,11.151288151648673,10.75480593201774
high,neut-sex,24000,9.90025491939914,8.977649172088787,10.822860666709493,10.489714945818129
high,neut-sex,23800,9.618994854919851,8.700144099013167,10.537845610826535,10.447021965026153
high,neut-sex,23600,9.833513203729877,8.902067030954955,10.7649593765048,10.590227589917115
high,neut-sex,23400,9.732241681906551,8.809913537245057,10.654569826568045,10.486558697698904
high,neut-sex,23200,9.571786600301191,8.660147140863524,10.483426059738859,10.365031965971525
high,neut-sex,23000,10.056279965224498,9.068973669354571,11.043586261094424,11.22533827485824
high,neut-sex,22800,10.077953661321128,9.066654355962584,11.089252966679673,11.498130668534127
high,neut-sex,22600,10.356047194495458,9.320937933659803,11.391156455331114,11.7688418000826
high,neut-sex,22400,10.08045822880406,9.078336128460874,11.082580329147246,11.393788954978707
high,neut-sex,22200,10.164304895008655,9.17939761473752,11.149212175279791,11.198062279824347
high,neut-sex,22000,10.11900172760908,9.102691013384307,11.135312441833852,11.55510869044319
high,neut-sex,21800,10.368060244291119,9.35720667495525,11.378913813626987,11.493062800885806
high,neut-sex,21600,10.470917545245321,9.45256730513486,11.489267785355782,11.578297409164982
high,neut-sex,21400,10.173651494717465,9.207074517442845,11.140228471992085,10.989652941529554
high,neut-sex,21200,10.231350376484075,9.28391907219074,11.17878168077741,10.771973122598217
high,neut-sex,21000,10.551207402750125,9.555044788777625,11.547370016722624,11.32603161286996
high,neut-sex,20800,10.136035131190694,9.185909412069934,11.086160850311453,10.802607706837325
high,neut-sex,20600,10.086831008046516,9.141880281886554,11.03178173420648,10.743769789163789
high,neut-sex,20400,10.270691948830184,9.275843797064748,11.265540100595619,11.311086622662243
high,neut-sex,20200,9.97401236675652,9.010847867411803,10.937176866101238,10.950854222956723
high,neut-sex,20000,9.946950619697356,9.005062072554257,10.888839166840455,10.70895385061842
high,neut-sex,19800,10.017369148905377,9.069653175265529,10.965085122545226,10.775209716676938
high,neut-sex,19600,10.494309297979969,9.462862615823504,11.525755980136434,11.727199520676324
high,neut-sex,19400,10.91870346478324,9.828820372539285,12.008586557027195,12.391601716372273
high,neut-sex,19200,10.883088831363736,9.79154620312241,11.974631459605062,12.410470078731278
high,neut-sex,19000,10.693624565042066,9.626628221212696,11.760620908871436,12.13138713652
high,neut-sex,18800,10.461687012796254,9.402741212393575,11.520632813198933,12.039855183731826
high,neut-sex,18600,10.580596375863426,9.535595300885534,11.625597450841317,11.881308377438716
high,neut-sex,18400,10.735149342876703,9.712032209293596,11.75826647645981,11.632495373843717
high,neut-sex,18200,10.777587201101593,9.766498674279696,11.78867572792349,11.49573418794362
high,neut-sex,18000,10.736701381778177,9.720807549358016,11.752595214198339,11.550368885484012
high,neut-sex,17800,10.64410989194119,9.639108000912893,11.649111782969486,11.426531199950084
high,neut-sex,17600,10.65529279839914,9.637407066742302,11.673178530055978,11.573016105333268
high,neut-sex,17400,10.841180561650164,9.796328428981601,11.886032694318727,11.879614953814608
high,neut-sex,17200,10.949191892294058,9.894174554426147,12.004209230161969,11.99518989491786
high,neut-sex,17000,10.580749055119165,9.566233531841432,11.595264578396899,11.534697977240222
high,neut-sex,16800,10.160069375632405,9.181244345698648,11.138894405566163,11.128909152983105
high,neut-sex,16600,9.961530774341027,8.988844753326553,10.9342167953555,11.059110700284483
high,neut-sex,16400,10.15575573587148,9.172472748826214,11.139038722916746,11.179594615843865
high,neut-sex,16200,10.15671464004337,9.16500122533333,11.14842805475341,11.27544572378744
high,neut-sex,16000,10.110869928834871,9.153930452473775,11.067809405195968,10.880077819471579
high,neut-sex,15800,10.437287505453364,9.462247610035845,11.412327400870883,11.085873455207905
high,neut-sex,15600,10.415576234261698,9.448116842358386,11.38303562616501,10.999685697065688
high,neut-sex,15400,10.818491291644207,9.82902903363959,11.807953549648825,11.249850834305036
high,neut-sex,15200,10.994658941939377,9.978087216779498,12.011230667099257,11.55807629639514
high,neut-sex,15000,11.227119420393255,10.221101124716816,12.233137716069693,11.438087376637355
high,neut-sex,14800,11.448900588558976,10.411921823499405,12.485879353618547,11.790097430080628
high,neut-sex,14600,11.455065332016524,10.379058696933264,12.531071967099784,12.233831097125751
high,neut-sex,14400,11.045149945698405,10.031939369078227,12.058360522318583,11.519861175608385
high,neut-sex,14200,10.918662716842158,9.87985485457945,11.957470579104866,11.810893645934504
high,neut-sex,14000,10.944321122876689,9.89616517615164,11.992477069601737,11.917178200941075
high,neut-sex,13800,10.955830909087418,9.895657086251589,12.016004731923246,12.05381738297929
high,neut-sex,13600,10.90105968703177,9.870047748049881,11.93207162601366,11.722256637988622
high,neut-sex,13400,10.760206174360933,9.780445278287806,11.73996707043406,11.139549634096577
high,neut-sex,13200,10.65388868729688,9.698835271543226,11.608942103050532,10.858633948998959
high,neut-sex,13000,10.716005348448777,9.79801387641179,11.633996820485763,10.437252198387531
high,neut-sex,12800,10.797951920362513,9.83050786442292,11.765395976302106,10.999511332351082
high,neut-sex,12600,11.029855413109788,10.031199193696702,12.028511632522873,11.354383062376268
high,neut-sex,12400,10.673173857183423,9.667055871174611,11.679291843192235,11.439220821960557
high,neut-sex,12200,10.62676097704286,9.610563202552086,11.642958751533634,11.55382460390986
high,neut-sex,12000,10.67175897554641,9.640771050123847,11.702746900968974,11.721983611950265
high,neut-sex,11800,10.832433425101291,9.77427578038777,11.890591069814812,12.030894120421413
high,neut-sex,11600,10.729814877746751,9.720656551941683,11.738973203551819,11.473788455962541
high,neut-sex,11400,10.641006948790274,9.614921961615106,11.667091935965441,11.66623886424837
high,neut-sex,11200,10.553416844058425,9.51852385843857,11.58830982967828,11.766382824111346
high,neut-sex,11000,10.789883027657314,9.745267535436952,11.834498519877677,11.876924432046776
high,neut-sex,10800,10.732882581601233,9.7078654695739,11.757899693628566,11.654097485407883
high,neut-sex,10600,10.910705753107655,9.883329152817502,11.938082353397807,11.680924068016038
high,neut-sex,10400,10.85581472039653,9.848576283685855,11.863053157107206,11.451959967047893
high,neut-sex,10200,10.927372655934247,9.936508265660825,11.91823704620767,11.265792603429034
high,neut-sex,10000,10.875066048137665,9.922438011186518,11.827694085088812,10.831058213265573
high,neut-sex,9800,11.058291538535252,10.116119721094247,12.000463355976258,10.712174537988208
high,neut-sex,9600,11.023635179035654,10.076247086403772,11.971023271667537,10.771481820639277
high,neut-sex,9400,11.057524356108187,10.064299443810611,12.050749268405763,11.292630939553522
high,neut-sex,9200,11.000691899801858,9.992266314432534,12.009117485171181,11.465457445319434
high,neut-sex,9000,10.647557845955347,9.638629829504238,11.656485862406457,11.471169916592476
high,neut-sex,8800,10.76939442662204,9.782783126188672,11.756005727055406,11.217436412075132
high,neut-sex,8600,10.918973936004841,9.938665068079425,11.899282803930257,11.14577988850979
high,neut-sex,8400,11.302258100873065,10.308299444721765,12.296216757024364,11.300973358719276
high,neut-sex,8200,10.918431822198981,9.930959441684541,11.90590420271342,11.227226601028892
high,neut-sex,8000,10.461853939983293,9.515395602675436,11.408312277291149,10.76091081742711
high,neut-sex,7800,10.44600234638272,9.451390939545606,11.440613753219834,11.308394912990805
high,neut-sex,7600,10.491236515867941,9.532608853152379,11.449864178583503,10.89927192668952
high,neut-sex,7400,10.410773896775915,9.477179827884738,11.344367965667091,10.614648441465484
high,neut-sex,7200,10.343335413766637,9.402656353556894,11.284014473976379,10.695202393727326
high,neut-sex,7000,10.225752627014874,9.28741137768207,11.164093876347678,10.668622275656533
high,neut-sex,6800,10.642962645661642,9.666377150635467,11.619548140687817,11.103446399406902
high,neut-sex,6600,10.39702539024773,9.457914931999925,11.336135848495536,10.67736792056028
high,neut-sex,6400,10.318617581711187,9.3943906246591,11.242844538763276,10.508147551628097
high,neut-sex,6200,10.504027961086663,9.583490267606052,11.424565654567274,10.466201874032215
high,neut-sex,6000,10.649212506968441,9.69470010458478,11.603724909352103,10.85248281017327
high,neut-sex,5800,10.754612768243263,9.805358951568932,11.703866584917593,10.792694471254014
high,neut-sex,5600,10.76314922818758,9.831033985801621,11.695264470573537,10.597834684842692
high,neut-sex,5400,10.411781115680265,9.526752148850003,11.296810082510527,10.062479675534108
high,neut-sex,5200,10.246488653741569,9.364660305644295,11.128317001838843,10.026089724293104
high,neut-sex,5000,10.354146909926847,9.444859706696276,11.263434113157418,10.338287609388109
