mut_rate,chrom,time,mean_heterozygosity,CI_5%,CI_95%,stdev
high,neut-sex,40000,2.5284369950255066,2.142170044673532,2.914703945377481,4.3917244326678935
high,neut-sex,39800,2.674186495991889,2.3160384670654417,3.0323345249183364,4.072021817333525
high,neut-sex,39600,2.382687494059123,2.063179779781869,2.702195208336377,3.632694523667301
high,neut-sex,39400,2.7755774531858943,2.3934108774861858,3.157744028885603,4.345104561288681
high,neut-sex,39200,2.655175691518012,2.3013809597467754,3.0089704232892487,4.022526302737258
high,neut-sex,39000,2.6551756915180125,2.2682498412296845,3.0421015418063404,4.3992159018358565
high,neut-sex,38800,2.5284369950255066,2.159444995878465,2.897428994172548,4.195314086893502
high,neut-sex,38600,2.6741864959918886,2.3329160366639545,3.0154569553198227,3.880129565867789
high,neut-sex,38400,2.8706314755552738,2.4827626200572745,3.258500331053273,4.409937551761312
high,neut-sex,38200,2.5284369950255057,2.1957475586467665,2.861126431404245,3.782566240533009
high,neut-sex,38000,2.819935996958271,2.467224663682602,3.17264733023394,4.010208428689359
high,neut-sex,37800,2.560121669148633,2.206834366747542,2.9134089715497242,4.016757002618025
high,neut-sex,37600,2.3510028199359967,2.0115838422728527,2.6904217975991407,3.859078846264453
high,neut-sex,37400,2.68686036564114,2.32814552987836,3.0455752014039197,4.078466219137656
high,neut-sex,37200,2.5854694084471337,2.2376085937682237,2.9333302231260436,3.95505967466553
high,neut-sex,37000,2.6615126263426383,2.285721582652112,3.0373036700331646,4.272616921146369
high,neut-sex,36800,2.883305345204524,2.4510498730277877,3.3155608173812605,4.914598353763264
high,neut-sex,36600,2.5347739298501315,2.1884955619601776,2.8810522977400854,3.9370677905032325
high,neut-sex,36400,2.7375558442381416,2.3723391740894613,3.102772514386822,4.152389874536341
high,neut-sex,36200,3.0100440416970313,2.617168237903911,3.4029198454901515,4.466864858487273
high,neut-sex,36000,2.6615126263426383,2.28448365997231,3.0385415927129666,4.286691682845984
high,neut-sex,35800,2.98469630239853,2.612619109278353,3.3567734955187065,4.23039169769865
high,neut-sex,35600,2.452393777130002,2.143209547785708,2.761578006474296,3.5153199955875736
high,neut-sex,35400,2.629827952219512,2.2529328977576415,3.006723006681382,4.285169149790376
high,neut-sex,35200,2.6678495611672632,2.2852349609903118,3.0504641613442147,4.350198447890547
high,neut-sex,35000,2.3890244288837486,2.0539754039989555,2.7240734537685416,3.809393962872798
high,neut-sex,34800,2.5474477994993823,2.209617248612088,2.8852783503866766,3.8410189716760454
high,neut-sex,34600,2.3510028199359967,1.9911488479094777,2.7108567919625157,4.091417812736441
high,neut-sex,34400,2.553784734324007,2.1981718725605135,2.909397596087501,4.043197825117014
high,neut-sex,34200,2.629827952219512,2.26000511813046,2.9996507863085635,4.204760398857329
high,neut-sex,34000,2.8135990621336457,2.3891800960205574,3.238018028246734,4.82549993331825
high,neut-sex,33800,2.8959792148537753,2.5201670924063913,3.2717913373011593,4.2728565794744195
high,neut-sex,33600,2.4016982985329998,2.0431415412141627,2.760255055851837,4.076668920756553
high,neut-sex,33400,2.5664586039732575,2.1890693417207108,2.9438478662258043,4.290788125027969
high,neut-sex,33200,2.4967523209023796,2.16665711530415,2.826847526500609,3.7530707149842644
high,neut-sex,33000,2.857957605906024,2.450250032088601,3.2656651797234466,4.6354970615170314
high,neut-sex,32800,2.3446658851113718,1.9987914452068725,2.690540325015871,3.932475266081608
high,neut-sex,32600,2.5094261905516304,2.150728675054992,2.868123706048269,4.0782692935764
high,neut-sex,32400,2.5221000602008807,2.161497134020891,2.8827029863808704,4.099933167860011
high,neut-sex,32200,2.648838756693387,2.2922728226868885,3.0054046906998857,4.054033933802699
high,neut-sex,32000,2.458730711954628,2.074416118833871,2.8430453050753846,4.36952679203148
high,neut-sex,31800,2.598143278096385,2.26146225266349,2.93482430352928,3.8279492564973117
high,neut-sex,31600,2.4650676467792527,2.0986608343597326,2.831474459198773,4.165921389164849
high,neut-sex,31400,2.2812965368651184,1.951843769530377,2.6107493041998597,3.7457664094627288
high,neut-sex,31200,2.648838756693387,2.2441224421944383,3.053555071192336,4.60148745592842
