mut_rate,chrom,time,mean_heterozygosity,CI_5%,CI_95%,stdev
med,pos-sex,40000,16.378205810050677,14.790605428387229,17.965806191714123,18.050478766332255
med,pos-sex,39800,16.719834417897005,15.114298449979277,18.325370385814733,18.25440030892182
med,pos-sex,39600,16.794893592025588,15.199745367458085,18.39004181659309,18.136295184396168
med,pos-sex,39400,17.10162192081605,15.510344748534882,18.692899093097218,18.09228263066736
med,pos-sex,39200,17.165927879515564,15.57757603110038,18.75427972793075,18.059022688847335
med,pos-sex,39000,16.805553001324352,15.225131352495726,18.385974650152978,17.968859004772142
med,pos-sex,38800,16.822123806131952,15.26185357254169,18.382394039722215,17.739744236929543
med,pos-sex,38600,16.938775286942505,15.385434522872481,18.492116051012527,17.660958514853842
med,pos-sex,38400,16.49197881503302,14.9171893527872,18.066768277278836,17.904822950425466
med,pos-sex,38200,16.204501993970105,14.654558536815776,17.754445451124433,17.62233228557554
med,pos-sex,38000,16.030533784425117,14.46664194502373,17.594425623826503,17.780920668699643
med,pos-sex,37800,16.10191125508586,14.540824439208462,17.662998070963255,17.749028501033493
med,pos-sex,37600,16.02657593449833,14.456944151627992,17.596207717368664,17.846181882354465
med,pos-sex,37400,15.973761309880746,14.411791397387772,17.53573122237372,17.759069010529597
med,pos-sex,37200,15.961453703052909,14.401339548032102,17.521567858073716,17.73796967644421
med,pos-sex,37000,15.958674143007174,14.405724371644293,17.511623914370055,17.65651306016666
med,pos-sex,36800,16.022715485427316,14.480689999807772,17.56474097104686,17.532307630308498
med,pos-sex,36600,15.8453133541527,14.300126120035708,17.39050058826969,17.56825564013315
med,pos-sex,36400,15.600793486826666,14.053108877378984,17.148478096274346,17.59664995201343
med,pos-sex,36200,15.674588411508996,14.105015732204452,17.24416109081354,17.845509894824318
med,pos-sex,36000,15.431996461500065,13.888192630195537,16.975800292804593,17.552526818585836
med,pos-sex,35800,15.154116455870248,13.622966632988982,16.685266278751513,17.40865502755379
med,pos-sex,35600,15.068890366921925,13.540194300953846,16.597586432890004,17.380756642311013
med,pos-sex,35400,15.174085100219381,13.641240779191113,16.706929421247647,17.42792089771564
med,pos-sex,35200,14.719849079660515,13.218319517179383,16.221378642141644,17.071882696442565
med,pos-sex,35000,14.66575561519712,13.139471611454221,16.19203961894002,17.353332311552748
med,pos-sex,34800,14.442136781371456,12.908595221425607,15.975678341317305,17.43584826811831
med,pos-sex,34600,14.5500517830977,12.96508846209489,16.13501510410051,18.020496279548965
med,pos-sex,34400,14.50467582637657,12.92933339627465,16.08001825647849,17.911110007710352
med,pos-sex,34200,14.462921263750243,12.894624620042833,16.031217907457652,17.831001802159943
med,pos-sex,34000,14.467498371471752,12.91551727044433,16.019479472499174,17.6454996064514
