mut_rate,chrom,time,mean_heterozygosity,CI_5%,CI_95%,stdev
med,pur-sex,40000,1.4131364658914483,1.156649704845854,1.6696232269370426,2.916167624782217
med,pur-sex,39800,1.4321472703653244,1.1786127252521743,1.6856818154784745,2.8826019292723815
med,pur-sex,39600,1.2420392256265644,1.0111678431498452,1.4729106081032837,2.624929444009935
med,pur-sex,39400,1.3624409872944456,1.1231838404213246,1.6016981341675667,2.720272745715443
med,pur-sex,39200,1.5462120972085802,1.2845140084158397,1.8079101860013207,2.9754186566733143
med,pur-sex,39000,1.4574950096638255,1.1990001479399015,1.7159898713877495,2.9389990495371454
med,pur-sex,38800,1.584233706156332,1.3120413648626736,1.8564260474499905,3.0947347541775683
med,pur-sex,38600,1.6539399892272106,1.361990887041248,1.9458890914131732,3.319362435738331
med,pur-sex,38400,1.6729507937010868,1.3985963483979185,1.9473052390042551,3.1193171446613546
med,pur-sex,38200,1.4067995310668229,1.1425898618030819,1.6710092003305639,3.003974476188947
med,pur-sex,38000,1.755330946421216,1.4658437632263783,2.0448181296160532,3.29137125043314
med,pur-sex,37800,1.558885966857831,1.2971760080022277,1.8205959257134343,2.9755536152687725
med,pur-sex,37600,1.7616678812458413,1.4580675840213952,2.065268178470287,3.4518325781454418
med,pur-sex,37400,1.7616678812458413,1.4803742997778537,2.042961462713829,3.1982127732127417
med,pur-sex,37200,1.9897975349323533,1.6738191694039282,2.3057759004607785,3.592567023456599
med,pur-sex,37000,1.7426570767719654,1.456350824107126,2.0289633294368046,3.255205147393564
med,pur-sex,36800,1.64126611957796,1.357387555366552,1.9251446837893682,3.2276031517112407
med,pur-sex,36600,1.6919615981749627,1.391190849122883,1.9927323472270424,3.419661573531484
med,pur-sex,36400,1.679287728525712,1.4112499225418242,1.9473255345095997,3.0474990944617275
med,pur-sex,36200,1.73632014194734,1.436214753385788,2.036425530508892,3.4120966500501484
med,pur-sex,36000,1.3561040524698202,1.116244570888486,1.5959635340511544,2.727121087392858
med,pur-sex,35800,1.64126611957796,1.3584839585849293,1.9240482805709909,3.2151374183684953
med,pur-sex,35600,1.6095814454548336,1.332309919252502,1.8868529716571651,3.1524833667397667
med,pur-sex,35400,1.8884065777383479,1.5871275905156264,2.1896855649610694,3.425440069438495
med,pur-sex,35200,1.527201292734704,1.2679150929522534,1.7864874925171548,2.9479962953097
med,pur-sex,35000,1.6856246633503373,1.3370020494968151,2.0342472772038596,3.963721073330061
med,pur-sex,34800,1.660276924051836,1.3769805698482211,1.943573278255451,3.220983621063227
med,pur-sex,34600,1.8820696429137225,1.5622378445492338,2.201901441278211,3.6363792500019056
med,pur-sex,34400,1.6159183802794588,1.3098930597577496,1.921943700801168,3.479404271904575
med,pur-sex,34200,1.558885966857831,1.2782734846495432,1.8394984490661188,3.1904689052551802
med,pur-sex,34000,1.3370932479959443,1.0935228436758113,1.5806636523160773,2.7693130223872315
med,pur-sex,33800,1.584233706156332,1.334665706515106,1.8338017057975582,2.837503650358114
med,pur-sex,33600,1.698298532999588,1.4151008841265718,1.9814961818726045,3.219861374876673
med,pur-sex,33400,1.4067995310668229,1.1521695246070216,1.6614295375266241,2.8950569538525266
med,pur-sex,33200,1.4194734007160736,1.176640644133623,1.6623061572985243,2.7609262173827394
med,pur-sex,33000,1.679287728525712,1.3949411956510045,1.9636342614004194,3.2329237969553164
med,pur-sex,32800,1.7236462722980894,1.426091904301003,2.021200640295176,3.3830924100265247
med,pur-sex,32600,1.520864357910079,1.2164037438529482,1.8253249719672096,3.46161408922345
med,pur-sex,32400,1.584233706156332,1.3075139467781989,1.8609534655344653,3.1462099647809407
med,pur-sex,32200,1.6349291847533347,1.3450854204460334,1.924772949060636,3.295425456940862
