mut_rate,chrom,time,mean_heterozygosity,CI_5%,CI_95%,stdev
low,ben,40000,6.874020247017619,5.957551133250464,7.790489360784774,10.419943500341281
low,ben,39800,6.866164457714794,5.953503087888228,7.778825827541359,10.376650741066914
low,ben,39600,6.902816235547905,5.985252957945977,7.820379513149834,10.432383772650722
low,ben,39400,6.834835252014134,5.915088490821658,7.75458201320661,10.457209241731618
low,ben,39200,6.820968786081981,5.902580835786406,7.739356736377557,10.44176002193724
low,ben,39000,6.720702272120999,5.802472946719895,7.638931597522102,10.439956510598646
low,ben,38800,6.690213438966338,5.772267066716238,7.608159811216438,10.436739429081756
low,ben,38600,6.626116830110943,5.716774536101845,7.535459124120042,10.338913972885834
low,ben,38400,6.613377706667182,5.702373280996222,7.524382132338142,10.35781184707117
low,ben,38200,6.553119218574428,5.647279089486607,7.458959347662248,10.299095543589738
low,ben,38000,6.5501190018503115,5.646251692829419,7.453986310871204,10.276665247440167
low,ben,37800,6.556635783571091,5.656557621928335,7.4567139452138465,10.233583924783959
low,ben,37600,6.545094597792102,5.645602804612886,7.444586390971318,10.226917113902193
low,ben,37400,6.533511268129295,5.632187665459719,7.43483487079887,10.247744167543395
low,ben,37200,6.492513837286997,5.592076957898244,7.39295071667575,10.237662424091479
low,ben,37000,6.48989109315558,5.589973867090164,7.389808319220997,10.231754141763583
low,ben,36800,6.534665865172998,5.634491543568851,7.434840186777144,10.234677230984508
low,ben,36600,6.478591601607335,5.579618966885767,7.377564236328904,10.221014458029618
low,ben,36400,6.374332249642066,5.481588163418829,7.267076335865303,10.15019797063598
low,ben,36200,6.355978426839889,5.4672922680218345,7.244664585657944,10.104060710083163
low,ben,36000,6.303645976917087,5.412353750825811,7.1949382030083635,10.133690812546119
low,ben,35800,6.303139715205855,5.4194698760528945,7.186809554358816,10.047026854053827
low,ben,35600,6.292221426935774,5.407064773321963,7.177378080549586,10.063931431027365
low,ben,35400,6.2704029212207,5.381681538696469,7.159124303744932,10.104461191695382
low,ben,35200,6.169355001059992,5.290768442610647,7.047941559509336,9.989231673689993
low,ben,35000,6.130476997284418,5.255055766651129,7.005898227917708,9.953242968224757
low,ben,34800,6.146255818697157,5.270334322461006,7.022177314933308,9.958930818735666
low,ben,34600,6.026505509105442,5.15245020272077,6.900560815490113,9.937712872029984
low,ben,34400,6.028555170736324,5.152521146931191,6.904589194541456,9.960210219092335
low,ben,34200,6.013114568457671,5.141612300130128,6.884616836785214,9.90868569379791
low,ben,34000,5.991528748256556,5.126274755252014,6.856782741261098,9.837644919087431
low,ben,33800,5.953029646934859,5.096749337157775,6.809309956711944,9.735617179346477
low,ben,33600,5.879918058089908,5.024189846396264,6.735646269783552,9.729340011082227
low,ben,33400,5.890259360439004,5.039486284181348,6.741032436696661,9.673001799020401
low,ben,33200,5.867359042913779,5.017925149195291,6.716792936632267,9.657775747007127
low,ben,33000,5.790470528984175,4.951100989448975,6.629840068519375,9.543347447807593
