mut_rate,chrom,time,mean_heterozygosity,CI_5%,CI_95%,stdev,Ne,Fis
low,ben,40000,2.788555393319328,2.4906411926514034,3.0864695939872524,3.3871835856519636,2788.555393319328,-0.9165622193376546
low,ben,39800,2.897494395606266,2.607489750244863,3.187499040967669,3.2972546200504924,2897.4943956062657,-0.8938361206190775
low,ben,39600,2.7660990494518463,2.473039010078131,3.0591590888255613,3.331993415391562,2766.099049451846,-0.8966327511740225
low,ben,39400,2.7809811188118903,2.4836888523755873,3.078273385248193,3.3801124040299326,2780.9811188118897,-0.8978812374717392
low,ben,39200,2.812273442199585,2.5217730631345905,3.10277382126458,3.3028909444012426,2812.273442199585,-0.8757264271645598
low,ben,39000,2.7977100541135216,2.493565159867037,3.101854948360006,3.4580244618814566,2797.7100541135214,-0.9046533870192406
low,ben,38800,2.7350358389608878,2.446760630835043,3.0233110470867324,3.277591504282377,2735.0358389608873,-0.9313300278514566
low,ben,38600,2.65683339387876,2.3609204164077835,2.9527463713497366,3.3644303555315758,2656.8333938787596,-0.9165399153302485
low,ben,38400,2.55603603443078,2.263776730017874,2.8482953388436862,3.322889330021919,2556.0360344307796,-0.913524284575334
low,ben,38200,2.6184284575394314,2.332772139981035,2.904084775097828,3.24781560530612,2618.428457539431,-0.907911635965268
low,ben,38000,2.7652555572509168,2.4778584106424955,3.052652703859338,3.2676082421473684,2765.2555572509164,-0.9136228028174912
low,ben,37800,2.6886949345523816,2.4076814316885224,2.969708437416241,3.19502837432048,2688.6949345523813,-0.9020558936812311
low,ben,37600,2.718884146749605,2.434498704661599,3.003269588837611,3.233366181535576,2718.884146749605,-0.9112190292910627
low,ben,37400,2.766266619974483,2.4636974604540476,3.068835779494919,3.4401088916016636,2766.266619974483,-0.8971490226749315
low,ben,37200,2.688892263234403,2.406187648965764,2.9715968775030417,3.2142557383700523,2688.8922632344024,-0.8935121076168927
low,ben,37000,2.6561826944718616,2.3772725449560848,2.9350928439876385,3.1711139589637183,2656.1826944718614,-0.9147823919874164
low,ben,36800,2.633844688701353,2.359383184777373,2.908306192625333,3.120534364929147,2633.844688701353,-0.9055414901553069
low,ben,36600,2.6412300467748437,2.3602656412736263,2.9221944522760612,3.194470153931971,2641.2300467748432,-0.9034499976293316
low,ben,36400,2.6884053076303442,2.401647640120493,2.9751629751401953,3.2603375813289546,2688.405307630344,-0.9206651931053027
low,ben,36200,2.6806358446345424,2.39453732466507,2.9667343646040147,3.252843296987061,2680.635844634542,-0.9162413581358582
low,ben,36000,2.5408354976635437,2.26625711793877,2.8154138773883175,3.1218632032091684,2540.8354976635433,-0.912044248768558
