mut_rate,chrom,time,mean_heterozygosity,CI_5%,CI_95%,stdev
high,neut,40000,1054.0389692296706,1042.7202808468498,1065.3576576124913,128.6896543214279
high,neut,39800,1048.3360157850973,1037.0285971763806,1059.643434393814,128.56152080589362
high,neut,39600,1042.4017123276321,1031.1201551447427,1053.6832695105215,128.26748515110694
high,neut,39400,1037.5297000875873,1026.1982255321714,1048.8611746430033,128.83502877434566
high,neut,39200,1031.0428054581087,1019.7417294971635,1042.3438814190538,128.48940704839873
high,neut,39000,1026.3081625415894,1015.0960723271627,1037.520252756016,127.47766924171248
high,neut,38800,1020.5285613900171,1009.31077583016,1031.7463469498744,127.54242339077173
high,neut,38600,1016.1847712943492,1004.91914944134,1027.4503931473582,128.0863058461888
high,neut,38400,1011.977551197086,1000.7190726042594,1023.2360297899125,128.00508939667324
high,neut,38200,1007.7083985979956,996.4559145625582,1018.960882633433,127.93693330895985
high,neut,38000,1003.8265022556877,992.4257729500908,1015.2272315612846,129.62243183373246
high,neut,37800,998.9193629667872,987.6384830021536,1010.2002429314207,128.25978540884833
high,neut,37600,994.954195867066,983.7054864433895,1006.2029052907425,127.89401725134941
high,neut,37400,989.9996623403516,978.7267796980595,1001.2725449826437,128.16885856177888
high,neut,37200,985.907638234284,974.6908794754116,997.1243969931564,127.53074901125763
high,neut,37000,979.7486516253338,968.4993547636406,990.997948487027,127.90069622268858
high,neut,36800,974.5792035067045,963.4429963589066,985.7154106545024,126.61490446870938
high,neut,36600,970.7171421001722,959.5629873629945,981.8712968373499,126.8189624827713
high,neut,36400,966.9034827937223,955.7251711537901,978.0817944336545,127.09361828738483
high,neut,36200,962.8622198135729,951.6481928012872,974.0762468258586,127.49968997755582
high,neut,36000,958.1868369026711,947.1723196408259,969.2013541645163,125.23133167051873
high,neut,35800,953.5637161965759,942.5296847014451,964.5977476917067,125.45320189531253
high,neut,35600,948.6533744760796,937.7048948234709,959.6018541286884,124.48050641432063
high,neut,35400,942.8688547504863,932.0897213233575,953.6479881776152,122.55509717249343
high,neut,35200,937.3373836735755,926.5155108666409,948.1592564805101,123.0410294490162
high,neut,35000,931.1266425168449,920.3631461322132,941.8901389014766,122.37730929411848
high,neut,34800,925.7867618420955,915.0615596752006,936.5119640089905,121.94191700515583
high,neut,34600,920.0275076375704,909.5109496631984,930.5440656119423,119.5697031846299
high,neut,34400,914.2841960897296,903.6730977301535,924.8952944493057,120.64459535233033
high,neut,34200,908.7920538658383,898.265246130138,919.3188616015385,119.686239500287
high,neut,34000,904.1670189201267,893.642315966283,914.6917218739703,119.66230884327334
high,neut,33800,898.5066330591619,887.9777090079829,909.035557110341,119.7103012906813
high,neut,33600,892.9632553022972,882.4030800722253,903.523430532369,120.06561661281314
high,neut,33400,889.0552137718718,878.4904849868855,899.6199425568581,120.11738899032312
high,neut,33200,884.3715850583147,873.9130363976401,894.8301337189894,118.91015693027255
