mut_rate,chrom,time,mean_heterozygosity,CI_5%,CI_95%,stdev
high,neut,40000,1994.8417350527552,1973.1122581028194,2016.571212002691,247.0567951598478
high,neut,39800,1987.3894996989957,1965.5954492541412,2009.1835501438502,247.7909739320121
high,neut,39600,1975.577453185894,1953.8058076787825,1997.3490986930055,247.5362373763515
high,neut,39400,1965.2609232914037,1943.5296720531758,1986.9921745296317,247.07696821694313
high,neut,39200,1955.9012705554321,1934.061200261582,1977.7413408492823,248.31420403243294
high,neut,39000,1943.626627800133,1922.0334630471007,1965.2197925531655,245.50697163736945
high,neut,38800,1934.4507461740757,1912.875125079383,1956.0263672687684,245.3075061824591
high,neut,38600,1922.6386996609738,1900.9522246160573,1944.3251747058903,246.56787806053921
high,neut,38400,1915.0787364151963,1893.4730548425837,1936.684417987809,245.64928363770886
high,neut,38200,1906.5809068153733,1884.9537929824698,1928.2080206482767,245.89296118009386
high,neut,38000,1897.6331548430026,1875.9815039445975,1919.2848057414076,246.17193930641747
high,neut,37800,1887.848927473781,1866.3356530308276,1909.3622019167344,244.59864586321845
high,neut,37600,1876.8606824878805,1855.5476209683186,1898.1737440074423,242.3222927178266
high,neut,37400,1867.7925287538417,1846.602508731476,1888.9825487762073,240.9233525574639
high,neut,37200,1858.591299388486,1837.5774398421443,1879.6051589348278,238.92046759430647
high,neut,37000,1847.780488577675,1826.7399178818348,1868.8210592735152,239.2241643195111
high,neut,36800,1840.0367542219828,1818.974563568162,1861.0989448758037,239.46997592107337
high,neut,36600,1828.9217705395902,1807.8839081016279,1849.9596329775525,239.19337234447534
high,neut,36400,1820.316213047749,1799.3741877916532,1841.2582383038448,238.10373603782887
high,neut,36200,1810.1327587845758,1789.1622086228394,1831.1033089463122,238.42805455622036
high,neut,36000,1800.994898767466,1780.1235701535122,1821.86622738142,237.29993915508058
high,neut,35800,1790.9508570704352,1770.2692789008318,1811.6324352400386,235.14254085371337
high,neut,35600,1782.2248978169257,1761.5709258916922,1802.8788697421592,234.82866720290406
high,neut,35400,1773.5369601723644,1752.826971679082,1794.2469486656469,235.4655566139982
high,neut,35200,1761.1292417857483,1740.9026905279272,1781.3557930435693,229.969038942211
high,neut,35000,1749.0003485314153,1728.6121356684116,1769.388561394419,231.80707665332665
high,neut,34800,1739.2351319666677,1719.110539021147,1759.3597249121885,228.80980745519153
high,neut,34600,1730.7689870409683,1710.736796337307,1750.8011777446297,227.75922525332996
high,neut,34400,1717.106555559076,1697.0727804486226,1737.1403306695295,227.77723942206524
high,neut,34200,1706.2577231393175,1686.2182465905923,1726.2971996880426,227.84206284466327
high,neut,34000,1698.2478375209912,1678.3366251459283,1718.159049896054,226.38374262131876
high,neut,33800,1687.088495294826,1667.0866402540323,1707.0903503356199,227.41431903840393
high,neut,33600,1675.099014606635,1655.160373110487,1695.0376561027829,226.6956024403542
high,neut,33400,1665.656981717943,1645.7978155343258,1685.51614790156,225.79199504780493
high,neut,33200,1656.7916098982919,1637.0303418546403,1676.5528779419435,224.678926345426
high,neut,33000,1646.424384525205,1626.817159162385,1666.0316098880248,222.92751322435606
high,neut,32800,1636.7795697221254,1617.4221910986314,1656.1369483456194,220.0868403981681
high,neut,32600,1626.1778777605273,1606.5628991210488,1645.7928564000058,223.01566535464792
high,neut,32400,1613.6687684167168,1594.1035327472384,1633.2340040861952,222.45010462908272
high,neut,32200,1605.848990843129,1586.2251989386175,1625.4727827476406,223.11586919383825
high,neut,32000,1598.9290580146383,1579.4479287597346,1618.410187269542,221.49384317442048
high,neut,31800,1587.167706980134,1567.735430336062,1606.5999836242058,220.9384055311166
high,neut,31600,1577.2630778492442,1557.7426475976763,1596.783508100812,221.94068219888464
high,neut,31400,1567.1493298691423,1547.806987117,1586.4916726212846,219.91588763215378
high,neut,31200,1556.585659516492,1537.4387533287327,1575.732565704251,217.6938400713792
high,neut,31000,1546.6873673204273,1527.5752926775021,1565.7994419633524,217.29781720083216
high,neut,30800,1536.3518266214633,1517.2679814297835,1555.435671813143,216.9768578988733
high,neut,30600,1528.6017553309466,1509.4602531673652,1547.743257494528,217.6323981463208
high,neut,30400,1517.4931085833782,1498.3466952543208,1536.6395219124356,217.68823643482438
high,neut,30200,1508.1651405215296,1489.0507570890395,1527.2795239540196,217.32406735641405
high,neut,30000,1497.7345458001964,1478.721701349172,1516.7473902512208,216.16960351899647
high,neut,29800,1489.5725737460791,1470.8590016820622,1508.286145810096,212.7669778145556
high,neut,29600,1479.83270492063,1461.1013982480217,1498.5640115932383,212.96861430917
high,neut,29400,1467.589746839454,1448.9416375008082,1486.2378561780997,212.02268879324683
high,neut,29200,1457.3809448369825,1438.7905470432895,1475.9713426306755,211.3665280686864
high,neut,29000,1446.189917936694,1427.3887439288667,1464.9910919445213,213.76298225301613
high,neut,28800,1436.2536041316814,1417.59242895555,1454.9147793078128,212.17124294126754
high,neut,28600,1427.1157441145717,1408.648540038481,1445.5829481906624,209.96585721384724
high,neut,28400,1416.9069421121003,1398.3756343294672,1435.4382498947334,210.69469465124968
high,neut,28200,1407.731060486043,1389.2105730317733,1426.2515479403125,210.57167118160064
high,neut,28000,1397.7060295934857,1379.2922627589494,1416.119796428022,209.35829387161968
high,neut,27800,1385.5454516650298,1367.2775709350415,1403.813332395018,207.69961826101763
high,neut,27600,1376.3695700389721,1358.2407998279953,1394.498340249949,206.11797876370318
high,neut,27400,1366.9845695637018,1348.85593116752,1385.1132079598835,206.11648007411677
high,neut,27200,1356.2117803618391,1338.197636614078,1374.2259241096003,204.8147146903053
high,neut,27000,1346.8204429517443,1328.8652764313454,1364.7756094721433,204.1441635853203
high,neut,26800,1337.898038718672,1320.1879796349763,1355.6080978023679,201.3573750251899
high,neut,26600,1327.2646620829505,1309.541859737745,1344.987464428156,201.50226159359335
high,neut,26400,1320.3320553848102,1302.6576034360985,1338.006507333522,200.95253395725973
high,neut,26200,1309.1537023541714,1291.569559842584,1326.7378448657587,199.9257462365942
high,neut,26000,1300.8206330597889,1283.2082684910204,1318.4329976285574,200.24662147054715
high,neut,25800,1289.7816925952916,1272.3281674718955,1307.2352177186876,198.4406707608689
high,neut,25600,1277.3486264693768,1259.965484782501,1294.7317681562524,197.64043491998376
high,neut,25400,1267.3426063812933,1249.8593334311483,1284.8258793314383,198.77889347817185
high,neut,25200,1259.4151009156872,1242.3685405267154,1276.461661304659,193.81361953172262
high,neut,25000,1247.8375209910967,1230.6798523350876,1264.9951896471057,195.07688290585753
high,neut,24800,1238.0089350781027,1220.8345974871795,1255.1832726690259,195.26640305160893
high,neut,24600,1228.2754031874783,1211.0608051355089,1245.4900012394478,195.7241508612164
high,neut,24400,1217.0400177434176,1199.7649829296863,1234.3150525571489,196.41129637811346
high,neut,24200,1205.9313709958494,1188.7698687858724,1223.0928732058264,195.12046911640437
high,neut,24000,1196.597065999176,1179.6551292573654,1213.5390027409867,192.62408408983677
high,neut,23800,1185.317322011343,1168.3390931783283,1202.2955508443579,193.03671287805815
high,neut,23600,1175.615474794842,1158.646501299232,1192.5844482904517,192.93148282568959
high,neut,23400,1164.0188840657775,1147.142520296331,1180.895247835224,191.87854159754698
high,neut,23200,1155.2358923988468,1138.514824384324,1171.9569604133696,190.1128814483528
high,neut,23000,1144.6785589810208,1128.2862591242601,1161.0708588377815,186.37489881791635
high,neut,22800,1133.721998669244,1117.1449541317627,1150.2990432067252,188.47538328180033
high,neut,22600,1122.8604923798357,1106.4287398203262,1139.2922449393452,186.82346268919483
high,neut,22400,1112.7594182693833,1096.4560943414388,1129.062742197328,185.36327263518217
high,neut,22200,1103.4948195557809,1087.3258848471246,1119.663754264437,183.83531271705206
high,neut,22000,1094.0844713412123,1078.1482388837296,1110.020703798695,181.18956691590486
high,neut,21800,1085.2000887170877,1069.3092947593411,1101.0908826748343,180.67294655971708
high,neut,21600,1072.798707265296,1057.208750046378,1088.3886644842137,177.2525347047679
high,neut,21400,1064.8014955166186,1049.2153457301981,1080.387645303039,177.20924548649995
high,neut,21200,1055.1947023224866,1039.6902463441977,1070.6991583007755,176.28041455016796
high,neut,21000,1046.7412312664364,1031.4167449423614,1062.0657175905114,174.23422052080633
high,neut,20800,1036.3613320237002,1021.1960415141895,1051.5266225332111,172.42421801408622
high,neut,20600,1026.3426380659675,1011.1843863832097,1041.5008897487255,172.34418893730387
high,neut,20400,1018.2123506859732,1003.1998013970316,1033.224899974915,170.6876020555173
high,neut,20200,1008.592883622192,993.7755513730702,1023.4102158713137,168.46805041469176
high,neut,20000,998.0862456829632,983.3077293520338,1012.8647620138926,168.02672656820093
high,neut,19800,986.2868730395109,971.6140540206222,1000.9596920583995,166.82498392018553
high,neut,19600,975.6534964037895,961.0862632038868,990.2207296036922,165.62450891045182
high,neut,19400,965.786888881848,951.3691635041129,980.2046142595831,163.92465559685567
high,neut,19200,955.755521054466,941.287959648764,970.2230824601681,164.49127435999486
high,neut,19000,945.1221444187446,930.8164593072846,959.4278295302046,162.65079570696713
high,neut,18800,935.7434808782991,921.5115467475579,949.9754150090404,161.8122720288196
high,neut,18600,926.0986660752194,911.9465074745468,940.250824675892,160.9052512645211
high,neut,18400,917.1952726466209,903.0788360170685,931.3117092761732,160.49910454860728
high,neut,18200,907.0244922530973,893.1288791292773,920.9201053769173,157.98841606089465
high,neut,18000,899.046291308894,885.1023588925954,912.9902237251925,158.5377900551087
