mut_rate,chrom,time,mean_heterozygosity,CI_5%,CI_95%,stdev
low,neut,40000,18.744653211241722,16.590115811460787,20.899190611022657,24.496360693278536
low,neut,39800,18.79534868983873,16.6352956240021,20.955401755675357,24.559071948686626
low,neut,39600,18.700294667469343,16.553494745168546,20.84709458977014,24.408388194296215
low,neut,39400,18.808022559487977,16.64831956354767,20.967725555428284,24.5550917725017
low,neut,39200,18.554545166502965,16.39377516661787,20.71531516638806,24.56722324605853
low,neut,39000,18.396121795887332,16.248526743562113,20.54371684821255,24.41742855343703
low,neut,38800,18.34542631729033,16.204757743845395,20.486094890735263,24.338676833924936
low,neut,38600,18.3137416431672,16.156850757385147,20.470632528949256,24.52311903220356
low,neut,38400,18.358100186939577,16.21413886176684,20.502061512112313,24.376114306120044
low,neut,38200,18.079275054656065,15.950581827265609,20.207968282046522,24.202521204225913
low,neut,38000,17.97788409746206,15.85247395171444,20.103294243209678,24.16519367762245
low,neut,37800,18.072938119831438,15.965275049467474,20.1806011901954,23.96341543980072
low,neut,37600,18.079275054656065,15.959355825589194,20.199194283722935,24.10276381422718
low,neut,37400,17.819460726846422,15.73256673704322,19.906354716649624,23.727278026388497
low,neut,37200,17.80044992237255,15.70224658965634,19.89865325508876,23.85586142588258
low,neut,37000,17.857482335794177,15.768712129557272,19.946252542031083,23.748609971939004
low,neut,36800,17.77510218307405,15.699116579287965,19.851087786860134,23.603253371033713
low,neut,36600,17.686385095529296,15.60462077132661,19.768149419731984,23.668955465453177
low,neut,36400,17.743417508950923,15.663207087528273,19.823627930373576,23.6512881170071
low,neut,36200,17.54063559456291,15.457054766934686,19.624216422191136,23.68960849432012
low,neut,36000,17.407559963245777,15.330600749969143,19.48451917652241,23.614322981269908
low,neut,35800,17.43290770254428,15.371712236007728,19.494103169080834,23.435094518555932
low,neut,35600,17.369538354298026,15.318017107373386,19.421059601222666,23.325101917330485
low,neut,35400,17.166756439910017,15.117932267673503,19.215580612146532,23.294437091375855
low,neut,35200,17.021006938943632,14.965100292823525,19.07691358506374,23.37496242125449
low,neut,35000,16.989322264820505,14.94809929682979,19.030545232811217,23.20801397292484
low,neut,34800,16.93862678622351,14.898482184410458,18.97877138803656,23.195753314627524
low,neut,34600,16.805551154906375,14.773697143251873,18.837405166560877,23.10149211177972
low,neut,34400,16.748518741484745,14.69800984530934,18.79902763766015,23.31359183210109
low,neut,34200,16.583758436044487,14.554741314377795,18.61277555771118,23.069237633210175
low,neut,34000,16.3619657171826,14.357868371870843,18.366063062494355,22.78590821407434
low,neut,33800,16.14650993314534,14.149289540826516,18.143730325464162,22.707719587131614
low,neut,33600,16.140172998320715,14.146408936451445,18.133937060189986,22.668422280259136
low,neut,33400,16.127499128671463,14.115496716026154,18.139501541316772,22.87578615294281
low,neut,33200,15.861347866037198,13.865076872020802,17.85761886005359,22.696925249906272
low,neut,33000,15.861347866037198,13.873185178497916,17.84951055357648,22.604736550793767
low,neut,32800,15.77896771331707,13.78320960552226,17.77472582111188,22.6910939072339
low,neut,32600,15.652229016824563,13.664487537510254,17.639970496138872,22.599947555900037
low,neut,32400,15.664902886473813,13.690480771350925,17.639325001596703,22.448510895078396
low,neut,32200,15.664902886473813,13.667253254494172,17.662552518453456,22.712599896731408
low,neut,32000,15.487468711384306,13.488447375046738,17.486490047721873,22.728195710811832
low,neut,31800,15.265675992522418,13.258794915245922,17.272557069798914,22.817558303921274
low,neut,31600,15.310034536294795,13.319572208260869,17.30049686432872,22.63088268454266
low,neut,31400,15.164285035328414,13.160282632587366,17.16828743806946,22.784828749193625
low,neut,31200,15.284686796996295,13.292718061685042,17.27665553230755,22.64801002520529
low,neut,31000,15.202306644276167,13.234260333304317,17.170352955248017,22.376020160775344
low,neut,30800,15.15794810050379,13.193374501519196,17.122521699488384,22.336536601366078
low,neut,30600,14.89813377269415,12.945856112583499,16.8504114328048,22.196735939864812
low,neut,30400,14.917144577168026,12.964677176960352,16.869611977375698,22.198893220520553
low,neut,30200,14.9108076423434,12.960393199233604,16.861222085453196,22.175551793464084
low,neut,30000,15.132600361205286,13.178242772205122,17.08695795020545,22.220384027059325
low,neut,29800,14.689014923481514,12.730971590180921,16.647058256782106,22.262289691735045
low,neut,29600,14.606634770761382,12.666153547972206,16.547115993550555,22.062614441880182
low,neut,29400,14.4355375304965,12.511192776385844,16.359882284607156,21.879148256932552
low,neut,29200,14.397515921548747,12.506939678024068,16.288092165073426,21.495211725836366
low,neut,29000,14.429200595671874,12.531837714354996,16.326563476988753,21.572373499528137
low,neut,28800,14.258103355406991,12.369953585185142,16.146253125628842,21.467623546004926
low,neut,28600,14.01729983207123,12.141566647288021,15.893033016854437,21.32645117391483
low,neut,28400,13.9602674186496,12.084018008831968,15.836516828467232,21.332320477758646
low,neut,28200,13.890561135578722,12.0344663717837,15.746655899373742,21.103168976993132
low,neut,28000,13.548366655048953,11.68335437664393,15.413378933453977,21.20455809857273
low,neut,27800,13.491334241627326,11.632753855054581,15.349914628200072,21.131429666325673
low,neut,27600,13.4849973068027,11.639941255883379,15.330053357722022,20.977662549385887
low,neut,27400,13.244193783466939,11.401978229550144,15.086409337383733,20.94536706028038
low,neut,27200,13.193498304869935,11.387438750825865,14.999557858914006,20.534285584415333
low,neut,27000,12.756249801970787,10.986937605033672,14.525561998907902,20.116480577034974
low,neut,26800,12.80694528056779,11.039765128104294,14.574125433031286,20.0922399532959
