mut_rate,chrom,time,mean_heterozygosity,CI_5%,CI_95%,stdev,Ne,Fis
low,neut,40000,3.8824359893126346,3.5406680959744286,4.224203882650841,3.885785222129763,3882.435989312634,-0.9069699942191383
low,neut,39800,4.075821100947243,3.714909412525346,4.43673278936914,4.103443690001327,4075.8211009472425,-0.9036811741387578
low,neut,39600,4.145069851893921,3.792055899969854,4.498083803817988,4.01364910025274,4145.069851893921,-0.8990770120854434
low,neut,39400,4.069641819387107,3.726770199186817,4.412513439587397,3.898334222821617,4069.641819387107,-0.9045573471818965
low,neut,39200,4.014745880136425,3.658088576254072,4.371403184018777,4.055072778352646,4014.745880136424,-0.9091129495781279
low,neut,39000,3.874925466675328,3.530836737298358,4.2190141960522975,3.9121723420383354,3874.9254666753272,-0.8971281435906362
low,neut,38800,3.8282829649542633,3.4801067867775037,4.176459143131023,3.9586452508516774,3828.2829649542628,-0.8925323831127626
low,neut,38600,3.8982276220519316,3.5431328736671692,4.2533223704366945,4.037307051437846,3898.227622051931,-0.9006993847770332
low,neut,38400,3.953996946334595,3.5964531522350174,4.3115407404341735,4.0651518719503805,3953.996946334595,-0.9098947659853621
low,neut,38200,3.905772411988657,3.554353238393329,4.2571915855839855,3.9955170106586713,3905.7724119886566,-0.8907493240567151
low,neut,38000,4.006957670344522,3.648074339920364,4.36584100076868,4.080381946383991,4006.957670344522,-0.8807950034578285
low,neut,37800,4.005365368156266,3.6502821859407906,4.360448550371741,4.037175548009438,4005.365368156265,-0.8993945353589582
low,neut,37600,4.044997065564561,3.678385228206422,4.4116089029227,4.168252453293993,4044.9970655645607,-0.8922725568854715
low,neut,37400,3.9198713162409504,3.5599491220289905,4.279793510452911,4.092193475884374,3919.8713162409504,-0.8888557674732708
low,neut,37200,3.891510498405675,3.5404933541798855,4.242527642631465,3.9909460728571235,3891.5104984056748,-0.8843108868045226
low,neut,37000,3.9140328906822393,3.562635403233016,4.265430378131462,3.9952704465205433,3914.0328906822388,-0.8913729935607242
low,neut,36800,4.077192594500635,3.7200523324254045,4.434332856575865,4.060563849472465,4077.192594500634,-0.88753361550793
low,neut,36600,3.946726983415468,3.5901230580692003,4.303330908761736,4.054465882471729,3946.7269834154677,-0.8893917805976937
low,neut,36400,3.9037590254087084,3.5464854425922034,4.2610326082252135,4.062079661157375,3903.759025408708,-0.9000462484303704
low,neut,36200,4.052503807411676,3.6905710304906707,4.414436584332681,4.1150531204881045,4052.503807411675,-0.8882924494594163
low,neut,36000,4.059934322539217,3.7023589459276574,4.417509699150776,4.065510954417542,4059.9343225392163,-0.887922433852128
low,neut,35800,3.8291133641626796,3.492334632402051,4.165892095923308,3.829060144359556,3829.1133641626793,-0.8759699150424265
low,neut,35600,3.8978630824653564,3.549812694255147,4.245913470675566,3.957215061525412,3897.8630824653565,-0.8805049670710876
low,neut,35400,3.8359686005568148,3.4881459616673913,4.183791239446238,3.9546256288656734,3835.9686005568146,-0.8899938467422285
low,neut,35200,3.766662950326729,3.39711042443139,4.136215476222068,4.201687086223158,3766.6629503267286,-0.8835265265141153
low,neut,35000,3.8976738200578436,3.5498202447055296,4.245527395410157,3.9549773659734213,3897.673820057843,-0.8755130363073127
low,neut,34800,3.735294041440198,3.3919688482871346,4.078619234593262,3.9034911937115058,3735.294041440198,-0.8826655730395184
low,neut,34600,3.773186517191938,3.4276207478500282,4.118752286533848,3.9289657863030887,3773.1865171919376,-0.8759150736624782
low,neut,34400,3.7282758819766673,3.367524217155809,4.089027546797526,4.101624275842692,3728.275881976667,-0.8806633211884424
low,neut,34200,3.7734615642475156,3.4190982734202344,4.127824855074797,4.028990626686198,3773.461564247515,-0.888710174187889
low,neut,34000,3.6807246229031545,3.3227585885429303,4.038690657263379,4.069952600740267,3680.724622903154,-0.8731537513921059
low,neut,33800,3.588042269567561,3.2364802281778005,3.9396043109573213,3.9971413691052744,3588.0422695675607,-0.8733986411745005
low,neut,33600,3.58823191771784,3.2419079243541815,3.9345559110814983,3.9375865366901315,3588.231917717839,-0.8753328786942608
low,neut,33400,3.7353953245665634,3.3927395585286506,4.078051090604476,3.8958800340851925,3735.395324566563,-0.8874777898937579
low,neut,33200,3.6485889873137656,3.304859564747816,3.992318409879715,3.9080871452609616,3648.588987313765,-0.8752488915569699
low,neut,33000,3.7035815307494886,3.3630770326520523,4.044086028846925,3.871420846037143,3703.581530749488,-0.8903390494448591
low,neut,32800,3.6571439991784866,3.3141521666795066,4.000135831677467,3.899700995952952,3657.1439991784864,-0.886408045259392
low,neut,32600,3.6330604649716047,3.3168018671993673,3.949319062743842,3.5957531691800417,3633.0604649716042,-0.8905372308896714
low,neut,32400,3.6192804556821327,3.305797338397377,3.9327635729668886,3.564196895835512,3619.2804556821325,-0.901225001278424
low,neut,32200,3.4956941965382557,3.162395513620085,3.8289928794564263,3.7894931673909813,3495.6941965382553,-0.9112253880121398
low,neut,32000,3.7883059199035762,3.4387682602555443,4.137843579551608,3.974124834172389,3788.3059199035756,-0.8898555830534641
low,neut,31800,3.5481540413413777,3.2190710882381537,3.8772369944446017,3.7415617468721982,3548.1540413413773,-0.87840272658698
low,neut,31600,3.611759596820256,3.259596918891253,3.963922274749259,4.00397040317651,3611.759596820256,-0.8902145304543325
low,neut,31400,3.642764383020367,3.2884196476300698,3.9971091184106644,4.028779657650701,3642.764383020367,-0.8756610967304566
low,neut,31200,3.5029530466922463,3.172711510251427,3.8331945831330656,3.7547344471158066,3502.9530466922456,-0.8842407727777007
low,neut,31000,3.51026207332727,3.172787308040041,3.847736838614499,3.836973809874929,3510.2620733272697,-0.8763996435752389
low,neut,30800,3.735561080441785,3.397602451973229,4.073519708910341,3.84247517040698,3735.5610804417843,-0.8775332091117655
low,neut,30600,3.51866410380928,3.179908513742568,3.857419693875992,3.851536353920947,3518.66410380928,-0.8543293244375114
low,neut,30400,3.610599770702642,3.2699678704150763,3.9512316709902073,3.872869365799595,3610.5997707026418,-0.8490913879706306
low,neut,30200,3.657399779050654,3.3158597695368335,3.9989397885644746,3.8831942602096414,3657.3997790506537,-0.8495063057983798
low,neut,30000,3.7741145255496606,3.4264018583055913,4.12182719279373,3.9533752884952054,3774.1145255496604,-0.8644716429089574
low,neut,29800,3.6874171037019194,3.3324901748969378,4.042344032506901,4.035398999640681,3687.417103701919,-0.8255343565972655
low,neut,29600,3.6502040111779257,3.2988840371809065,4.001523985174945,3.9943891448156115,3650.2040111779256,-0.8326284909041731
low,neut,29400,3.62659706622467,3.2927320283008994,3.9604621041484407,3.795932432032676,3626.5970662246696,-0.8339734835102248
low,neut,29200,3.5419853529015586,3.2028601839373945,3.8811105218657227,3.855738340842842,3541.985352901558,-0.8432946925043225
low,neut,29000,3.6110522345716882,3.275809285602827,3.9462951835405495,3.811598814044531,3611.052234571688,-0.8291942841812259
low,neut,28800,3.462257490844774,3.1315990408083954,3.7929159408811524,3.7594746135273,3462.257490844773,-0.8257559543807714
low,neut,28600,3.581431004061139,3.2222723079729283,3.9405897001493493,4.083512760743429,3581.4310040611385,-0.8248000327528218
low,neut,28400,3.433182557273689,3.111140241256407,3.7552248732909708,3.661512087216603,3433.1825572736884,-0.8448123550850831
low,neut,28200,3.5721429181654765,3.2333771847799815,3.9109086515509714,3.85165168002091,3572.142918165476,-0.8570660895418856
low,neut,28000,3.595784725423458,3.245663228017279,3.945906222829637,3.98076287179076,3595.784725423457,-0.8213530109037888
low,neut,27800,3.402639078541599,3.0743367202441005,3.730941436839098,3.7326866482462524,3402.639078541599,-0.8340224031536861
low,neut,27600,3.557515315226987,3.203272902893079,3.9117577275608952,4.027616279146892,3557.515315226987,-0.8457286312900393
low,neut,27400,3.6188661588258895,3.2484642082899837,3.989268109361795,4.211344756764964,3618.866158825889,-0.8280055387400168
low,neut,27200,3.581655104034086,3.2197294587289713,3.9435807493392003,4.114972036430244,3581.6551040340855,-0.8088497358752801
low,neut,27000,3.394977053944002,3.0658176436334688,3.7241364642545354,3.742431039430334,3394.977053944002,-0.7897189181016503
low,neut,26800,3.4021712252489866,3.055381187583255,3.7489612629147184,3.9428853025986745,3402.1712252489865,-0.8297284401874438
low,neut,26600,3.1927394579263826,2.872867114397176,3.512611801455589,3.6368402347958555,3192.7394579263823,-0.8380921113394018
low,neut,26400,3.209126818178657,2.8753460649289564,3.542907571428358,3.794974143827914,3209.126818178657,-0.816827587139476
low,neut,26200,3.131889131001928,2.801385410072066,3.4623928519317904,3.7577153959786256,3131.8891310019276,-0.8490092526397867
low,neut,26000,3.324784418799045,2.9946099169435896,3.6549589206545003,3.7539722865786223,3324.7844187990445,-0.8267146897850844
low,neut,25800,3.2920352830683877,2.979223262655009,3.6048473034817663,3.556566751646294,3292.0352830683873,-0.8269626591978556
low,neut,25600,3.2153441368490583,2.8963853618790316,3.534302911819085,3.6264532696190197,3215.344136849058,-0.8478068118520624
low,neut,25400,3.178686280569914,2.85891196543541,3.498460595704418,3.6357256851412236,3178.6862805699134,-0.8167493228872028
low,neut,25200,3.2703786837352813,2.953623253835876,3.5871341136346864,3.6014019822349193,3270.378683735281,-0.8115648994254209
low,neut,25000,3.3471939080577293,3.0243139124594207,3.670073903656038,3.6710362204084035,3347.193908057729,-0.8417682267090693
low,neut,24800,3.122919415567662,2.81498253280041,3.430856298334914,3.5011380873673423,3122.919415567662,-0.8195761895491225
low,neut,24600,3.130331278536506,2.8257517780397974,3.4349107790332143,3.4629657877856235,3130.3312785365056,-0.7919083305163548
low,neut,24400,3.1620858294567733,2.8614756363825506,3.462696022530996,3.4178361064286906,3162.085829456773,-0.821811008317493
low,neut,24200,3.263173814765826,2.948346140962872,3.57800148856878,3.579484048170685,3263.1738147658257,-0.7775510284328148
low,neut,24000,3.076459087566364,2.76270803207382,3.3902101430589084,3.567243262532214,3076.459087566364,-0.7997304686245149
low,neut,23800,3.137977094291687,2.82102975639207,3.454924432191304,3.6035839112158694,3137.9770942916866,-0.825104191613657
low,neut,23600,3.3253213923729574,3.007397835345856,3.6432449494000587,3.6146831921403786,3325.3213923729572,-0.8056709983583549
low,neut,23400,3.2392699397386813,2.9129217235248874,3.565618155952475,3.7104687144414266,3239.269939738681,-0.7851508965779086
low,neut,23200,3.246402570620763,2.916082943734052,3.5767221975074737,3.755622309043594,3246.4025706207626,-0.8141365778267065
low,neut,23000,2.992935261791851,2.69957707356588,3.286293450017822,3.3353832668863146,2992.9352617918507,-0.8110964976153251
low,neut,22800,3.031058234353942,2.726336776946222,3.335779691761662,3.464579789796171,3031.0582343539413,-0.8032834260754393
low,neut,22600,3.247806561356052,2.9353797341472956,3.5602333885648085,3.5521872353389963,3247.806561356052,-0.7997912122979393
low,neut,22400,3.0626726769115433,2.7673259657353593,3.3580193880877274,3.357992099501722,3062.672676911543,-0.7903533132133139
low,neut,22200,3.1169839882315924,2.813964861976573,3.4200031144866117,3.44522486101183,3116.983988231592,-0.8091160977880298
low,neut,22000,3.0927053680248484,2.788139670086513,3.3972710659631837,3.46280885737057,3092.705368024848,-0.7789799498643936
low,neut,21800,3.0145154057791492,2.733360452362934,3.2956703591953644,3.196636619204569,3014.5154057791488,-0.7697597346279899
low,neut,21600,2.9746035153832726,2.689116117662212,3.2600909131043334,3.2458950439531145,2974.6035153832727,-0.8081830983248929
low,neut,21400,3.022432728725389,2.7207910189135123,3.324074438537266,3.4295641024566508,3022.4327287253886,-0.8120127214171815
low,neut,21200,2.805393857846119,2.5261016144999395,3.0846861011922986,3.175458236435613,2805.393857846119,-0.7955560851640319
low,neut,21000,2.9449723436773696,2.644986215022849,3.24495847233189,3.4107407052894834,2944.9723436773693,-0.827108969170854
low,neut,20800,2.8514505454259034,2.5499897762094137,3.152911314642393,3.4275068691549198,2851.450545425903,-0.7869056892738341
low,neut,20600,2.9913294802581323,2.693400296402464,3.2892586641138006,3.387353939423192,2991.329480258132,-0.7889534909869336
low,neut,20400,2.8060612206015603,2.5102667895229516,3.101855651680169,3.363082523191033,2806.0612206015603,-0.8003099133827263
low,neut,20200,2.913559406691466,2.6244809410265377,3.2026378723563944,3.2867242705128406,2913.5594066914655,-0.7918755755665069
low,neut,20000,3.03739477344709,2.711073047259434,3.3637164996347457,3.7101675318139584,3037.3947734470894,-0.7608860577531231
low,neut,19800,2.944983660298023,2.645763649200748,3.244203671395298,3.402030208076648,2944.9836602980226,-0.7736429684725429
low,neut,19600,2.790345725145743,2.498421930076826,3.08226952021466,3.3190747023867018,2790.3457251457426,-0.7639637953180127
low,neut,19400,2.8592488060440213,2.5571945131646925,3.16130309892335,3.434255032229916,2859.248806044021,-0.7713864919181835
low,neut,19200,2.851952956316333,2.5575838907666606,3.1463220218660055,3.3468765997662944,2851.952956316333,-0.754986682066693
low,neut,19000,2.8206804717661864,2.52644550419041,3.1149154393419627,3.345351951209655,2820.6804717661857,-0.7713029433503805
low,neut,18800,2.95297989687934,2.657894334411229,3.248065459347451,3.3550229271178105,2952.97989687934,-0.7746464339147874
low,neut,18600,2.797507760207769,2.5130341809589614,3.081981339456577,3.234368271210002,2797.507760207769,-0.7777587877419074
low,neut,18400,2.7806285521822423,2.4855448336384445,3.07571227072604,3.3550019623227314,2780.628552182242,-0.781639644574954
low,neut,18200,2.7830034063559106,2.4948965647952743,3.071110247916547,3.2756772334461113,2783.00340635591,-0.797077948646863
low,neut,18000,2.7046543325439387,2.424637553946417,2.9846711111414606,3.1836959569104017,2704.654332543939,-0.8237680569131149
low,neut,17800,2.689391422590027,2.4107525999019943,2.96803024527806,3.1680290648055283,2689.391422590027,-0.7994297075882606
low,neut,17600,2.6017299661188633,2.3226262356432055,2.880833696594521,3.1733149089296266,2601.729966118863,-0.793244808560994
low,neut,17400,2.557517935069419,2.278714634530097,2.8363212356087413,3.1698991222812807,2557.517935069419,-0.77871935153622
low,neut,17200,2.7035234741306193,2.418749293919025,2.9882976543422135,3.2377860023711844,2703.523474130619,-0.782204416229722
low,neut,17000,2.6506700094438855,2.3598290074080563,2.9415110114797147,3.306763712242184,2650.670009443885,-0.774031859972036
low,neut,16800,2.5881967376210513,2.3004168965844096,2.875976578657693,3.271959348213079,2588.196737621051,-0.7763020429859916
low,neut,16600,2.572929240321344,2.2920695022860693,2.8537889783566186,3.193280120285377,2572.9292403213435,-0.7699592978446306
low,neut,16400,2.57205489693879,2.283218707713524,2.860891086164056,3.2839696694304643,2572.0548969387896,-0.7886672165543814
low,neut,16200,2.5876517037948497,2.2840733765956696,2.8912300309940298,3.451582786397379,2587.6517037948493,-0.7718349812380573
low,neut,16000,2.625577870596485,2.3228204730403417,2.9283352681526282,3.4422490943288753,2625.5778705964844,-0.7728050512954695
low,neut,15800,2.558200634974679,2.2577317194144086,2.858669550534949,3.4162298289326576,2558.2006349746785,-0.7219764717467765
low,neut,15600,2.5797154532182667,2.2934202185621544,2.866010687874379,3.2550798763651163,2579.7154532182662,-0.7874262885769903
low,neut,15400,2.4021638641656544,2.1400212599992536,2.664306468332055,2.980472645955653,2402.1638641656546,-0.7591449089237482
low,neut,15200,2.324027937135258,2.0499398037105463,2.5981160705599695,3.116289268778466,2324.0279371352576,-0.7386764905556799
low,neut,15000,2.5343978969864143,2.2655020942204964,2.803293699752332,3.0572542273493797,2534.397896986414,-0.7270412860695891
low,neut,14800,2.332550289302352,2.0748062793913165,2.590294299213388,2.93046211866856,2332.5502893023518,-0.7824186752024842
low,neut,14600,2.3793711687759513,2.1204527886551636,2.638289548896739,2.94381431030304,2379.371168775951,-0.7271857562603911
low,neut,14400,2.6427524296607707,2.365683467773528,2.9198213915480133,3.1501802790669773,2642.7524296607703,-0.7108399573767026
low,neut,14200,2.356561848603417,2.088407959371725,2.624715737835109,3.048818921682621,2356.561848603417,-0.705551801320774
low,neut,14000,2.6131722277976586,2.3166722543019875,2.9096722012933296,3.3711043015711764,2613.1722277976583,-0.7211724723644932
low,neut,13800,2.666565289877663,2.3751790243655018,2.9579515553898243,3.312963173337851,2666.565289877663,-0.6770453472247835
low,neut,13600,2.6574885412767006,2.375852965487848,2.9391241170655533,3.202101132839182,2657.4885412767003,-0.6972640503969008
low,neut,13400,2.7040277957905285,2.4056851361442066,3.0023704554368504,3.3920550191569725,2704.027795790528,-0.6989427677822555
