mut_rate,chrom,time,mean_heterozygosity,CI_5%,CI_95%,stdev,Ne,Fis
high,pur,40000,266.76586842538813,263.8619940741823,269.669742776594,33.01606809996937,2667.6586842538813,-0.8996561298788921
high,pur,39800,265.86935902260467,262.8589639457678,268.8797540994415,34.22717268169216,2658.693590226047,-0.8986909245282502
high,pur,39600,262.83252811553933,259.8579625098877,265.80709372119094,33.81980372643831,2628.3252811553934,-0.8987981774325313
high,pur,39400,262.10448547310494,259.12243953596885,265.08653141024104,33.90485256252196,2621.04485473105,-0.8976838036776067
high,pur,39200,260.03333002029956,257.01457486726645,263.05208517333267,34.32222391726001,2600.333300202996,-0.8961817924170843
high,pur,39000,260.0213152281746,257.0984668732037,262.94416358314555,33.23179609804125,2600.2131522817463,-0.8942510086554311
high,pur,38800,258.4474711497853,255.35979496625427,261.53514733331633,35.10583269685291,2584.474711497853,-0.894517540837496
high,pur,38600,258.8036945823655,255.90847781469313,261.69891135003786,32.917634306715364,2588.0369458236546,-0.8932086802827464
high,pur,38400,258.3196767197204,255.42476253872724,261.2145909007136,32.9141939986309,2583.196767197204,-0.8927568611916652
high,pur,38200,256.7320998871087,253.77122750632606,259.6929722678913,33.66411639630498,2567.320998871087,-0.8931466236883695
high,pur,38000,259.1740915911194,256.1909551368145,262.1572280454243,33.91725137347391,2591.740915911194,-0.8899450240363438
high,pur,37800,258.41694368803945,255.42878534524667,261.4051020308322,33.974348545132756,2584.169436880394,-0.8926016974138902
high,pur,37600,256.447406207474,253.45324835545006,259.4415640594979,34.04256093361297,2564.4740620747402,-0.8884441005121091
high,pur,37400,255.79971576843266,252.90513565430243,258.69429588256287,32.91039577151686,2557.997157684327,-0.8918790060614477
high,pur,37200,254.4885328123015,251.5054726762979,257.4715929483051,33.91638366023,2544.885328123015,-0.8918479909637776
high,pur,37000,252.45374720826507,249.4607266769084,255.44676773962175,34.0296299827315,2524.5374720826508,-0.8950392594807922
high,pur,36800,250.47642382053857,247.46870878238093,253.4841388586962,34.196701549389964,2504.764238205386,-0.8935485914702586
high,pur,36600,248.77617182310502,245.88825302020254,251.6640906260075,32.83465891842635,2487.76171823105,-0.8957147030913635
high,pur,36400,248.83226455381737,245.76898867325505,251.89554043437968,34.82840951422092,2488.3226455381737,-0.8956540148820413
high,pur,36200,249.66736770823528,246.71872765855775,252.6160077579128,33.52503893359733,2496.6736770823527,-0.8902790422020812
high,pur,36000,247.7444699467374,244.7499066844986,250.73903320897622,34.04717031048115,2477.444699467374,-0.8859530534922476
high,pur,35800,248.19048338941874,245.32497380234253,251.05599297649496,32.57987372240719,2481.9048338941875,-0.8879464837470302
high,pur,35600,247.87938282638896,244.8323738221792,250.92639183059873,34.64346063817652,2478.7938282638897,-0.8841771289610477
high,pur,35400,246.3806834516095,243.44457482908723,249.3167920741318,33.38256085007585,2463.8068345160955,-0.8873390991820815
high,pur,35200,246.13173380750152,243.27717763502315,248.9862899799799,32.45533710733654,2461.317338075015,-0.8848539409152504
high,pur,35000,245.4115720339918,242.59650942588513,248.22663464209847,32.00630865324209,2454.115720339918,-0.8817528613763224
high,pur,34800,244.74674490103726,241.7508805564657,247.74260924560883,34.061963176048685,2447.4674490103725,-0.8869472821901148
high,pur,34600,243.20699799215694,240.29996523295924,246.11403075135465,33.051978129376835,2432.0699799215695,-0.8842420821799418
high,pur,34400,242.28507492421502,239.39121416450723,245.17893568392282,32.902216955312525,2422.8507492421504,-0.8862802140336714
high,pur,34200,241.3745691381003,238.48399059622508,244.2651476799755,32.86489924993915,2413.745691381003,-0.8824022017186528
high,pur,34000,242.15099249536422,239.2334231196073,245.06856187112115,33.171775891879044,2421.5099249536424,-0.8819959313012886
high,pur,33800,239.79086877652003,236.9477343485962,242.63400320444384,32.325475739238094,2397.9086877652003,-0.8845678724013397
high,pur,33600,240.94101887678934,237.95490735218078,243.9271304013979,33.95107691544573,2409.4101887678935,-0.8831971862730129
high,pur,33400,239.21814728512032,236.3162347394556,242.12005983078504,32.99376303524874,2392.181472851203,-0.8830257127148586
high,pur,33200,238.7787629846325,235.96861566042432,241.58891030884067,31.950423539667547,2387.787629846325,-0.8813923131864697
high,pur,33000,238.0609057929716,235.35271680593542,240.76909478000778,30.791191769865858,2380.609057929716,-0.8789255791193985
high,pur,32800,237.71972798094478,234.99278313615704,240.44667282573252,31.004439521629507,2377.1972798094475,-0.878460967372164
high,pur,32600,235.98145257418858,233.1456173421141,238.81728780626307,32.24248635399281,2359.8145257418855,-0.8750568308354804
high,pur,32400,237.12266549311707,234.29902375911624,239.9463072271179,32.103850409703405,2371.2266549311707,-0.8734075705387381
high,pur,32200,236.67515618946592,233.84984393112552,239.50046844780633,32.12284370579261,2366.7515618946595,-0.8729689658212743
high,pur,32000,234.86969980181098,232.0633525574614,237.67604704616056,31.90721791841042,2348.6969980181098,-0.8730908899809671
high,pur,31800,234.1925982379645,231.4429515720629,236.94224490386608,31.262551540690076,2341.9259823796447,-0.8688518822953156
high,pur,31600,232.96225320026346,230.16308626917962,235.7614201313473,31.825580187886047,2329.6225320026347,-0.8723190840238331
high,pur,31400,233.20612518990134,230.45216910987986,235.96008126992282,31.31154812003401,2332.0612518990133,-0.8726350173905818
high,pur,31200,231.12442857427774,228.34769635765437,233.90116079090112,31.57050508103004,2311.2442857427777,-0.8730572438550136
high,pur,31000,231.36918957664224,228.74377386833396,233.99460528495052,29.850087618371283,2313.6918957664225,-0.8708401550409828
high,pur,30800,229.47062564670662,226.6350304497391,232.30622084367414,32.23975723610416,2294.706256467066,-0.8702866872821019
high,pur,30600,226.72349894105184,223.9467612828805,229.5002365992232,31.57056694958791,2267.234989410518,-0.870024179498797
high,pur,30400,227.7776351867672,224.88627277004323,230.6689976034912,32.873811641543895,2277.776351867672,-0.8678700396506128
high,pur,30200,225.8843406715991,223.04242657910615,228.72625476409203,32.31160093860358,2258.843406715991,-0.8697814510950073
high,pur,30000,226.25111181176004,223.37483845406908,229.127385169451,32.702254149605075,2262.5111181176003,-0.866499469879327
high,pur,29800,225.1370077977486,222.37817858179986,227.89583701369733,31.366954025447335,2251.370077977486,-0.8664241990613946
high,pur,29600,224.66871876188281,221.70536466627604,227.6320728574896,33.69233265352844,2246.687187618828,-0.8661252822545416
high,pur,29400,226.49599269313504,223.59549553249283,229.39648985377724,32.977670586802645,2264.9599269313503,-0.8638268408497026
high,pur,29200,224.7218983423943,221.75827632143304,227.68552036335555,33.69537887408736,2247.218983423943,-0.8628643589902808
high,pur,29000,220.83646481276722,217.9648664418625,223.70806318367192,32.64910113283015,2208.3646481276724,-0.860228697632149
high,pur,28800,222.33198147949122,219.46602307762566,225.19793988135677,32.58497659459009,2223.319814794912,-0.8565232588404048
high,pur,28600,220.58312177112234,217.83539920334488,223.3308443388998,31.24067519653256,2205.8312177112234,-0.8595370526059914
high,pur,28400,219.84031015072458,217.03491452990465,222.6457057715445,31.89639828110499,2198.4031015072455,-0.8562843032662695
high,pur,28200,218.94720072226437,216.18126600310637,221.71313544142237,31.447741190960713,2189.4720072226437,-0.8545638074191813
high,pur,28000,217.4766930434558,214.64699557898294,220.30639050792868,32.17270201465558,2174.766930434558,-0.8541840315503054
high,pur,27800,216.8243463111039,214.07405274717019,219.57463987503763,31.269906552271035,2168.243463111039,-0.8570073340825264
high,pur,27600,214.71455393598785,211.9239701849852,217.5051376869905,31.72799233669091,2147.1455393598785,-0.8556059377505018
