mut_rate,chrom,time,mean_heterozygosity,CI_5%,CI_95%,stdev,Ne,Fis
low,pur,40000,15.130463461338113,14.23249914605455,16.028427776621676,14.463294939679828,15130.463461338113,-0.9050112007022793
low,pur,39800,14.906524411315022,14.009023560219834,15.80402526241021,14.455830033629148,14906.52441131502,-0.8949583455589079
low,pur,39600,14.912771219250422,14.017681269908108,15.807861168592735,14.416998219793204,14912.77121925042,-0.890783236904104
low,pur,39400,14.886932191893008,13.996954042379047,15.77691034140697,14.33466369120261,14886.932191893007,-0.8963665190231757
low,pur,39200,14.476308837691525,13.616938948819536,15.335678726563513,13.841663809447098,14476.308837691522,-0.8952606449395988
low,pur,39000,14.59740006047016,13.722717806178196,15.472082314762126,14.08829639108076,14597.40006047016,-0.891776449420474
low,pur,38800,14.96121495187711,14.071927575545214,15.850502328209007,14.323537573940953,14961.21495187711,-0.8884921951449679
low,pur,38600,14.826059911472578,13.950094420495828,15.702025402449328,14.10896517527804,14826.059911472577,-0.8922745536609411
low,pur,38400,14.837346729146207,13.95849652685324,15.716196931439173,14.155428525627423,14837.346729146204,-0.8897897563202884
low,pur,38200,14.737036946739408,13.851203871470819,15.622870022007998,14.267899978728389,14737.036946739407,-0.8795166521226355
low,pur,38000,14.566290709706676,13.695138748380344,15.437442671033008,14.031434812601082,14566.290709706675,-0.8940373629232846
low,pur,37800,14.277586678967857,13.42850427567585,15.126669082259864,13.675965757087441,14277.586678967857,-0.8882095750010869
low,pur,37600,14.258354329894486,13.405438217217176,15.111270442571795,13.737714390756851,14258.354329894484,-0.8862023626223178
low,pur,37400,14.386478788666928,13.532497337805115,15.24046023952874,13.75487353629384,14386.478788666927,-0.8884902091568765
low,pur,37200,14.224267781181862,13.363181619187497,15.085353943176226,13.869307407242124,14224.267781181861,-0.8951684556416265
low,pur,37000,14.287020707536435,13.419075924653733,15.154965490419137,13.979777561900947,14287.020707536434,-0.8863345078830189
low,pur,36800,14.261548604193047,13.413059635877879,15.110037572508215,13.66640744285216,14261.548604193045,-0.8892616620271885
low,pur,36600,14.281322014382706,13.440803083846378,15.121840944919034,13.5380359640375,14281.322014382706,-0.8889523887741272
low,pur,36400,14.217239127078722,13.365242128633408,15.069236125524036,13.722910439202929,14217.239127078721,-0.8871194293799979
low,pur,36200,14.148420061948942,13.302351653585603,14.99448847031228,13.627420066731949,14148.42006194894,-0.8914285246535043
low,pur,36000,14.043265119430554,13.201100797144623,14.885429441716486,13.564537892633954,14043.265119430553,-0.885279004202347
low,pur,35800,14.005583570766696,13.163222116626683,14.847945024906709,13.56771304792585,14005.583570766696,-0.8801707075221065
low,pur,35600,14.163618847887525,13.323649347030642,15.003588348744408,13.529186432528086,14163.618847887523,-0.8878853813621405
low,pur,35400,13.818493263367841,12.983330834511998,14.653655692223685,13.451760081654275,13818.49326336784,-0.8841073368134801
low,pur,35200,13.546745066806853,12.733334298393583,14.360155835220123,13.1014113260811,13546.745066806852,-0.8849873469201138
low,pur,35000,13.714978821667119,12.893754580756996,14.536203062577242,13.227261045609623,13714.978821667117,-0.8813604083093556
low,pur,34800,13.563326898662238,12.758438816150292,14.368214981174184,12.964138477070183,13563.326898662235,-0.8845733733541994
low,pur,34600,13.646150332666108,12.823656825025651,14.468643840306566,13.247704819115423,13646.150332666108,-0.8844474324522659
low,pur,34400,13.630711700904955,12.811856731041601,14.44956667076831,13.189099767529626,13630.711700904953,-0.8805464879481819
low,pur,34200,13.66178130200017,12.840522035400381,14.483040568599959,13.227825195956683,13661.781302000169,-0.8812888059999745
low,pur,34000,13.441227388429958,12.621343361744092,14.261111415115824,13.205674537907841,13441.227388429958,-0.8852773012246322
low,pur,33800,13.413770799584592,12.584812883828153,14.24272871534103,13.351825483601273,13413.77079958459,-0.8751045957913414
low,pur,33600,13.349909989389108,12.53947407064946,14.160345908128756,13.053496138919986,13349.909989389107,-0.8729530391395666
low,pur,33400,13.68916432402965,12.862172483409537,14.516156164649761,13.320158384935667,13689.164324029647,-0.8823370681324193
low,pur,33200,13.378797897330024,12.560977960166237,14.19661783449381,13.172428745139019,13378.797897330021,-0.881194299755102
low,pur,33000,13.108341478558108,12.312431313187927,13.904251643928289,12.819533328117974,13108.341478558106,-0.8789456915011709
low,pur,32800,13.203895978652337,12.39816731658381,14.009624640720864,12.97767748952332,13203.895978652336,-0.8738416614325374
low,pur,32600,13.316051620929281,12.498400507327627,14.133702734530935,13.16970954468712,13316.05162092928,-0.8796916456969619
low,pur,32400,13.351245636373744,12.538222834555237,14.16426843819225,13.095162441586128,13351.245636373742,-0.8638276535797059
low,pur,32200,13.325615494421402,12.51140136784617,14.139829620996634,13.114350822496373,13325.6154944214,-0.875242323609478
low,pur,32000,13.146648731908174,12.356344017276998,13.93695344653935,12.729247683211838,13146.648731908172,-0.8730416104162433
low,pur,31800,12.776375798789733,11.994603857826426,13.55814773975304,12.591812352974953,12776.375798789732,-0.8721747083603448
low,pur,31600,12.786674920479873,11.995893532619677,13.57745630834007,12.736925344098623,12786.674920479873,-0.8781810390651741
low,pur,31400,12.933893137604613,12.146497463261763,13.721288811947463,12.682392471968644,12933.893137604613,-0.8715482348539235
low,pur,31200,12.957297007834546,12.156361486484402,13.75823252918469,12.900475526463739,12957.297007834544,-0.86897473146825
low,pur,31000,13.151382156625935,12.33311191884267,13.9696523944092,13.17968162875607,13151.382156625934,-0.8710285526177056
low,pur,30800,13.02082363131813,12.22015990338811,13.82148735924815,12.896097815310846,13020.82363131813,-0.8708388062727707
low,pur,30600,12.791464447599683,12.005882870298807,13.57704602490056,12.653173247862856,12791.464447599683,-0.8709704243402222
low,pur,30400,12.809364394745398,12.001918376560761,13.616810412930034,13.005338530837545,12809.364394745397,-0.8656217064550588
low,pur,30200,12.817356003990378,12.024677218406007,13.61003478957475,12.767486272228542,12817.356003990377,-0.8582957517589413
low,pur,30000,12.733182934724228,11.94996493334306,13.516400936105397,12.615103699822678,12733.182934724227,-0.8541717314057357
low,pur,29800,12.77900884620808,11.986821879756256,13.571195812659905,12.759564659921747,12779.00884620808,-0.8661893121904765
low,pur,29600,12.813889101246124,12.023523992894651,13.604254209597597,12.730220430318031,12813.889101246123,-0.8577873048522774
low,pur,29400,12.323612185525468,11.567592061870277,13.079632309180658,12.177034034259231,12323.612185525466,-0.8536178507333266
low,pur,29200,12.286036515509359,11.526929402309786,13.045143628708932,12.226755431308298,12286.036515509357,-0.8622253634355215
low,pur,29000,12.477012538984988,11.709844711024164,13.244180366945812,12.356587422437908,12477.012538984987,-0.8684527119071797
low,pur,28800,12.462195446349437,11.69276825166671,13.231622641032164,12.392978498029231,12462.195446349435,-0.8598408904722004
low,pur,28600,12.349291068403348,11.58912968674516,13.109452450061536,12.24373627943669,12349.291068403347,-0.8627814891777
low,pur,28400,12.473787705833724,11.716482444211476,13.231092967455972,12.197733441952135,12473.787705833722,-0.8716238517220559
low,pur,28200,12.563905531013567,11.79445410221832,13.333356959808816,12.393368831042508,12563.905531013565,-0.8669420319144181
low,pur,28000,12.441566315062001,11.687786634426802,13.1953459956972,12.140947758176607,12441.566315062,-0.8695460520397269
low,pur,27800,12.132863361192515,11.395660778647454,12.870065943737576,11.873944432052246,12132.863361192512,-0.8524442816680685
low,pur,27600,12.009422485782903,11.272006935402443,12.746838036163362,11.877374653680901,12009.422485782901,-0.8507331314612719
low,pur,27400,11.952773314487844,11.212438961544722,12.693107667430967,11.924387103525476,11952.773314487844,-0.8627792279356999
low,pur,27200,11.914593658103557,11.177584716728367,12.651602599478748,11.870825500370186,11914.593658103555,-0.8621362275498632
low,pur,27000,11.623976904686792,10.910531796150092,12.337422013223492,11.491288520501705,11623.976904686791,-0.8551428493623316
low,pur,26800,11.840669119678719,11.108195846526762,12.573142392830675,11.797770584774307,11840.669119678718,-0.8508887032224862
low,pur,26600,11.893155729363293,11.158348295185451,12.627963163541136,11.83536635420465,11893.155729363292,-0.8466702099983582
low,pur,26400,11.743973934902492,11.024319398566913,12.46362847123807,11.591302278435371,11743.97393490249,-0.8422800580670876
low,pur,26200,11.911656055071411,11.18601750151183,12.637294608630992,11.687685402532603,11911.65605507141,-0.8377657877613482
low,pur,26000,11.766975821665197,11.04819187253433,12.485759770796063,11.577279940021523,11766.975821665195,-0.8457765126661271
low,pur,25800,11.508097199460048,10.79996709068271,12.216227308237386,11.405681099565701,11508.097199460048,-0.8468359416232857
low,pur,25600,11.403286631836695,10.701856207707955,12.104717055965434,11.297770892638457,11403.286631836692,-0.8448813201178694
