mut_rate,chrom,time,mean_heterozygosity,CI_5%,CI_95%,stdev
med,pur,40000,117.42973923513198,112.3814606253134,122.47801784495056,57.3972184093218
med,pur,39800,116.77069801337095,111.73996784903566,121.80142817770623,57.197698526209635
med,pur,39600,115.92154874687114,110.96273086554294,120.88036662819934,56.380080218447695
med,pur,39400,115.04705174107285,110.10339126531873,119.99071221682696,56.207745649479456
med,pur,39200,114.87595450080798,109.89257910412492,119.85932989749104,56.65929085267686
med,pur,39000,114.19790247457306,109.27052522523229,119.12527972391382,56.02261087878009
med,pur,38800,113.29805772947624,108.39207380952149,118.20404164943099,55.77937596760004
med,pur,38600,112.76575520420774,107.89562664934677,117.6358837590687,55.37171260737443
med,pur,38400,112.05601850384969,107.20645525514024,116.90558175255913,55.13789203999571
med,pur,38200,111.49836823928266,106.60215741003546,116.39457906852985,55.668259235495576
med,pur,38000,110.52248027629035,105.69284715722371,115.352113395357,54.911293214445735
med,pur,37800,109.8064066411077,104.97991347866753,114.63289980354787,54.8755929708152
med,pur,37600,109.1030068755743,104.33612755067797,113.86988620047062,54.19780382362597
med,pur,37400,108.532682741358,103.7867695080594,113.27859597465661,53.95942646143296
med,pur,37200,107.39837140775008,102.67509663934054,112.12164617615962,53.70203478119521
med,pur,37000,106.77735179493678,102.05117737902481,111.50352621084875,53.7350027914558
med,pur,36800,105.94087639808626,101.2638272163688,110.61792557980372,53.17646551283037
med,pur,36600,105.90919172396312,101.20331740776312,110.61506604016311,53.50419753149402
med,pur,36400,105.33886758974684,100.59449280112695,110.08324237836673,53.94193486636467
med,pur,36200,104.44535977947467,99.78863909892274,109.1020804600266,52.94533733795843
med,pur,36000,103.98910047210165,99.32917140226975,108.64902954193356,52.98181563768752
med,pur,35800,103.2540160324451,98.59456482668357,107.91346723820662,52.97638248501562
med,pur,35600,102.89281074744146,98.23913782262822,107.5464836722547,52.91068538720207
med,pur,35400,102.53794239726244,97.9423931250162,107.13349166950869,52.24983913861228
med,pur,35200,101.77117328348278,97.1456190577057,106.39672750925986,52.590985300359634
med,pur,35000,101.11213206172175,96.52557096613505,105.69869315730845,52.14764661345604
med,pur,34800,100.85231773391212,96.24062307742861,105.46401239039562,52.43340669044396
med,pur,34600,99.7243433351288,95.15653868564591,104.29214798461167,51.93439217232642
med,pur,34400,99.47086594214377,94.90359314115516,104.0381387431324,51.92834523503445
med,pur,34200,98.45061943537911,93.8853871063797,103.01585176437852,51.90514575943594
med,pur,34000,97.76623047431957,93.22843112050468,102.30402982813446,51.59324212059539
med,pur,33800,96.93609201229366,92.41782871005844,101.45435531452887,51.371123829185464
med,pur,33600,96.71429929343178,92.1802481415302,101.24835044533336,51.55062633400987
med,pur,33400,95.90317163587973,91.42899636159233,100.37734691016713,50.869857879949855
med,pur,33200,94.92094673806281,90.48435182008599,99.35754165603963,50.442581953683835
med,pur,33000,94.37597034314501,89.99255853774532,98.7593821485447,49.83790797187545
med,pur,32800,94.36329647349578,89.95551818515696,98.7710747618346,50.114946632222725
med,pur,32600,93.6979183169101,89.29392676612738,98.10190986769283,50.071892708427185
med,pur,32400,93.17828966129085,88.78053870762693,97.57604061495476,50.00093923229857
med,pur,32200,92.36082506891417,87.96648399457368,96.75516614325466,49.96217005900137
med,pur,32000,91.61940369443302,87.26463880963712,95.97416857922892,49.512202184668666
med,pur,31800,90.46608155635118,86.16657372338658,94.76558938931579,48.88394821579155
med,pur,31600,89.95278983555654,85.62919408180174,94.27638558931135,49.157819718828655
med,pur,31400,89.6422800291499,85.33613527186868,93.94842478643112,48.95940779795992
med,pur,31200,89.17968378695225,84.88504312492805,93.47432444897646,48.828610130259094
med,pur,31000,88.97056493773962,84.71610411009418,93.22502576538507,48.37177901856049
med,pur,30800,88.59668578308673,84.37562443799979,92.81774712817366,47.99203821118094
med,pur,30600,87.47504831912804,83.2429092551962,91.70718738305987,48.11798812345036
med,pur,30400,86.92373498938565,82.702737229898,91.1447327488733,47.99131526444756
med,pur,30200,86.43579100788948,82.20556756305955,90.66601445271941,48.09620818290442
med,pur,30000,85.69436963340833,81.43850088589141,89.95023838092524,48.387786590766936
med,pur,29800,85.30147967428155,81.031982952482,89.57097639608111,48.542732043828224
med,pur,29600,85.40920756630018,81.15591092129347,89.6625042113069,48.35854265615894
med,pur,29400,84.4903520167295,80.26364714362985,88.71705688982915,48.05620321374527
med,pur,29200,84.05310351383037,79.83991799091352,88.26628903674721,47.902492779918354
med,pur,29000,82.96948765881943,78.79059607288393,87.14837924475493,47.51258232862017
med,pur,28800,82.57026076486802,78.39411127548748,86.74641025424857,47.48140561928443
med,pur,28600,82.36114191565541,78.1565110331124,86.56577279819842,47.80522941553222
med,pur,28400,81.84785019486074,77.70471532896474,85.99098506075674,47.106040529259744
med,pur,28200,81.27118912581984,77.174048780358,85.36832947128168,46.58309840600673
med,pur,28000,80.42837679414467,76.3454674799367,84.51128610835264,46.421296399382165
med,pur,27800,80.5107569468648,76.42228439010248,84.59922950362713,46.48454858347024
med,pur,27600,79.50318430974939,75.46031087849417,83.5460577410046,45.96610196665419
