COL. NUM.,TICKET NUM.,FLORA,FAMILY,GENUS,SPECIES,AUTHORITY,COUNTRY,STATE,COUNTY,GENERAL LOCALITY,ELEVATION,LATITUDE,LONGITUDE,HABITAT,DET DATE,COLLECTION,WITH,DATE,HERBARIA,PROJECT
3,,Flora of Alabama,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Alabama,Etowah,"Noccalula Falls Park. At landing on metal steps about onethird way down the trail to waterfall in rock crevice to left going up the stairs, uppermost part of colony",213,34.04023,86.02445,,"July 12, 2020",Jessie A. Pelosi 3,"L.A. Riibe, J.B. Pinson ","July 12, 2020",NY,Population Genomics of Vittaria appalachiana
4,,Flora of Alabama,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Alabama,Etowah,"Noccalula Falls Park. At landing on metal steps about onethird way down the trail to waterfall in rock crevice to left going up the stairs, middle part of colony, 3cm below JAP 3",213,34.04023,86.02445,,"July 12, 2020",Jessie A. Pelosi 4,"L.A. Riibe, J.B. Pinson ","July 12, 2020",NY,Population Genomics of Vittaria appalachiana
5,,Flora of Alabama,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Alabama,Etowah,"Noccalula Falls Park. At landing on metal steps about onethird way down the trail to waterfall in rock crevice to left going up the stairs, bottom part of colony, 6cm below JAP 3",213,34.04023,86.02445,,"July 12, 2020",Jessie A. Pelosi 5,"L.A. Riibe, J.B. Pinson ","July 12, 2020",NY,Population Genomics of Vittaria appalachiana
6,,Flora of Georgia,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Georgia,Dade,Cloudland Canyon State Park. Under rock overhang on waterfall trail (large rock overhand about onehalf way down on right side going down trail),531,34.04025,86.02251,,"July 12, 2020",Jessie A. Pelosi 6,"L.A. Riibe, J.B. Pinson ","July 12, 2020",NY,Population Genomics of Vittaria appalachiana
7,,Flora of Georgia,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Georgia,Dade,Cloudland Canyon State Park. Under rock overhang on waterfall trail (large rock overhand about onehalf way down on right side going down trail),531,34.04025,86.02251,,"July 12, 2020",Jessie A. Pelosi 7,"L.A. Riibe, J.B. Pinson ","July 12, 2020",NY,Population Genomics of Vittaria appalachiana
8,,Flora of Georgia,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Georgia,Dade,Cloudland Canyon State Park. Under rock overhang on waterfall trail (large rock overhand about onehalf way down on right side going down trail),531,34.04025,86.02251,,"July 12, 2020",Jessie A. Pelosi 8,"L.A. Riibe, J.B. Pinson ","July 12, 2020",NY,Population Genomics of Vittaria appalachiana
9,,Flora of Georgia,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Georgia,Dade,Cloudland Canyon State Park. Under rock overhang on waterfall trail (large rock overhand about onehalf way down on right side going down trail),531,34.04025,86.02251,,"July 12, 2020",Jessie A. Pelosi 9,"L.A. Riibe, J.B. Pinson ","July 12, 2020",NY,Population Genomics of Vittaria appalachiana
10,,Flora of Georgia,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Georgia,Dade,Cloudland Canyon State Park. Under rock overhang on waterfall trail (large rock overhand about onehalf way down on right side going down trail),531,34.04025,86.02251,,"July 12, 2020",Jessie A. Pelosi 10,"L.A. Riibe, J.B. Pinson ","July 12, 2020",NY,Population Genomics of Vittaria appalachiana
11,,Flora of Georgia,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Georgia,Dade,"Cloudland Canyon State Park. On trail to Hemlock waterfall, small overhang with ledge, NE facing rock face",478,34.83521,85.48172,,"July 12, 2020",Jessie A. Pelosi 11,"L.A. Riibe, J.B. Pinson ","July 12, 2020",NY,Population Genomics of Vittaria appalachiana
12,,Flora of Georgia,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Georgia,Dade,"Cloudland Canyon State Park. On trail to Hemlock waterfall, small overhang with ledge, NE facing rock face",478,34.83521,85.48172,,"July 12, 2020",Jessie A. Pelosi 12,"L.A. Riibe, J.B. Pinson ","July 12, 2020",NY,Population Genomics of Vittaria appalachiana
